replicate,t,raw_field_mmd2,downsampled_field_mmd2,maximum_standardized_phi_split_error
3,0.296875,0.005019664764404297,0.0022084712982177734,0.028790600081326043
3,0.3515625,0.005445957183837891,0.0028220415115356445,0.04975494689445248
3,0.3984375,0.0048711299896240234,0.0022677183151245117,0.10497943734878602
3,0.453125,0.005463123321533203,0.0028302669525146484,0.24253879774372775
3,0.5,0.005408883094787598,0.0022164583206176758,0.22052581081082612
3,0.546875,0.006470680236816406,0.0033971071243286133,0.1306723438725003
3,0.6015625,0.0047376155853271484,0.0017147064208984375,0.043049997938537796
3,0.6484375,0.006139516830444336,0.002595067024230957,0.16449309956486532
3,0.703125,0.005937337875366211,0.002851247787475586,0.07561156895223274
3,0.75,0.004125833511352539,0.0026706457138061523,0.0625614463629508
3,0.796875,0.004988193511962891,0.00269317626953125,0.3750525852430163
3,0.8515625,0.006595611572265625,0.0030525922775268555,0.45792003186144425
3,0.8984375,0.0043866634368896484,0.0024182796478271484,0.1369062669378229
3,0.953125,0.005355477333068848,0.002919912338256836,0.1329883781947103
3,1.0,0.005784869194030762,0.0013806819915771484,0.1646227253705007
4,0.0,0.00686800479888916,0.0030465126037597656,0.056959709167005164
4,0.046875,0.005296468734741211,0.0029172897338867188,0.02777084839584601
4,0.1015625,0.005555868148803711,0.0027740001678466797,0.016807970800781988
4,0.1484375,0.004589438438415527,0.0027005672454833984,0.11631956390935137
4,0.203125,0.004046201705932617,0.0028227567672729492,0.10876155648189766
4,0.25,0.008673667907714844,0.0037622451782226562,0.03613679001457507
4,0.296875,0.0061054229736328125,0.001904129981994629,0.02655655979104649
4,0.3515625,0.005141019821166992,0.0033676624298095703,0.11290934692617118
4,0.3984375,0.005113363265991211,0.002050638198852539,0.035436869944907703
4,0.453125,0.006330132484436035,0.0035524368286132812,0.024402796820964814
4,0.5,0.005147337913513184,0.0025854110717773438,0.13237877039209678
4,0.546875,0.006318926811218262,0.0020363330841064453,0.04751494734405736
4,0.6015625,0.005647182464599609,0.0019676685333251953,0.04731529029623295
4,0.6484375,0.006384491920471191,0.0065233707427978516,0.2732239793640547
4,0.703125,0.0049141645431518555,0.0033757686614990234,0.30179864178861054
4,0.75,0.004590868949890137,0.0017867088317871094,0.18256505953006288
4,0.796875,0.007652163505554199,0.002622365951538086,0.1812733564473321
4,0.8515625,0.007492542266845703,0.003365755081176758,0.04198688594491881
4,0.8984375,0.0050811767578125,0.00316619873046875,0.15666197918257935
4,0.953125,0.006342172622680664,0.0033707618713378906,0.14259475144291237
4,1.0,0.0035910606384277344,0.0018301010131835938,0.2917169408190724
5,0.0,0.007744789123535156,0.002912282943725586,0.02177713955301226
5,0.046875,0.006724834442138672,0.0023953914642333984,0.019014254165087785
5,0.1015625,0.005216717720031738,0.0025148391723632812,0.05091728154491602
5,0.1484375,0.005284309387207031,0.004907369613647461,0.11485078527940401
5,0.203125,0.0062808990478515625,0.002535104751586914,0.04103504218294332
5,0.25,0.005855917930603027,0.0022748708724975586,0.03321352452835821
5,0.296875,0.00647425651550293,0.003619074821472168,0.1048576527728359
5,0.3515625,0.007227182388305664,0.003950834274291992,0.11273109903067015
5,0.3984375,0.006170868873596191,0.003208756446838379,0.09666502204951082
5,0.453125,0.007611751556396484,0.002632737159729004,0.06631311770456468
5,0.5,0.005772113800048828,0.0029456615447998047,0.043931944844371976
5,0.546875,0.005390286445617676,0.002066969871520996,0.06064192154450572
5,0.6015625,0.005547881126403809,0.003064870834350586,0.36915970981775237
5,0.6484375,0.008936762809753418,0.0038906335830688477,0.054291563958566755
5,0.703125,0.0050781965255737305,0.0024455785751342773,0.22546856527473685
5,0.75,0.005851626396179199,0.003426790237426758,0.07732037211043592
5,0.796875,0.0074808597564697266,0.0027729272842407227,0.04609015249935248
5,0.8515625,0.004570484161376953,0.002187371253967285,0.08695815230760788
5,0.8984375,0.004027962684631348,0.0025539398193359375,0.13162894091168914
5,0.953125,0.009782791137695312,0.001901388168334961,0.025684333422394793
5,1.0,0.005473494529724121,0.002431631088256836,0.14195305901910868
6,0.0,0.007432222366333008,0.0030775070190429688,0.020078028275014943
6,0.046875,0.006462574005126953,0.0025260448455810547,0.013250161863373851
6,0.1015625,0.0045506954193115234,0.0022695064544677734,0.06022785398627529
6,0.1484375,0.009646415710449219,0.004777669906616211,0.05580565777956532
6,0.203125,0.005365848541259766,0.004225611686706543,0.027577125954102083
6,0.25,0.005465388298034668,0.002463698387145996,0.08939327738672229
6,0.296875,0.005988359451293945,0.003500699996948242,0.19617569289945833
6,0.3515625,0.005781650543212891,0.002164483070373535,0.013975823326583935
6,0.3984375,0.005934000015258789,0.0033698081970214844,0.08245608807667015
6,0.453125,0.005293011665344238,0.0030776262283325195,0.08343602908315258
6,0.5,0.006635189056396484,0.0024771690368652344,0.04839435828313989
6,0.546875,0.007566690444946289,0.0034406185150146484,0.20532992793169094
6,0.6015625,0.006195068359375,0.0019593238830566406,0.0638190828770837
6,0.6484375,0.0066672563552856445,0.005009889602661133,0.056960897486308504
6,0.703125,0.0059021711349487305,0.0033658742904663086,0.017680854668405924
6,0.75,0.005832076072692871,0.005540370941162109,0.16500764182321162
6,0.796875,0.010318279266357422,0.002729177474975586,0.20590127400905747
6,0.8515625,0.005272030830383301,0.004292845726013184,0.40865587850287016
6,0.8984375,0.0033434629440307617,0.0022832155227661133,0.1312641268855637
6,0.953125,0.0052280426025390625,0.0022001266479492188,0.06979949923959589
6,1.0,0.002996206283569336,0.0023549795150756836,0.0467235266880328
7,0.0,0.0053365230560302734,0.0020946264266967773,0.01751262202162831
7,0.046875,0.008500218391418457,0.003324747085571289,0.01604780847089794
7,0.1015625,0.005609035491943359,0.0028383731842041016,0.041586422339693174
7,0.1484375,0.004792571067810059,0.0027697086334228516,0.0656401871174542
7,0.203125,0.0077664852142333984,0.0033763647079467773,0.038248853446662075
7,0.25,0.003913402557373047,0.0026935338973999023,0.12439564131225742
7,0.296875,0.004814743995666504,0.0029267072677612305,0.04680719371657126
7,0.3515625,0.006304740905761719,0.003297567367553711,0.10115449237753005
7,0.3984375,0.004984378814697266,0.002119302749633789,0.05988005989495725
7,0.453125,0.008343338966369629,0.0035212039947509766,0.2508076872307973
7,0.5,0.006745815277099609,0.0030994415283203125,0.1334583356048072
7,0.546875,0.006747722625732422,0.002946615219116211,0.1511352022760183
7,0.6015625,0.005561351776123047,0.005146980285644531,0.10357866375634403
7,0.6484375,0.006497979164123535,0.0047490596771240234,0.28544380321673957
7,0.703125,0.005181312561035156,0.0033644437789916992,0.1593940214342326
7,0.75,0.006856083869934082,0.0029250383377075195,0.1905214899360436
7,0.796875,0.007011771202087402,0.0024330615997314453,0.35932340880124214
7,0.8515625,0.005014777183532715,0.003496885299682617,0.02400642656607845
7,0.8984375,0.005270600318908691,0.002881169319152832,0.15383268709460052
7,0.953125,0.009994268417358398,0.004260897636413574,0.2290937018523479
7,1.0,0.0034667253494262695,0.0015350580215454102,0.06771281054293052
