regime_id,feed,kill,sample_index,initial_condition_seed,component_count,background_component_count,minority_component_count,phase_component_max,euler_characteristic,absolute_euler_characteristic,interface_length,area_fraction,minkowski_area,minkowski_perimeter,minkowski_euler,anisotropy,heldout_spectrum_1,heldout_spectrum_2,phi_mean,phi_second_moment,phi_shell_1,phi_shell_2
grid_F0280_k0615,0.028,0.0615,58,31058,6.0,1.0,6.0,6.0,6.0,6.0,0.1796875,0.2734375,0.2734375,0.1796875,6.0,0.0847079971698066,0.00014495464344636865,2.2944782204347727e-06,0.10266327112913132,0.0225635077804327,0.014494383707642555,0.008592415601015091
grid_F0280_k0615,0.028,0.0615,59,31059,6.0,1.0,6.0,6.0,6.0,6.0,0.19140625,0.2880859375,0.2880859375,0.19140625,6.0,0.12050986051043965,0.0001069661128164691,2.7779669106088277e-06,0.10760296136140823,0.023438697680830956,0.01430089958012104,0.00905692670494318
grid_F0280_k0615,0.028,0.0615,60,31060,8.0,1.0,8.0,8.0,8.0,8.0,0.20703125,0.2822265625,0.2822265625,0.20703125,8.0,0.025483934281024856,6.972361616593493e-05,3.848846708609398e-06,0.1134466901421547,0.0246225968003273,0.01387511845678091,0.010055869817733765
grid_F0280_k0615,0.028,0.0615,61,31061,6.0,1.0,6.0,6.0,6.0,6.0,0.181640625,0.26953125,0.26953125,0.181640625,6.0,0.07204080806100277,0.00013762510349089966,2.146999774643567e-06,0.10200338065624237,0.02243266999721527,0.014444869942963123,0.008575702086091042
grid_F0280_k0615,0.028,0.0615,62,31062,7.0,1.0,7.0,7.0,7.0,7.0,0.189453125,0.2734375,0.2734375,0.189453125,7.0,0.005818680754536934,8.952145985344684e-05,2.3208857697176453e-06,0.10709455609321594,0.023323513567447662,0.01406309474259615,0.009205322712659836
grid_F0280_k0615,0.028,0.0615,63,31063,7.0,1.0,7.0,7.0,7.0,7.0,0.193359375,0.275390625,0.275390625,0.193359375,7.0,0.00987402259607603,9.656972876566732e-05,2.5157142265025455e-06,0.10730820894241333,0.023517297580838203,0.014209428802132607,0.009413190186023712
grid_F0280_k0620,0.028,0.062,0,31000,7.0,1.0,7.0,7.0,7.0,7.0,0.203125,0.2705078125,0.2705078125,0.203125,7.0,0.06980245086223708,6.045994091902876e-05,3.5093144262336405e-06,0.10570506751537323,0.02266114205121994,0.013259705156087875,0.009146248921751976
grid_F0280_k0620,0.028,0.062,1,31001,6.0,1.0,6.0,6.0,6.0,6.0,0.18359375,0.2685546875,0.2685546875,0.18359375,6.0,0.0837674852854962,9.421886172901972e-05,2.7523692814692647e-06,0.10229501128196716,0.022328373044729233,0.013926243409514427,0.008815957233309746
grid_F0280_k0620,0.028,0.062,2,31002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.006492321624085e-45,0.0,0.0,0.0
grid_F0280_k0620,0.028,0.062,3,31003,6.0,1.0,6.0,6.0,6.0,6.0,0.17578125,0.251953125,0.251953125,0.17578125,6.0,0.011824766996742038,9.946412801011551e-05,1.8384871556850597e-06,0.09653127193450928,0.02120690420269966,0.013819248415529728,0.008432913571596146
grid_F0280_k0620,0.028,0.062,4,31004,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.006492321624085e-45,0.0,0.0,0.0
grid_F0280_k0620,0.028,0.062,5,31005,7.0,1.0,7.0,7.0,7.0,7.0,0.1875,0.2607421875,0.2607421875,0.1875,7.0,0.03495567992696082,9.181692343773856e-05,3.501552983677414e-06,0.10382574796676636,0.02266748994588852,0.013810238800942898,0.009291457012295723
grid_F0280_k0620,0.028,0.062,6,31006,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.2578125,0.2578125,0.173828125,6.0,0.05316801418626706,9.025519646417685e-05,2.2370728856401442e-06,0.09779694676399231,0.021468672901391983,0.013952674344182014,0.008477823808789253
grid_F0280_k0620,0.028,0.062,7,31007,6.0,1.0,6.0,6.0,6.0,6.0,0.16796875,0.2490234375,0.2490234375,0.16796875,6.0,0.045301119162958606,0.00012059676978506068,1.8257443112101758e-06,0.09767453372478485,0.021441254764795303,0.013960776850581169,0.008478923700749874
grid_F0280_k0620,0.028,0.062,8,31008,6.0,1.0,6.0,6.0,6.0,6.0,0.173828125,0.25390625,0.25390625,0.173828125,6.0,0.06310563164104617,0.000125514866414214,2.017416898111315e-06,0.09815216809511185,0.02161225862801075,0.014072669669985771,0.008540676906704903
grid_F0280_k0620,0.028,0.062,9,31009,6.0,1.0,6.0,6.0,6.0,6.0,0.171875,0.25,0.25,0.171875,6.0,0.0628483437889901,8.26557182253759e-05,2.1900390658233664e-06,0.09478510916233063,0.02075536549091339,0.01358418446034193,0.00804038904607296
