regime_id,coarse_dt,fine_dt,mean_relative_field_rmse,max_relative_field_rmse
grid_F0420_k0650,1.0,0.5,0.008035141043365002,0.022413212805986404
grid_F0460_k0550,1.0,0.5,2.1423049929580884e-06,3.752970769710373e-06
grid_F0460_k0570,1.0,0.5,2.1027781258453615e-06,3.274683422205271e-06
grid_F0460_k0590,1.0,0.5,2.0158133793302113e-06,3.953670784540009e-06
grid_F0460_k0610,1.0,0.5,0.008084000088274479,0.01906009577214718
grid_F0460_k0640,1.0,0.5,0.003378304885700345,0.004914592485874891
grid_F0260_k0580,1.0,0.5,0.25397467613220215,0.806109607219696
grid_F0260_k0585,1.0,0.5,0.035104285925626755,0.0462644062936306
grid_F0260_k0595,1.0,0.5,0.06287487596273422,0.13752524554729462
grid_F0260_k0600,1.0,0.5,0.29343050718307495,1.0807583332061768
grid_F0260_k0605,1.0,0.5,0.03561364859342575,0.09951842576265335
grid_F0260_k0615,1.0,0.5,0.02517620287835598,0.09718889743089676
grid_F0260_k0620,1.0,0.5,0.011572328396141529,0.03988293558359146
grid_F0260_k0625,1.0,0.5,0.027715303003787994,0.09663490206003189
grid_F0280_k0580,1.0,0.5,0.003756127320230007,0.006549057085067034
grid_F0280_k0585,1.0,0.5,0.005182644352316856,0.011316362768411636
grid_F0280_k0590,1.0,0.5,0.010410075075924397,0.02391461655497551
grid_F0280_k0595,1.0,0.5,0.03140074387192726,0.08283048868179321
grid_F0280_k0600,1.0,0.5,0.01941753178834915,0.05522853881120682
grid_F0280_k0605,1.0,0.5,0.012104729190468788,0.0170853603631258
grid_F0280_k0610,1.0,0.5,0.02705901674926281,0.061890970915555954
grid_F0280_k0615,1.0,0.5,0.02014784701168537,0.0466817244887352
grid_F0280_k0620,1.0,0.5,0.08914061635732651,0.304016649723053
grid_F0280_k0625,1.0,0.5,0.01005522534251213,0.017031410709023476
grid_F0280_k0630,1.0,0.5,0.008037673309445381,0.014192027039825916
grid_F0300_k0580,1.0,0.5,0.02397000789642334,0.08579246699810028
grid_F0300_k0585,1.0,0.5,0.03154270350933075,0.08163834363222122
grid_F0300_k0595,1.0,0.5,0.0035801767371594906,0.004816803615540266
grid_F0300_k0600,1.0,0.5,0.005896913819015026,0.015379835851490498
grid_F0300_k0605,1.0,0.5,0.016936058178544044,0.0319938138127327
grid_F0300_k0615,1.0,0.5,0.037678785622119904,0.07755931466817856
grid_F0300_k0625,1.0,0.5,0.030690409243106842,0.05032404512166977
grid_F0320_k0580,1.0,0.5,0.009390865452587605,0.018000567331910133
grid_F0320_k0585,1.0,0.5,0.0019504858646541834,0.0033929292112588882
grid_F0320_k0590,1.0,0.5,0.003994309343397617,0.007856308482587337
grid_F0320_k0595,1.0,0.5,0.00916369166225195,0.0225386843085289
grid_F0320_k0600,1.0,0.5,0.024373583495616913,0.04652504250407219
grid_F0320_k0605,1.0,0.5,0.0037474227137863636,0.005971918348222971
grid_F0320_k0610,1.0,0.5,0.008320244029164314,0.020894523710012436
grid_F0320_k0615,1.0,0.5,0.009096745401620865,0.018188806250691414
grid_F0320_k0620,1.0,0.5,0.04225228726863861,0.12222451716661453
grid_F0320_k0625,1.0,0.5,0.014764132909476757,0.040431953966617584
grid_F0320_k0630,1.0,0.5,0.01799517683684826,0.03350827097892761
grid_F0340_k0585,1.0,0.5,0.06356466561555862,0.23535946011543274
grid_F0340_k0595,1.0,0.5,0.006999058648943901,0.014036830514669418
grid_F0340_k0600,1.0,0.5,0.016307195648550987,0.05303576588630676
grid_F0340_k0605,1.0,0.5,0.02098359540104866,0.04991045966744423
grid_F0340_k0615,1.0,0.5,0.006260469555854797,0.008172575384378433
grid_F0340_k0620,1.0,0.5,0.009524386376142502,0.020290272310376167
grid_F0340_k0625,1.0,0.5,0.039509207010269165,0.14985692501068115
grid_F0360_k0580,1.0,0.5,0.0020273649133741856,0.003075114218518138
grid_F0360_k0585,1.0,0.5,0.003141813911497593,0.006312727928161621
grid_F0360_k0590,1.0,0.5,0.008121438324451447,0.015841234475374222
grid_F0360_k0595,1.0,0.5,0.0033999294973909855,0.008246752433478832
grid_F0360_k0600,1.0,0.5,0.004241935443133116,0.010907018557190895
grid_F0360_k0605,1.0,0.5,0.004998570308089256,0.007342658005654812
grid_F0360_k0610,1.0,0.5,0.005832895170897245,0.008348566479980946
grid_F0360_k0615,1.0,0.5,0.01011619996279478,0.034021224826574326
grid_F0360_k0620,1.0,0.5,0.005169008858501911,0.008743983693420887
grid_F0360_k0625,1.0,0.5,0.008880848065018654,0.013970296829938889
grid_F0360_k0630,1.0,0.5,0.010189974680542946,0.033115778118371964
