candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,validation_A_full_h,validation_passes,validation_source,proxy_A_full_h,proxy_passes,proxy_source
"[0.4006481240183471,1.157414279395401]","[0.4006481240183471,1.157414279395401]","[22.955446576085276,66.31495335753195]","[""tangent_search_audit_4""]",True,True,0.06876950578416413,0.06625470757321261,43.35950678144667,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,19.20368801684669,True,new_corrected_nested_sweep_evaluation
"[0.42585798319985785,1.163143994264419]","[0.42585798319985785,1.163143994264419]","[24.399865109304972,66.64324183734004]","[""tangent_search_audit_5""]",True,True,0.06878310047429256,0.06618721560775762,42.243376728035074,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,22.300332883340822,True,new_corrected_nested_sweep_evaluation
"[0.3851380009454481,1.1547775042593071]","[0.3851380009454481,1.1547775042593071]","[22.066781984279686,66.16387727070874]","[""tangent_search_audit_6""]",True,True,0.06878058299379522,0.06631760067565627,44.09709528642905,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,17.475573531900334,True,new_corrected_nested_sweep_evaluation
"[0.42655167198968663,1.174272828594405]","[0.42655167198968663,1.174272828594405]","[24.439610549257697,67.28087707534854]","[""tangent_search_audit_7""]",True,True,0.06876124417721063,0.06615899327394038,42.84126652609085,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,22.838648123031504,True,new_corrected_nested_sweep_evaluation
"[0.40814378702017196,1.1859824182270888]","[0.40814378702017196,1.1859824182270888]","[23.3849164307422,67.95178714113146]","[""full_search_audit_11+saved_final_law+tangent_search_audit_8"",""mandatory_law_seed""]",True,True,0.0687360118546043,0.06618573672099662,44.56687071038926,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,20.990203480733527,True,new_corrected_nested_sweep_evaluation
"[0.3483305240668433,1.151319409744337]","[0.3483305240668433,1.151319409744337]","[19.95786890461027,65.96574304984362]","[""full_search_audit_0""]",True,True,0.06888600050680758,0.06655389113037918,46.00787414523336,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,True,31.833708006316545,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,13.86405284416457,True,new_corrected_nested_sweep_evaluation
"[0.37033236503396244,1.2015904235629604]","[0.37033236503396244,1.2015904235629604]","[21.218481533544228,68.84605997349458]","[""full_search_audit_1+saved_final_full"",""mandatory_historical_full""]",True,True,0.06883140339741334,0.0663976417590803,47.62757843995035,5.0,0.0692360118546043,0.06949502355704645,True,False,True,False,True,False,,,,False,,,,False,,,,16.922060029041873,True,new_corrected_nested_sweep_evaluation
"[0.3482496435711616,1.1153862513902304]","[0.3482496435711616,1.1153862513902304]","[19.953234793562782,63.90692473157805]","[""full_search_audit_2""]",True,True,0.06897915668103705,0.06663952250734753,43.95368993801527,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,True,37.35042519562382,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,13.221572349898597,True,new_corrected_nested_sweep_evaluation
"[0.3582323117665443,1.1415640888330296]","[0.3582323117665443,1.1415640888330296]","[20.525199549437687,65.40680433382998]","[""full_search_audit_3""]",True,True,0.06886443904854148,0.06649567844122417,44.881604784392295,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,14.57082041850419,True,new_corrected_nested_sweep_evaluation
"[0.3565219780180512,1.1179167822810017]","[0.3565219780180512,1.1179167822810017]","[20.427204644090242,64.05191347154673]","[""full_search_audit_4""]",True,True,0.06894446677828815,0.06657659069581466,43.62470882745649,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,True,36.532912423233604,True,new_corrected_nested_sweep_evaluation,False,,,,False,,,,13.94096340710498,True,new_corrected_nested_sweep_evaluation
"[0.3750985006724889,1.1824503599363656]","[0.3750985006724889,1.1824503599363656]","[21.491560990218684,67.74941510807884]","[""full_search_audit_5""]",True,True,0.06877946450962708,0.06634202958238321,46.25785411786015,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,17.07835723225292,True,new_corrected_nested_sweep_evaluation
"[0.3862893458130523,1.1948601958258025]","[0.3862893458130523,1.1948601958258025]","[22.132749185957454,68.46044632899354]","[""full_search_audit_6""]",True,True,0.06876626426728603,0.06628246452912356,46.32769714303609,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,18.614705993466245,True,new_corrected_nested_sweep_evaluation
"[0.38859323540456636,1.1925393744278974]","[0.38859323540456636,1.1925393744278974]","[22.26475233601533,68.32747305788993]","[""full_search_audit_7""]",True,True,0.06875814459569372,0.06626816878674748,46.0627207218746,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,18.829402572356244,True,new_corrected_nested_sweep_evaluation
"[0.3895449437264911,1.182512267599455]","[0.3895449437264911,1.182512267599455]","[22.319281206189096,67.75296215589337]","[""full_search_audit_8""]",True,True,0.06874870444201397,0.06626158114655743,45.433680949704275,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,18.688396001043106,True,new_corrected_nested_sweep_evaluation
"[0.3794103325506034,1.0849036642681429]","[0.3794103325506034,1.0849036642681429]","[21.738610758804615,62.1604011408426]","[""full_search_audit_9""]",True,True,0.06909492211325234,0.06663884830036662,40.42179038203798,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,14.979874265398886,True,new_corrected_nested_sweep_evaluation
"[0.450933059236574,1.2614094134417415]","[0.450933059236574,1.2614094134417415]","[25.836561137178435,72.27343562828452]","[""normal_multistart_0""]",True,True,0.0690060063602412,0.06624078061907006,46.43687449110608,5.0,0.0692360118546043,0.06949502355704645,True,False,False,False,True,False,,,,False,,,,False,,,,29.847973887989056,True,new_corrected_nested_sweep_evaluation
"[4.527702373733796,5.7383029891863755]","[4.527702373733796,5.7383029891863755]","[259.418236906311,328.78054284768376]","[""normal_multistart_1""]",True,True,0.07755994413513186,0.0738370144919074,69.36230594137277,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.5010483280976686,2.3650031965318026]","[0.5010483280976686,2.3650031965318026]","[28.707954532082553,135.50470169622105]","[""normal_multistart_2""]",True,True,0.08304875610717563,0.07966587480675967,73.2032528358615,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[3.061144726328508,5.134986566939288]","[3.061144726328508,5.134986566939288]","[175.39067329735292,294.213058141993]","[""normal_multistart_3""]",True,True,0.10274341628537297,0.10055440023384597,61.177615155359945,5.0,0.0692360118546043,0.06949502355704645,False,False,False,False,False,False,,,,False,,,,False,,,,,,
