design_index,design_id,rank,risk,bootstrap_standard_error,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_rank_median,bootstrap_rank_ci_lower,bootstrap_rank_ci_upper,projection_valid,law_risk_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,maximum_projection_residual,mean_projection_kl,minimum_log10_intrinsic_ess,worst_covariance_condition
302,design_000302,274,0.02094906479427693,0.011794387212833164,0.012905343033552523,0.05807946126337079,269.0,141.95000000000002,303.525,True,True,False,False,False,0.033984137918721374,,,
303,design_000303,184,0.016282780561781618,0.008873704648576248,0.011355140868920645,0.0452611042390329,178.5,74.42500000000003,322.04999999999995,True,True,False,False,False,0.021798458989406567,,,
304,design_000304,120,0.013972475551869774,0.007443942397016627,0.011819423768374037,0.04035726748579253,133.0,57.47500000000001,278.04999999999995,True,True,False,False,False,0.025613692164874864,,,
305,design_000305,416,0.033323878149092205,0.012486440818008964,0.022710413067907838,0.07008316944683786,417.0,349.0,482.0,True,True,False,False,False,0.018220674474606364,,,
306,design_000306,276,0.021055692573107396,0.012380706140282978,0.01123722427274593,0.0580497511863866,267.0,103.95000000000002,335.0,True,True,False,False,False,0.017930841720878242,,,
307,design_000307,21,0.008998627489132051,0.006069376547164776,0.008127141261911643,0.032938856307938004,33.0,9.0,265.2999999999997,True,True,False,False,False,0.02890054446280017,,,
308,design_000308,100,0.01281844546472236,0.006272673762129957,0.011260494263289548,0.03606134379284993,101.0,40.0,358.0999999999999,True,True,False,False,False,0.013105658224028737,,,
309,design_000309,253,0.019523241721178336,0.011034974159921274,0.011986732141681904,0.05294611887382579,245.0,79.47500000000001,340.525,True,True,False,False,False,0.057497077202314104,,,
310,design_000310,168,0.015596061096862516,0.009367598522726702,0.010698321842791778,0.04710044380875381,168.0,91.47500000000001,229.6249999999999,True,True,False,False,False,0.01751773412472876,,,
311,design_000311,255,0.019623709392071077,0.01180968638004934,0.010921530536104635,0.056331905492233735,247.5,90.0,294.525,True,True,False,False,False,0.03713314734841723,,,
312,design_000312,16,0.008556710270229972,0.006253088812756497,0.007718221469018996,0.032295674686754865,31.0,7.0,192.14999999999986,True,True,False,False,False,0.05258100998176596,,,
313,design_000313,240,0.019073254193318855,0.008414753017545457,0.015088004310266533,0.04749165391519085,244.0,131.0,423.04999999999995,True,True,False,False,False,0.04576685804730886,,,
314,design_000314,266,0.020353902523309715,0.012940362366505202,0.009841646541589632,0.059855609130532055,264.0,61.42500000000003,304.0,True,True,False,False,False,0.02264966834070839,,,
315,design_000315,245,0.019315283556650728,0.007686473673426427,0.01653567318643942,0.046687632735421716,241.0,147.42500000000004,438.04999999999995,True,True,False,False,False,0.006686889887877721,,,
316,design_000316,155,0.015138062936848534,0.00920494104641864,0.010787593348034473,0.04610680640515671,156.0,96.47500000000001,195.52499999999998,True,True,False,False,False,0.045355663521372755,,,
317,design_000317,383,0.028548245436286226,0.01162311673884749,0.019386189447207727,0.06229050367147518,378.0,283.95000000000005,443.525,True,True,False,False,False,0.022860509252237288,,,
318,design_000318,24,0.009176242351709274,0.005030570139614726,0.0088466012421877,0.02839326783359986,32.0,1.0,437.7249999999998,True,True,False,False,False,0.030454083638186608,,,
319,design_000319,192,0.016561216690955713,0.012139181041008001,0.007915009619193183,0.05467109527880624,184.5,24.0,248.52499999999998,True,True,False,False,False,0.04668252094386193,,,
320,design_000320,173,0.015984163962617048,0.012317527041000044,0.00729241010197239,0.05454347834187056,174.5,12.0,247.52499999999998,True,True,False,False,False,0.03945208511560603,,,
321,design_000321,304,0.022790173693108623,0.008714342688328859,0.018538279556554904,0.05282489018081967,303.0,228.0,429.0,True,True,False,False,False,0.010489825916319487,,,
322,design_000322,44,0.010238015448213253,0.006403554299007126,0.009682638693498247,0.03510471115559833,54.0,21.0,244.04999999999995,True,True,False,False,False,0.03439267789754909,,,
323,design_000323,366,0.026485110949130034,0.012016821370022641,0.01666055510958244,0.06356084782616511,350.0,276.0,398.0,True,True,False,False,False,0.010224521865427078,,,
324,design_000324,5,0.0074733552462024665,0.007084569481749275,0.006094374284437624,0.03309477836972551,16.5,2.0,86.52499999999998,True,True,False,False,False,0.04567864980614987,,,
325,design_000325,53,0.010884270899590548,0.006094744170113325,0.010043895178616322,0.033949985471612924,69.0,14.47500000000001,310.04999999999995,True,True,False,False,False,0.033922615173461367,,,
326,design_000326,31,0.009514781321392602,0.005459040720650861,0.009716484018845409,0.03118644511888355,38.0,9.47500000000001,305.04999999999995,True,True,False,False,False,0.04607807001992405,,,
327,design_000327,197,0.016777398387071586,0.006996179297606723,0.01488741951480879,0.04224812124730072,192.0,124.0,393.04999999999995,True,True,False,False,False,0.022686017289829972,,,
328,design_000328,217,0.01812426325082345,0.00666189703195449,0.016827458558649463,0.04262984343918049,217.0,121.47500000000001,421.04999999999995,True,True,False,False,False,0.007184421015883396,,,
329,design_000329,39,0.009887931115768358,0.007301112501305055,0.008400794875562367,0.03651230579664208,51.0,19.47500000000001,147.14999999999986,True,True,False,False,False,0.03815658622897649,,,
330,design_000330,62,0.011336455516853696,0.005601421983521048,0.010502837631644947,0.03276811787972752,66.5,26.0,388.6249999999999,True,True,False,False,False,0.04635687497434153,,,
331,design_000331,37,0.00979294042208236,0.006128161185891957,0.00874504622111374,0.033264440490144556,43.0,13.0,313.57499999999993,True,True,False,False,False,0.02730742821269565,,,
332,design_000332,61,0.011316472640828417,0.005207631539855739,0.011007592326275947,0.03079964535385409,66.0,9.0,438.0999999999999,True,True,False,False,False,0.036129954318075586,,,
333,design_000333,126,0.014199184388145441,0.009733695903967072,0.00935581788678931,0.04671180259179645,130.0,25.0,218.52499999999998,True,True,False,False,False,0.03189264649653454,,,
334,design_000334,380,0.028292096938774925,0.01285821635545328,0.017323597744945848,0.06676319729898325,375.0,291.37500000000006,422.0,True,True,False,False,False,0.027694612211054175,,,
335,design_000335,138,0.014624040026584252,0.008124340710965973,0.011636901454934505,0.042468813074008516,145.0,62.0,253.04999999999995,True,True,False,False,False,0.04007397413585357,,,
336,design_000336,169,0.015604871377222334,0.011253756068094214,0.00791230903858132,0.050535202736159364,166.0,17.47500000000001,242.52499999999998,True,True,False,False,False,0.058433860454275094,,,
337,design_000337,80,0.012280344035980745,0.009214814078064616,0.008007960143188986,0.043103816944931594,99.0,18.0,178.0,True,True,False,False,False,0.03688806629494672,,,
338,design_000338,142,0.014871183726320113,0.010516351821503903,0.008977496174158231,0.049873932654780975,149.0,50.0,209.52499999999998,True,True,False,False,False,0.03965539445303154,,,
339,design_000339,290,0.02222821340281648,0.013934809318348444,0.009980465971162833,0.06321856193483945,293.0,31.95000000000002,354.525,True,True,False,False,False,0.031162197035918545,,,
340,design_000340,26,0.00928851400271815,0.0055064564948573745,0.008358920768470397,0.029287065717565237,35.5,2.0,389.04999999999995,True,True,False,False,False,0.045342495810917954,,,
341,design_000341,248,0.019388198433398573,0.008326960674359028,0.015800736638711784,0.04797256986224199,243.5,167.0,393.0,True,True,False,False,False,0.007928668187267182,,,
342,design_000342,48,0.010470906937313588,0.0051944481301150775,0.010024086639014123,0.02958872001860687,51.0,11.0,403.6249999999999,True,True,False,False,False,0.04042491697706145,,,
343,design_000343,30,0.009491263203174909,0.005090132157077824,0.009294234297158583,0.028847687927715096,37.0,5.0,356.04999999999995,True,True,False,False,False,0.021987075272300226,,,
344,design_000344,452,0.03937886138088173,0.01728624140766305,0.02012712138768832,0.0855866115371307,452.0,359.65000000000015,465.0,True,True,False,False,False,0.015278612178607064,,,
345,design_000345,199,0.016862715660827147,0.012488330685174444,0.007829619939905172,0.055345614586304624,193.0,14.47500000000001,277.0,True,True,False,False,False,0.04380308832880462,,,
346,design_000346,170,0.015616871993276882,0.009795365865070307,0.01041498710946007,0.04772719300830121,166.0,61.47500000000001,230.52499999999998,True,True,False,False,False,0.03452078763343949,,,
347,design_000347,11,0.008021008677925674,0.005868845978411348,0.0071668879374722425,0.030188984538076426,20.0,2.4750000000000103,259.59999999999945,True,True,False,False,False,0.046562641442164356,,,
348,design_000348,232,0.0186641906683228,0.010299629195618677,0.01237842926420475,0.05236268401463426,228.0,157.42500000000004,293.04999999999995,True,True,False,False,False,0.012069014009674684,,,
349,design_000349,354,0.02614629032701999,0.014250964757289845,0.013290063262578594,0.06925466779199624,352.0,177.47500000000002,370.0,True,True,False,False,False,0.024266861193182304,,,
350,design_000350,482,0.046347282716072524,0.01702914089281353,0.027319557787799358,0.0924237456406377,483.0,460.95000000000005,492.0,True,True,False,False,False,0.004688829098094616,,,
351,design_000351,496,0.05101284469934536,0.017690920642004507,0.030801421384044812,0.09839888250389713,496.0,486.0,501.0,True,True,False,False,False,0.004170592604069103,,,
352,design_000352,403,0.03136448363556828,0.017889847643724924,0.012095078486646973,0.08147461060487378,401.0,129.90000000000003,447.0,True,True,False,False,False,0.0429160179336184,,,
353,design_000353,356,0.026255159381863034,0.010973046648562176,0.018402515325037862,0.061421709195028394,351.0,298.0,404.0,True,True,False,False,False,0.008353498425042663,,,
354,design_000354,430,0.03527523374831931,0.019178634378900678,0.013725612848179074,0.08782324591732026,429.5,174.95000000000002,476.525,True,True,False,False,False,0.040825688303327834,,,
355,design_000355,394,0.030320512519529275,0.014997917956518798,0.015591716980082585,0.0744976565691845,394.0,244.47500000000002,405.0,True,True,False,False,False,0.01926357606750677,,,
356,design_000356,407,0.0319501508322258,0.01580348732956888,0.01600583268514661,0.0772016626880318,406.0,254.37500000000006,419.0,True,True,False,False,False,0.0214406811912336,,,
357,design_000357,467,0.042119072248395,0.01540817352272699,0.025927336773595377,0.08473044566437479,465.0,434.0,484.0,True,True,False,False,False,0.008523335653466602,,,
358,design_000358,471,0.04475464078843812,0.017091830592156045,0.025888731352444242,0.09100666639248715,472.0,455.475,480.0,True,True,False,False,False,0.006461632545369225,,,
359,design_000359,464,0.04144047337113996,0.020593656668409187,0.016978539923495076,0.09634662851282666,461.0,265.32500000000005,493.525,True,True,False,False,False,0.048449996057516015,,,
360,design_000360,475,0.04519525140649149,0.016776540686368357,0.026639646473425274,0.09082090796846672,475.0,451.475,488.0,True,True,False,False,False,0.007075168451264677,,,
361,design_000361,369,0.02692620521828233,0.015014298649575023,0.012484989972352627,0.07085998817017382,362.0,135.90000000000003,382.0,True,True,False,False,False,0.02209927963400625,,,
362,design_000362,411,0.03211470303229774,0.01814196175282204,0.012834496520710201,0.08141678757810125,407.0,119.37500000000006,444.525,True,True,False,False,False,0.045249841055210564,,,
363,design_000363,491,0.047641049719255514,0.02157052487292613,0.021818684255772727,0.10460911419946854,491.0,371.425,502.0,True,True,False,False,False,0.029345953486371392,,,
364,design_000364,365,0.026481473325860677,0.016333416978807247,0.0109453556529625,0.07263146061163331,357.0,72.90000000000003,402.525,True,True,False,False,False,0.04048616549471958,,,
365,design_000365,345,0.025256899644505722,0.015616661515341615,0.010357348132854811,0.07064066022905814,340.5,64.95000000000002,376.0,True,True,False,False,False,0.02734052815831022,,,
366,design_000366,476,0.04550202712375359,0.016859859493346063,0.026829422999765245,0.091176487375939,477.0,456.475,489.0,True,True,False,False,False,0.007532717568171322,,,
367,design_000367,486,0.04665021050804543,0.017842030579510358,0.02609809707938094,0.09444283319489223,485.0,468.475,490.0,True,True,False,False,False,0.0060941511152966385,,,
368,design_000368,459,0.040864500684714006,0.015532782923486792,0.02452111848196984,0.08378472300049679,460.0,427.475,477.0,True,True,False,False,False,0.009117836485904784,,,
369,design_000369,426,0.03494339522187661,0.014318585348661135,0.020749843615625107,0.07550282620809581,427.0,373.95000000000005,456.0,True,True,False,False,False,0.01144017975173551,,,
370,design_000370,349,0.025738363093736588,0.015997580553064727,0.010546322195009792,0.07189431154661742,345.0,60.42500000000003,406.04999999999995,True,True,False,False,False,0.0429363719264737,,,
371,design_000371,408,0.03199128767419389,0.015125903745626923,0.016832475136696855,0.07494457421360523,405.0,287.475,422.0,True,True,False,False,False,0.014884895106620732,,,
