design_index,design_id,source_time_index,day,risk
3,design_000003,50,12.5,0.05647336572506001
3,design_000003,60,15.0,0.060763752477546965
3,design_000003,70,17.5,0.04523046570494594
3,design_000003,80,20.0,0.025610648446206568
3,design_000003,90,22.5,0.016882671409629898
3,design_000003,100,25.0,0.010128488425604518
3,design_000003,110,27.5,0.004239716399934585
3,design_000003,120,30.0,0.0014875019668833594
3,design_000003,130,32.5,0.003700034704042725
3,design_000003,140,35.0,0.006818789364259769
3,design_000003,150,37.5,0.008235172309054083
3,design_000003,160,40.0,0.011833034523440328
3,design_000003,170,42.5,0.011581117448211718
3,design_000003,180,45.0,0.014009688747824772
4,design_000004,0,0.0,0.002418392229847593
4,design_000004,10,2.5,0.0019582076133124104
4,design_000004,20,5.0,0.0065419514206072945
4,design_000004,30,7.5,0.01452318283399338
4,design_000004,40,10.0,0.017075846504246255
4,design_000004,50,12.5,0.019754956212876238
4,design_000004,60,15.0,0.01769926899662587
4,design_000004,70,17.5,0.004247047435980663
4,design_000004,80,20.0,0.0025212882901541095
4,design_000004,90,22.5,0.003449969353793884
4,design_000004,100,25.0,0.0032537457563188194
4,design_000004,110,27.5,0.002899570669669343
4,design_000004,120,30.0,0.0010321920250507784
4,design_000004,130,32.5,0.002391187857925348
4,design_000004,140,35.0,0.004339203496615611
4,design_000004,150,37.5,0.00527400082735837
4,design_000004,160,40.0,0.007806238224463153
4,design_000004,170,42.5,0.00703260334115615
4,design_000004,180,45.0,0.007287012580641218
5,design_000005,0,0.0,0.002068183356061605
5,design_000005,10,2.5,0.008873104700879639
5,design_000005,20,5.0,0.037419329786628756
5,design_000005,30,7.5,0.06313410662465643
5,design_000005,40,10.0,0.07353499750572345
5,design_000005,50,12.5,0.0646531306233133
5,design_000005,60,15.0,0.06067161098912176
5,design_000005,70,17.5,0.04980186084392328
5,design_000005,80,20.0,0.03392823666438959
5,design_000005,90,22.5,0.029767504402940063
5,design_000005,100,25.0,0.0213816438075614
5,design_000005,110,27.5,0.010482337683237902
5,design_000005,120,30.0,0.004171329762662386
5,design_000005,130,32.5,0.003523206826692483
5,design_000005,140,35.0,0.004146504433322694
5,design_000005,150,37.5,0.004700274699188999
5,design_000005,160,40.0,0.0072033944905331715
5,design_000005,170,42.5,0.006516921823671971
5,design_000005,180,45.0,0.009424626734864622
6,design_000006,0,0.0,0.00188583081985325
6,design_000006,10,2.5,0.08503445819464756
6,design_000006,20,5.0,0.05745851895708412
6,design_000006,30,7.5,0.05438251384193821
6,design_000006,40,10.0,0.06668404528862505
6,design_000006,50,12.5,0.07099691305735663
6,design_000006,60,15.0,0.0767128653179062
6,design_000006,70,17.5,0.07026143451685948
6,design_000006,80,20.0,0.051189557088295576
6,design_000006,90,22.5,0.045036528147332104
6,design_000006,100,25.0,0.031786431480321384
6,design_000006,110,27.5,0.021543173857384648
6,design_000006,120,30.0,0.010263278517744952
6,design_000006,130,32.5,0.012722673888660538
6,design_000006,140,35.0,0.015847577601795074
6,design_000006,150,37.5,0.015713520479948066
6,design_000006,160,40.0,0.018533350011617135
6,design_000006,170,42.5,0.01860840273793301
6,design_000006,180,45.0,0.018842399011521398
7,design_000007,0,0.0,0.001966149503392023
7,design_000007,10,2.5,0.004293911042978816
7,design_000007,20,5.0,0.003637098800888287
7,design_000007,30,7.5,0.009447047095176003
7,design_000007,40,10.0,0.02362161700814537
7,design_000007,50,12.5,0.03690534365139446
7,design_000007,60,15.0,0.043912048429792155
7,design_000007,70,17.5,0.04408438138617411
7,design_000007,80,20.0,0.0394423176470788
7,design_000007,90,22.5,0.035944567637235025
