candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,feasible,proxy_evaluated,proxy_A_full_h,proxy_passes,proxy_trial_count,proxy_grid_n,prescreen_evaluated,selection_evaluated,validation_evaluated,is_saved_full,is_existing_pool_winner,is_rerun_winner,prescreen_A_full_h,prescreen_passes,prescreen_trial_count,prescreen_grid_n,selection_A_full_h,selection_passes,selection_trial_count,selection_grid_n,validation_A_full_h,validation_passes,validation_trial_count,validation_grid_n
"[0.5010483280976686,2.3650031965318026]","[0.5010483280976686,2.3650031965318026]","[28.707954532082553,135.50470169622105]","[""normal_multistart_2""]",True,True,0.08304875610717563,0.07966587480675967,73.2032528358615,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[3.061144726328508,5.134986566939288]","[3.061144726328508,5.134986566939288]","[175.39067329735292,294.213058141993]","[""normal_multistart_3""]",True,True,0.10274341628537295,0.10055440023384596,61.177615155359945,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[1.273437191318765,2.444662196079211]","[1.273437191318765,2.444662196079211]","[72.96257653755879,140.0688261705221]","[""normal_multistart_4""]",True,True,0.08219763091637367,0.07760630834612282,67.10624963296331,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[2.1810485329415426,2.7938565793806336]","[2.1810485329415426,2.7938565793806336]","[124.96487585075029,160.07619056336716]","[""normal_multistart_5""]",True,True,0.08344258146931784,0.07919613454461052,35.111314712616874,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[1.9101654352309412,3.2263606337528867]","[1.9101654352309412,3.2263606337528867]","[109.44441761050294,184.85684750119395]","[""normal_multistart_6""]",True,True,0.08580858958090885,0.08598610999781357,75.41242989069102,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.9602498034084563,2.902481076645211]","[0.9602498034084563,2.902481076645211]","[55.01826101357156,166.2999158083578]","[""normal_multistart_7""]",True,True,0.08078164084206373,0.07866368952940603,68.71834520521375,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[4.039496061755349,4.554196857026328]","[4.039496061755349,4.554196857026328]","[231.44607569829884,260.936258979353]","[""normal_multistart_8""]",True,True,0.07458007892705532,0.07059112810438564,29.490183281054158,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.13397425233046445,5.796359392485462]","[0.13397425233046445,5.796359392485462]","[7.676159221956347,332.1069297304308]","[""normal_multistart_9""]",True,True,0.07963865306448,0.07814673352116489,35.56922949152556,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[1.8683152607840914,2.57455463774643]","[1.8683152607840914,2.57455463774643]","[107.0465792428122,147.51111486870298]","[""normal_multistart_10""]",True,True,0.08161390542861431,0.0773889128988022,40.464535625890775,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[4.496326854599068,5.867958328334777]","[4.496326854599068,5.867958328334777]","[257.6205520798591,336.2092465722245]","[""normal_multistart_11""]",True,True,0.07578279096015551,0.07270857187056752,78.58869449236539,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4378468593154204,1.2053392262704312]","[0.4378468593154204,1.2053392262704312]","[25.0867771118319,69.06085054685987]","[""initial_ring_center_0_r2_0""]",True,True,0.06876883365968225,0.06611256296299071,43.97407343502797,True,True,25.60501703487055,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4276229572653025,1.2300219092601998]","[0.4276229572653025,1.2300219092601998]","[24.500990674204996,70.47506410923296]","[""initial_ring_center_0_r2_1""]",True,True,0.0688241065863412,0.0661731547147207,45.97407343502796,True,True,25.056109241294568,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40294027427553375,1.2402458113103179]","[0.40294027427553375,1.2402458113103179]","[23.0867771118319,71.06085054685987]","[""initial_ring_center_0_r2_2""]",True,True,0.06890645615453438,0.0663173200276248,47.97407343502797,True,True,21.79643288101078,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3782575912857651,1.2300219092601998]","[0.3782575912857651,1.2300219092601998]","[21.672563549458804,70.47506410923296]","[""initial_ring_center_0_r2_3""]",True,True,0.06892564635392653,0.0664321959546351,48.80250055977416,True,True,18.33800056785288,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.36803368923564717,1.2053392262704312]","[0.36803368923564717,1.2053392262704312]","[21.0867771118319,69.06085054685987]","[""initial_ring_center_0_r2_4""]",True,True,0.06885338510913318,0.06642441974356789,47.97407343502797,True,True,16.727872082127984,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3782575912857651,1.1806565432806626]","[0.3782575912857651,1.1806565432806626]","[21.672563549458804,67.64663698448678]","[""initial_ring_center_0_r2_5""]",True,True,0.06876999184254672,0.06632244822426453,45.974073435027975,True,True,17.383078245600302,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40294027427553375,1.1704326412305446]","[0.40294027427553375,1.1704326412305446]","[23.0867771118319,67.06085054685987]","[""initial_ring_center_0_r2_6""]",True,True,0.06874609612990638,0.06622003032270539,43.97407343502797,True,True,19.876769784193932,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4276229572653025,1.1806565432806626]","[0.4276229572653025,1.1806565432806626]","[24.500990674204996,67.64663698448678]","[""initial_ring_center_0_r2_7""]",True,True,0.06875436920285649,0.0661457721388768,43.145646310281776,True,True,23.230330192588838,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.42039356679547707,1.2053392262704312]","[0.42039356679547707,1.2053392262704312]","[24.0867771118319,69.06085054685987]","[""initial_ring_center_0_r1_0""]",True,True,0.06875299674354607,0.06615007522504128,44.97407343502797,True,True,23.204132074227278,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4152816157704181,1.2176805677653155]","[0.4152816157704181,1.2176805677653155]","[23.793883893018446,69.76795732804642]","[""initial_ring_center_0_r1_1""]",True,True,0.06878247027442072,0.06618367696226007,45.974073435027975,True,True,22.909473325853575,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40294027427553375,1.2227925187903745]","[0.40294027427553375,1.2227925187903745]","[23.0867771118319,70.06085054685987]","[""initial_ring_center_0_r1_2""]",True,True,0.06881467718699512,0.06624920265638709,46.97407343502797,True,True,21.379374500216016,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.39059893278064944,1.2176805677653155]","[0.39059893278064944,1.2176805677653155]","[22.379670330645354,69.76795732804642]","[""initial_ring_center_0_r1_3""]",True,True,0.0688203303417365,0.0663010405256809,47.38828699740107,True,True,19.653439094879523,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.3854869817555905,1.2053392262704312]","[0.3854869817555905,1.2053392262704312]","[22.0867771118319,69.06085054685987]","[""initial_ring_center_0_r1_4""]",True,True,0.06879152001667845,0.06630192369471821,46.97407343502797,True,True,18.75514025408269,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.39059893278064944,1.1929978847755467]","[0.39059893278064944,1.1929978847755467]","[22.379670330645354,68.35374376567331]","[""initial_ring_center_0_r1_5""]",True,True,0.06875512419639518,0.06625807878800843,45.97407343502796,True,True,19.076799107023227,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40294027427553375,1.187885933750488]","[0.40294027427553375,1.187885933750488]","[23.0867771118319,68.06085054685987]","[""initial_ring_center_0_r1_6""]",True,True,0.06873756512021588,0.06620299994141096,44.97407343502797,True,True,20.414982326661466,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.4152816157704181,1.1929978847755467]","[0.4152816157704181,1.1929978847755467]","[23.793883893018446,68.35374376567331]","[""initial_ring_center_0_r1_7""]",True,True,0.06873879533108632,0.06616135635905722,44.55985987265487,True,True,22.11400195551633,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.40523895007384897,1.2015904235629604]","[0.40523895007384897,1.2015904235629604]","[23.218481533544225,68.84605997349458]","[""initial_ring_center_1_r2_0""]",True,True,0.06875003552813685,0.06619828654832788,45.627578439950355,True,True,21.104008696350753,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.39501504802373105,1.226273106552729]","[0.39501504802373105,1.226273106552729]","[22.63269509591732,70.26027353586767]","[""initial_ring_center_1_r2_1""]",True,True,0.06884737131822258,0.06630322584838959,47.62757843995035,True,True,20.410552571112245,True,2,51,False,False,False,False,False,False,,,,,,,,,,,,
"[0.37033236503396244,1.236497008602847]","[0.37033236503396244,1.236497008602847]","[21.218481533544228,70.84605997349458]","[""initial_ring_center_1_r2_2""]",True,True,0.06900773692405958,0.06653167211714965,49.62757843995035,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.34564968204419366,1.226273106552729]","[0.34564968204419366,1.226273106552729]","[19.80426797117113,70.26027353586767]","[""initial_ring_center_1_r2_3""]",True,True,0.06910227672988055,0.06673018925035322,50.45600556469654,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
"[0.33542577999407575,1.2015904235629604]","[0.33542577999407575,1.2015904235629604]","[19.218481533544225,68.84605997349458]","[""initial_ring_center_1_r2_4""]",True,True,0.06904606142530098,0.0667421977210079,49.627578439950355,False,False,,,,,False,False,False,False,False,False,,,,,,,,,,,,
