pair_id,spot_regime,labyrinth_regime,spot_feed,spot_kill,labyrinth_feed,labyrinth_kill,calibration_residual_standardized,spot_ess_fraction,labyrinth_ess_fraction,minimum_ess_fraction,spot_weight_entropy_fraction,labyrinth_weight_entropy_fraction,spot_max_weight,labyrinth_max_weight,spot_lambda_norm,labyrinth_lambda_norm,spot_covariance_condition,labyrinth_covariance_condition,calibrated_morphology_effect_size,endpoint_gate_pass,failure_reason,method_blind_endpoint_score
grid_F0320_k0630__gs_08,grid_F0320_k0630,gs_08,0.032,0.063,0.046,0.063,0.5046138039001136,0.7093642153658066,0.6425153499630851,0.6425153499630851,0.9566726811508822,0.9377875843602917,0.06282394485459317,0.0567904410266779,199.99924196669772,199.99924196669772,18523.649691799754,98480.87681942915,1.1892897024518114,False,calibration_residual,-8.489414720901532
grid_F0420_k0650__grid_F0320_k0590,grid_F0420_k0650,grid_F0320_k0590,0.042,0.065,0.032,0.059,0.3467880677993628,0.07357369070560751,0.13932049979507732,0.07357369070560751,0.4708765247823446,0.6287974347560328,0.37404689777858996,0.23697479073065617,199.1848099564836,199.1848099564836,20072.418595364274,15778.811784285812,1.4327242205949682,False,calibration_residual;endpoint_ess,-8.489729431876409
gs_15__grid_F0360_k0600,gs_15,grid_F0360_k0600,0.03,0.062,0.036,0.06,0.43365241490910944,0.6542380257101094,0.1312578504842546,0.1312578504842546,0.9527614612509016,0.7260087849879475,0.06960868733961012,0.3094528248554282,199.88117847159523,199.88117847159523,31996.440112878732,9950.758249956183,1.4368361280556678,False,calibration_residual;endpoint_ess,-8.491593870281967
gs_16__gs_09,gs_16,gs_09,0.034,0.063,0.054,0.062,0.6238679949336463,0.3655822914560175,0.4229915047062202,0.3655822914560175,0.8499926331955587,0.8800188399716422,0.10648190673171869,0.07308048231388875,199.9983849261099,199.9983849261099,54530.23733854221,328126.1229101443,1.3254464083867143,False,calibration_residual,-8.491681692190772
grid_F0340_k0640__grid_F0300_k0580,grid_F0340_k0640,grid_F0300_k0580,0.034,0.064,0.03,0.058,0.4146408199687317,0.226736512864377,0.38410725109391375,0.226736512864377,0.7808013442407337,0.8726859230622585,0.14306109079313983,0.12548947295197385,199.847923393649,199.847923393649,27854.483304123387,7944.740332800099,1.3866305186610337,False,calibration_residual,-8.49239739458923
grid_F0320_k0615__grid_F0360_k0600,grid_F0320_k0615,grid_F0360_k0600,0.032,0.0615,0.036,0.06,0.3070979734712452,0.7539204311046458,0.3722761422838343,0.3722761422838343,0.9694089810001427,0.8897192620208375,0.055685448826343825,0.126942258744613,199.9977197174965,199.9977197174965,28734.938325404386,10905.251367036852,1.3201413752419737,False,calibration_residual,-8.493606539490935
grid_F0320_k0630__grid_F0300_k0585,grid_F0320_k0630,grid_F0300_k0585,0.032,0.063,0.03,0.0585,0.32146752768969367,0.21722715940111278,0.33919004781173556,0.21722715940111278,0.8012876398897361,0.8311563585608814,0.18089970270775746,0.10944544491766575,199.8340416858726,199.8340416858726,8871.655957475456,9310.375146132099,1.3892009920691757,False,calibration_residual,-8.493887512523898
gs_15__gs_08,gs_15,gs_08,0.03,0.062,0.046,0.063,0.524059374373766,0.7512024416054455,0.646836279087595,0.646836279087595,0.961686882720574,0.9388110847485897,0.037059128743793086,0.05655139305485019,199.99971110571227,199.99971110571227,42290.07668350294,87085.2458487653,1.181986940832691,False,calibration_residual,-8.494580474909124
grid_F0360_k0630__grid_F0300_k0570,grid_F0360_k0630,grid_F0300_k0570,0.036,0.063,0.03,0.057,0.4797720047769349,0.4470927486136696,0.8474791027258338,0.4470927486136696,0.8998493968296705,0.978727645395195,0.1059292154949365,0.04177848928524139,199.9949009086515,199.9949009086515,26760.510689023842,15423.986994889494,1.2810452912543797,False,calibration_residual,-8.495153379871361
grid_F0380_k0650__grid_F0360_k0605,grid_F0380_k0650,grid_F0360_k0605,0.038,0.065,0.036,0.0605,0.4772416311218547,0.5055957001487749,0.5053050897068841,0.5053050897068841,0.9105212872499888,0.9087444481646713,0.08241999105765714,0.07188593891506746,199.9997281646708,199.9997281646708,16594.34169601225,15539.477639778233,1.2512104906200916,False,calibration_residual,-8.496123372760007
grid_F0320_k0615__grid_F0320_k0600,grid_F0320_k0615,grid_F0320_k0600,0.032,0.0615,0.032,0.06,0.1615533382548749,0.9126047532051333,0.7316102821512307,0.7316102821512307,0.9882299074527517,0.968158777737508,0.027021969486628085,0.06790910784225078,199.99923168557785,199.99923168557785,17810.40180267477,13224.743386538114,1.1323048258115374,False,calibration_residual,-8.50185161739174
grid_F0300_k0630__grid_F0340_k0600,grid_F0300_k0630,grid_F0340_k0600,0.03,0.063,0.034,0.06,0.46586190273508016,0.8784957360463829,0.46403981869035366,0.46403981869035366,0.986606894128141,0.899347858985524,0.04379034136209981,0.08033669722751587,199.99402475397244,199.99402475397244,129451.69614974536,12442.90194958231,1.2646083042819383,False,calibration_residual,-8.503073024071508
grid_F0420_k0650__grid_F0320_k0585,grid_F0420_k0650,grid_F0320_k0585,0.042,0.065,0.032,0.0585,0.38971558304543397,0.05493969605935365,0.2080925382044566,0.05493969605935365,0.4223505602947485,0.7097676741473403,0.4826232004340031,0.16263765511915354,199.65931728084465,199.65931728084465,31801.617692817377,54191.70148900446,1.4502199267432996,False,calibration_residual;endpoint_ess,-8.505276089269257
gs_17__grid_F0420_k0610,gs_17,grid_F0420_k0610,0.038,0.064,0.042,0.061,0.4875112006445056,0.62198920448359,0.22192537563874248,0.22192537563874248,0.9450468705669779,0.812550003528241,0.06760146338766479,0.22082185283696745,199.91690156175153,199.91690156175153,17080.291442479876,33593.94250458239,1.3776917183116744,False,calibration_residual,-8.507190671956531
gs_07__grid_F0320_k0595,gs_07,grid_F0320_k0595,0.042,0.059,0.032,0.0595,0.5930825344422662,0.8224095759084835,0.8050882791443682,0.8050882791443682,0.9767053534126422,0.9730542403921734,0.04056731199594468,0.043441445444019726,199.9995137328266,199.9995137328266,82055.53857398288,9452.86704895957,1.0898472537496036,False,calibration_residual,-8.507584293319544
grid_F0280_k0610__gs_06,grid_F0280_k0610,gs_06,0.028,0.061,0.038,0.061,0.419651854344687,0.3794239433580267,0.3141753256561241,0.3141753256561241,0.8888594643279927,0.8374045258727143,0.15118535212869802,0.13359373677274064,199.89473323973817,199.89473323973817,22010.495812881298,20055.09617697372,1.3296847246215169,False,calibration_residual,-8.507964274537331
grid_F0300_k0625__grid_F0360_k0610,grid_F0300_k0625,grid_F0360_k0610,0.03,0.0625,0.036,0.061,0.3990859774963246,0.9062453828715535,0.5311535411182865,0.5311535411182865,0.9895681590621599,0.918512286942465,0.035535333701475394,0.08547675981740971,199.98988411004228,199.98988411004228,188364.09155115302,16320.11205662285,1.2237193784233504,False,calibration_residual,-8.510198056519622
grid_F0280_k0615__grid_F0360_k0610,grid_F0280_k0615,grid_F0360_k0610,0.028,0.0615,0.036,0.061,0.3806734398504861,0.789254330155079,0.4900354713272137,0.4900354713272137,0.9736633574718474,0.909804716836536,0.06524907267292972,0.0975928092034531,199.9785258111869,199.9785258111869,11249.649796983182,16960.884844027096,1.241749759245015,False,calibration_residual,-8.512158795650723
gs_17__grid_F0320_k0595,gs_17,grid_F0320_k0595,0.038,0.064,0.032,0.0595,0.28387869608451166,0.28281646127709276,0.782895273894736,0.28281646127709276,0.8501725887617557,0.9670474278866558,0.17912884878313443,0.03625059678825045,199.94967180216986,199.94967180216986,25354.175852121054,9033.016325056535,1.3435724606499813,False,calibration_residual,-8.512502898819967
grid_F0280_k0610__grid_F0360_k0610,grid_F0280_k0610,grid_F0360_k0610,0.028,0.061,0.036,0.061,0.34042316787475807,0.49821768712903536,0.43190505629323894,0.43190505629323894,0.9144120303605192,0.8907541045119443,0.09529900764720979,0.10459925590787829,199.90885936271837,199.90885936271837,11691.545010203454,16915.117917009342,1.2657224381435899,False,calibration_residual,-8.51376800184571
gs_17__grid_F0360_k0610,gs_17,grid_F0360_k0610,0.038,0.064,0.036,0.061,0.27617712131877536,0.5406493050459112,0.6483354497017053,0.5406493050459112,0.9251670755792512,0.9443734264092412,0.08578792133745965,0.061082228405649044,199.99459100531288,199.99459100531288,19324.244832619635,16485.933555598003,1.2133999708367973,False,calibration_residual,-8.516004926905891
grid_F0360_k0630__grid_F0360_k0610,grid_F0360_k0630,grid_F0360_k0610,0.036,0.063,0.036,0.061,0.21460435363479155,0.800656330564516,0.7218808028268975,0.7218808028268975,0.9744212138212166,0.960840187390783,0.04398989388283222,0.05887212667015457,199.9988320230245,199.9988320230245,28340.2973776718,20104.970918923624,1.1209326764301488,False,calibration_residual,-8.51806852330763
grid_F0340_k0650__grid_F0320_k0585,grid_F0340_k0650,grid_F0320_k0585,0.034,0.065,0.032,0.0585,0.6779984453203125,0.6163323240267864,0.5428920951776959,0.5428920951776959,0.9448244918514671,0.9168781490443264,0.0674889274750923,0.05799925878419545,199.99581572874354,199.99581572874354,32699.45775705214,21242.030885484786,1.2100642926942693,False,calibration_residual,-8.51828044615406
