objective,model_seed,mean_reference_violation,max_reference_violation,integrated_reference_violation,mean_capture_fraction,integrated_capture_fraction,mean_reference_null_fraction,integrated_reference_null_fraction,mean_ess,min_ess,mean_projection_distortion,mean_lambda_norm,mean_max_weight,mean_weight_entropy,mean_covariance_condition,mean_trace_cov_phi_reference,mean_trace_cov_phi_projected,mean_reference_constrained_norm,mean_reference_null_norm,mean_projected_constrained_norm,mean_projected_null_norm,mean_projected_null_fraction,mean_tangent_constrained_norm,mean_tangent_null_norm,mean_tangent_null_fraction,mean_mfsi_safe_constrained_norm,mean_mfsi_safe_null_norm,mean_mfsi_safe_null_fraction,tangent_local_mmd,velocity_gap,tangent_rollout_mmd,mfsi_rollout_mmd,angular_error,max_moment_error
full_phi5,20260815,0.4803178823017305,0.9548926795442041,0.5921784705172611,0.9999999999953711,0.9999999999971004,0.0,0.0,0.6325796086393612,0.252491852631797,0.25791619043463837,0.6071582126240004,0.003800123162152167,8.059849976284704,1.2968244611456619,3.5253185711699517,5.030471737063732,0.4803178823017305,0.0,2.9971592836610714e-17,0.0,0.0,0.0023667482718878344,0.0,0.0,0.0023667482896932127,0.0,0.0,0.08347301377118035,0.5423852209405958,0.08407559914640865,0.08406946399627574,0.07852068589642472,0.0014380355660266243
full_phi5,20260816,0.4803178823017305,0.9548926795442041,0.5921784705172611,0.9999999999953711,0.9999999999971004,0.0,0.0,0.6325796086393612,0.252491852631797,0.25791619043463837,0.6071582126240004,0.003800123162152167,8.059849976284704,1.2968244611456619,3.5253185711699517,5.030471737063732,0.4803178823017305,0.0,2.9971592836610714e-17,0.0,0.0,0.0023667482718878344,0.0,0.0,0.0023624365362663337,0.0,0.0,0.08347301377118035,0.37553238100898934,0.08407559914640865,0.08904405373134672,0.11347495823549383,0.0014380355660266243
full_phi5,20260817,0.4803178823017305,0.9548926795442041,0.5921784705172611,0.9999999999953711,0.9999999999971004,0.0,0.0,0.6325796086393612,0.252491852631797,0.25791619043463837,0.6071582126240004,0.003800123162152167,8.059849976284704,1.2968244611456619,3.5253185711699517,5.030471737063732,0.4803178823017305,0.0,2.9971592836610714e-17,0.0,0.0,0.0023667482718878344,0.0,0.0,0.0023653129656216404,0.0,0.0,0.08347301377118035,0.6059060710234039,0.08407559914640865,0.08242429653134195,0.08181437278046662,0.0014386975106834296
full_phi5,20260818,0.4803178823017305,0.9548926795442041,0.5921784705172611,0.9999999999953711,0.9999999999971004,0.0,0.0,0.6325796086393612,0.252491852631797,0.25791619043463837,0.6071582126240004,0.003800123162152167,8.059849976284704,1.2968244611456619,3.5253185711699517,5.030471737063732,0.4803178823017305,0.0,2.9971592836610714e-17,0.0,0.0,0.0023667482718878344,0.0,0.0,0.0023663724206742114,0.0,0.0,0.08347301377118035,0.2884288454333701,0.08407559914640865,0.08335819302708677,0.07909643824898449,0.0014390132678862798
full_phi5,20260819,0.4803178823017305,0.9548926795442041,0.5921784705172611,0.9999999999953711,0.9999999999971004,0.0,0.0,0.6325796086393612,0.252491852631797,0.25791619043463837,0.6071582126240004,0.003800123162152167,8.059849976284704,1.2968244611456619,3.5253185711699517,5.030471737063732,0.4803178823017305,0.0,2.9971592836610714e-17,0.0,0.0,0.0023667482718878344,0.0,0.0,0.002366151065512891,0.0,0.0,0.08347301377118035,0.4826065248759927,0.08407559914640865,0.07991349113576729,0.0759667670484548,0.0014380728847006527
info,20260810,0.46718378662925786,0.9364494675828048,0.5778712489230734,0.8178920103374182,0.8706094873887865,0.18210798965795305,0.12939051260831402,0.63957096652831,0.2566131684115948,0.24612544917973458,0.586535721339084,0.0038715730264787594,8.07164071753961,1.2415179466895248,2.1329712243583305,3.040801029933217,0.4671837866292579,0.10236156419805335,3.482688882314042e-17,0.12014818330361746,0.9999999999617495,0.001986640016446044,0.018408492841825604,0.8170964839874909,0.0019856934260458594,0.13417633390988906,0.8589042492403355,0.08373896022951932,0.9012887921449633,0.1020902880724576,0.08499400003648111,0.05521644225005392,0.0015291021406120971
info,20260811,0.4747705005082614,0.9513968069061062,0.5873969143428842,0.8298535583342264,0.8903053566383032,0.17014644166114457,0.10969464335879697,0.6333816094510972,0.24909525286914821,0.25470915143509765,0.5976678139172924,0.0038928645123069,8.063057015284246,1.2495557500649448,2.109485166822412,3.0354334789937725,0.4747705005082614,0.05194440113282996,3.377807251898555e-17,0.06468796186127769,0.9999999999407133,0.0015330645970146118,0.02010645826020685,0.89792667612979,0.0015305174745230332,0.1077788928472256,0.915949853125989,0.08391930003334619,0.3101349706048556,0.08756190817288166,0.08211519309166469,0.05822286991354868,0.001245162745181328
info,20260812,0.47120216243113544,0.9440915420190301,0.5833889294969421,0.8023367117911782,0.868626231910303,0.19766328820419285,0.1313737680867973,0.6360911485439058,0.24855996847488931,0.25067338319671406,0.590924802215446,0.003824541806392214,8.06709278352263,1.5441009799539085,2.028074396880738,3.0223128612892607,0.47120216243113544,0.07610033396814464,3.333692470159512e-17,0.09590469270399012,0.9999999999740815,0.001957371341526115,0.01233498977579422,0.822531625011069,0.001950918679892434,0.06521960405773577,0.8620391423063452,0.08177557306551794,0.40555260822311656,0.09175198972973456,0.08130986687433567,0.07409713603105096,0.0017085545523007665
info,20260813,0.3012003897494753,0.608181548447169,0.3705794202133112,0.45868963877001206,0.4332103008061822,0.5413103612253591,0.5667896991909182,0.7816266710302009,0.47599950045666,0.11098672611745412,0.4206807115115821,0.0024474887178544467,8.20677944060189,1.7231629344703674,2.135284918648841,2.566605948316538,0.3012003897494753,0.37309311892527686,2.914894968041687e-17,0.3416702652046102,0.9999999999827157,0.0020426535459832154,0.20168246339236082,0.8501704515543712,0.0020426527929743666,0.20197736762749513,0.8499922646062719,0.06480099432229632,0.4147162898465647,0.1198339010001352,0.11908350415559592,0.04149772347633971,0.0017485646411297359
info,20260814,0.25003781186322943,0.5060602568328024,0.3062332112060669,0.4115152409448061,0.3564203717101232,0.5884847590505651,0.6435796282869772,0.8579633206746914,0.6256608727021558,0.07569492332389652,0.36388640134937966,0.0011113319202960261,8.242071243395447,1.8866938084578506,2.031381330855066,2.3464968332783425,0.2500378118632294,0.4084677610380921,4.681577078827406e-17,0.3863917240430314,0.99999999994728,0.0022866443490954665,0.17562126506963321,0.7502133375733689,0.002104112871898673,0.469623302733676,0.8132773196520592,0.05849360850008482,1.0900343359383178,0.13220922095617477,0.07464180430192117,0.10079173791507368,0.0016791256295102727
info,20260815,0.3056621218501577,0.6023605691866258,0.3754832914265073,0.5024330909560053,0.4638315150788258,0.4975669090393658,0.5361684849182747,0.7751492216540865,0.47262015069260016,0.11923019529506586,0.44845428802366266,0.0023858188271176067,8.198535971424278,1.4672934781539677,2.0700599286285093,2.574001055893772,0.30566212185015773,0.3694204183241051,3.410609527906645e-17,0.3175612965560446,0.9999999999740381,0.0021089551736439547,0.17666521192530776,0.7803456254027167,0.0021090924109768068,0.28303044405882255,0.841091845425121,0.0645498617276605,0.7221502583079354,0.1025059099228326,0.07500011400158005,0.049370459258193375,0.0015355297446685932
