objective,model_seed,evaluation_seed,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,min_ess,max_moment_error,angular_error
fiber,20260811,20300812,0.05808188912788534,0.0699635343963388,0.052927673804607035,0.07394835663803136,0.8896094344048067,0.001271074404890987,0.052134264010900926
fiber,20260811,20300813,0.0490777956604996,0.07063227801046547,0.0609816045639762,0.07633484017225317,0.8896094344048067,0.0012710744048916342,0.03314997711653018
fiber,20260811,20300814,0.05001400017890917,0.07198357004748278,0.05269720269070496,0.0749233431943688,0.8896094344048067,0.0012710744048921967,0.02716209418672688
fiber,20260811,20300815,0.048880262835314936,0.05717240090644921,0.04912450518589331,0.07461264865268669,0.8896094344048067,0.001271074404892636,0.032588870356526904
fiber,20260811,20300816,0.05662729337208533,0.05942397201325394,0.04929721936198846,0.07489817732191076,0.8896094344048067,0.0012710744048922405,0.030898287954252854
fiber,20260811,20300817,0.05390712800365987,0.07708230524612701,0.06005231720909975,0.07505428237530871,0.8896094344048067,0.0012710744048918914,0.03928424933056359
fiber,20260811,20300818,0.06273025485551142,0.08050505614860486,0.07931697435430192,0.07438896286164498,0.8896094344048067,0.0012710744048924476,0.038149600838359575
fiber,20260811,20300819,0.05098143001917246,0.05677581012907806,0.052065605894712375,0.0751821345725641,0.8896094344048067,0.0012710744048914854,0.046146812810369954
random,20260811,20300810,0.0786045699446255,0.12703321906129036,0.0776672107220165,0.30036087556929636,0.38504441043890036,0.0011991486098179478,0.05712048331397723
random,20260811,20300811,0.0828806739320811,0.11748954924852277,0.07244714102320582,0.3037165487150231,0.38504441043890036,0.001199148609818378,0.06645783898031833
random,20260811,20300812,0.07945696326065246,0.1322854149421475,0.0839896985580661,0.30490766678101877,0.38504441043890036,0.0011991486098180345,0.06774616309067866
random,20260811,20300813,0.05787923817423655,0.07613668845557825,0.07723770760733369,0.3141138152679441,0.38504441043890036,0.0011991486098170538,0.05960594399117231
random,20260811,20300814,0.05418113887600828,0.1184781898087754,0.06546645975899829,0.297062237300034,0.38504441043890036,0.0011991486098184415,0.0405302273452895
random,20260811,20300815,0.0587989512295867,0.10039095426568727,0.06297358320723152,0.3023623125022006,0.38504441043890036,0.0011991486098168723,0.05648756128778042
random,20260811,20300816,0.07258590299022444,0.11316885424614563,0.06506714303936696,0.3034496884457338,0.38504441043890036,0.0011991486098180987,0.04376155463269362
random,20260811,20300817,0.06874430796854217,0.11623832494725306,0.07700068067805906,0.3039289215979235,0.38504441043890036,0.0011991486098166734,0.05977369852032907
random,20260811,20300818,0.07393929307078646,0.1323695927309058,0.09487053601158633,0.3081529041236365,0.38504441043890036,0.0011991486098186115,0.06267722286294268
random,20260811,20300819,0.06787118706346036,0.1150081227346194,0.06878885781571112,0.30817762673639115,0.38504441043890036,0.0011991486098200306,0.0711524071283363
full_phi5,20260811,20300810,0.0828038681976109,0.09720819813349701,0.08026821576649215,0.26285206650581017,0.23142405114846598,0.0014384457467822736,0.046361602310405925
