candidate_rank,pair_id,observation_dimension,coupling,schedule_amplitude,t,bank_count,bank_seed,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,projection_kl_distortion,lambda_norm,maximum_weight,covariance_rank,covariance_condition,hidden_shift_standardized_rms,hidden_shift_nontrivial,field_minimum,field_maximum,hard_range_violation_fraction,physical_range_gate_pass
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.3,4096,36000,True,1.1102230246251565e-16,True,3.774758283725532e-15,0.0008695333123975674,5.546676412586974,22.917526753258645,0.518753849048576,2,135.32343234567048,1.3223220139644913,True,-0.14092780649662018,0.46972131729125977,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.4,4096,36000,True,0.0,True,2.220446049250313e-16,0.0009056973375075771,4.686903009697554,16.223550389949995,0.5179416332844836,2,176.1148725992174,1.6270781303493473,True,-0.16777707636356354,0.4832954406738281,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.5,4096,36000,True,2.220446049250313e-16,True,1.8984813721090177e-13,0.00127782487250173,4.066845816221568,13.071489696199894,0.43515826000619123,2,183.65399735777683,1.7419643507511007,True,-0.1765415519475937,0.48839008808135986,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.6,4096,36000,True,0.0,True,4.218847493575595e-15,0.002941520320729367,3.551325262804264,11.516029946430537,0.27876365555583676,2,256.90613944819387,1.5455546377266214,True,-0.16629058122634888,0.4878041446208954,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.7,4096,36000,True,6.661338147750939e-16,True,9.547918011776346e-15,0.01952654088410667,2.468612786027778,7.285564973886234,0.03374709697755802,2,172.03345194740876,1.127302075790431,True,-0.13795487582683563,0.4905385375022888,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.8,4096,36000,True,2.220446049250313e-16,True,4.951594689828198e-13,0.04847542157596233,1.3893220447691599,4.171837673513651,0.019191379307127488,2,89.49338310369986,0.7240390922340716,True,-0.09802637994289398,0.4855339229106903,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.04,0.9,4096,36000,True,2.220446049250313e-16,True,6.905587213168474e-14,0.20883983461484074,0.4967859943878029,2.295941385167279,0.006738464825181397,2,83.12871534944296,0.3896051343152538,True,-0.05112483724951744,0.47490665316581726,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.1,4096,36000,True,0.0,True,4.218847493575595e-15,0.019946269394063892,2.767928799531972,22.259012774550158,0.06707727858198037,2,137.71428438210455,0.47386347866516754,True,-0.060292016714811325,0.4458751678466797,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.2,4096,36000,True,2.220446049250313e-16,True,2.886579864025407e-15,0.00442852205097956,3.89844345879391,23.493244912547453,0.19510277162808398,2,61.04831697916031,0.8099698977783288,True,-0.1272404044866562,0.4781424105167389,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.3,4096,36000,True,4.440892098500626e-16,True,4.887867888214714e-12,0.005197207244782845,3.0803754177776854,15.383579829784304,0.20205619553011442,2,91.79974541650066,1.12346990022717,True,-0.18021757900714874,0.4997364282608032,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.4,4096,36000,True,2.220446049250313e-16,True,1.7763568394002505e-15,0.00847492690111114,2.235332599329084,11.073091786965488,0.1639078280588596,2,148.9861777060751,1.3521295346708901,True,-0.21396495401859283,0.5228628516197205,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.5,4096,36000,True,0.0,True,6.8833827526759706e-15,0.01385196434180553,1.851193827911937,8.95970598816387,0.1259600437119491,2,182.60855233659683,1.3982128776945246,True,-0.2251063734292984,0.5299937725067139,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.6,4096,36000,True,0.0,True,6.250377992955691e-11,0.023923220507321288,1.7854413652956027,7.847484748229147,0.08553419721668233,2,208.0106134710696,1.3118624000191734,True,-0.21247845888137817,0.5218214988708496,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.7,4096,36000,True,2.220446049250313e-16,True,7.16537940093076e-13,0.044104402961285365,1.5894465312375043,5.850247357162159,0.02157068291406446,2,147.3016872831702,1.065080447184261,True,-0.1772446483373642,0.5103036165237427,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.8,4096,36000,True,0.0,True,1.9984014443252818e-15,0.07053585273189492,1.1015351081151636,3.8329006396040572,0.01601353453839424,2,92.85156633356439,0.6885838382417376,True,-0.12401262670755386,0.49989408254623413,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.05,0.9,4096,36000,True,6.661338147750939e-16,True,1.554312234475219e-14,0.23428214439914818,0.4513524536768987,2.227348200082786,0.006351849032537863,2,86.68461720996758,0.37172839583444217,True,-0.0647866278886795,0.4824562668800354,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.1,4096,36000,True,0.0,True,2.6645352591003757e-15,0.03528851878156757,2.2271396845295874,18.4272680391051,0.045413050673179474,2,91.30722005772982,0.4047034194238744,True,-0.07529936730861664,0.45733991265296936,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.2,4096,36000,True,2.220446049250313e-16,True,3.3306690738754696e-15,0.0273021517582872,2.260061411396491,14.773966647193152,0.043104400712722674,2,44.442406717686815,0.6564959016302447,True,-0.15578609704971313,0.4999496638774872,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.3,4096,36000,True,4.440892098500626e-16,True,1.865174681370263e-14,0.10239716700145475,1.1884378250579068,8.88024049990247,0.03041795238644195,2,126.13172207738916,0.8618299170956508,True,-0.2195073366165161,0.5300243496894836,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.4,4096,36000,True,1.1102230246251565e-15,True,3.3306690738754696e-15,0.374085260245692,0.513246499258018,4.839432424755061,0.008890733828008696,2,169.26424354556823,0.8179776248365719,True,-0.26015281677246094,0.5624302625656128,4.76837158203125e-07,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.5,4096,36000,True,9.992007221626409e-16,True,3.9968028886505635e-15,0.522273750365921,0.33390539762681226,3.5471846383175585,0.005327431779941894,2,203.88829610484038,0.7478544558540353,True,-0.2736711800098419,0.5715973973274231,7.152557373046875e-07,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.6,4096,36000,True,2.220446049250313e-16,True,5.773159728050814e-15,0.3639924606839309,0.4662980966074859,4.014429190966311,0.008931814961669069,2,235.36770488967684,0.8227069803968353,True,-0.25866633653640747,0.560465395450592,2.384185791015625e-07,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.7,4096,36000,True,5.551115123125783e-16,True,2.886579864025407e-15,0.15584794139695615,0.7604312571178489,4.299591743764616,0.009859729945360097,2,165.40992607807445,0.8531226181191551,True,-0.21653440594673157,0.5303158760070801,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.8,4096,36000,True,2.220446049250313e-16,True,6.439293542825908e-15,0.11950597496295585,0.7844939155735435,3.407267545928059,0.011941102582445299,2,102.64504679627454,0.6307458190926974,True,-0.15132668614387512,0.5142542719841003,0.0,True
1,v6_F0280_k06025__v6_F0280_k05800,2,maximal_same_ic,0.06,0.9,4096,36000,True,8.881784197001252e-16,True,2.4424906541753444e-15,0.2707813845458292,0.3978354487537008,2.1402631401524443,0.00583102771450773,2,91.76216125951753,0.3493823873440677,True,-0.07844839990139008,0.49000585079193115,0.0,True
