time_parameterization,t,s,empirical_lhs_second_moment,analytic_rhs_second_moment,absolute_identity_error,second_moment_deficit,mean_squared_endpoint_displacement,candidate_rank,pair_id,coupling
smoothstep_reparameterization,0.1,0.028000000000000004,0.026887700172191505,0.02688770011391727,5.827423613102845e-11,0.0005466038511414954,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.2,0.10400000000000002,0.025562804400972486,0.02556280435950434,4.146814489014439e-11,0.0018714996055544206,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.3,0.216,0.024033213352435173,0.024033213335733904,1.6701268840124683e-11,0.00340109062932486,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.4,0.3520000000000001,0.02285324310402391,0.022853243117396706,1.33727959261698e-11,0.0045810608476620565,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.5,0.5,0.022413324980636223,0.02241332502673668,4.610045678532515e-11,0.005020978938322084,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.6,0.648,0.02285324303856859,0.022853243117396706,7.882811417503355e-11,0.004581060847662056,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.7,0.7839999999999999,0.02403321322683172,0.0240332133357339,1.0890217894132803e-10,0.0034010906293248607,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.8,0.8960000000000001,0.02556280422583529,0.025562804359504344,1.3366905499134774e-10,0.001871499605554418,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
smoothstep_reparameterization,0.9,0.972,0.026887699963442115,0.026887700113917265,1.5047514970167875e-10,0.0005466038511414958,0.020083915753288335,2,v6_F0300_k06100__v6_F0280_k05800,maximal_same_ic
identity,0.1,0.1,0.02620617535485492,0.02620617531250225,4.2352669982204105e-11,0.00122812865255651,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.2,0.2,0.025250964158531026,0.025250964138291632,2.023939349449222e-11,0.0021833398267671286,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.3,0.3,0.024568670440553008,0.024568670442426905,1.8738968710074744e-12,0.002865633522631856,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.4,0.4,0.02415929420092089,0.02415929422490807,2.3987180297613264e-11,0.003275009740150692,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.5,0.5,0.02402283543963466,0.024022835485735125,4.6100463724219054e-11,0.003411468479323638,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.6,0.6,0.024159294156694322,0.02415929422490807,6.821374715082484e-11,0.003275009740150692,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.7,0.7,0.024568670352099878,0.024568670442426905,9.032702710798368e-11,0.0028656335226318564,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.8,0.8,0.025250964025851322,0.025250964138291636,1.1244031400403642e-10,0.002183339826767128,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.9,0.9,0.026206175177948658,0.02620617531250225,1.3455359396119526e-10,0.0012281286525565095,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.1,0.028000000000000004,0.027062917918799907,0.027062917860525674,5.827423266158149e-11,0.0003713861045330886,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.2,0.10400000000000002,0.02616272689141773,0.026162726849949587,4.1468141420697435e-11,0.0012715771151091757,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.3,0.216,0.0251234571091097,0.025123457092408433,1.670126537067773e-11,0.0023108468726503284,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.4,0.3520000000000001,0.02432173469464674,0.024321734708019543,1.3372802865063704e-11,0.0031125692570392184,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.5,0.5,0.02402283543963466,0.024022835485735125,4.6100463724219054e-11,0.003411468479323638,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.6,0.648,0.024321734629191422,0.024321734708019543,7.882812111392745e-11,0.003112569257039218,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.7,0.7839999999999999,0.025123456983506244,0.025123457092408433,1.0890218934966889e-10,0.0023108468726503292,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.8,0.8960000000000001,0.026162726716280525,0.026162726849949587,1.3366906193024164e-10,0.001271577115109174,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
smoothstep_reparameterization,0.9,0.972,0.027062917710050514,0.027062917860525674,1.504751601100196e-10,0.00037138610453308886,0.013645873917294552,2,v6_F0300_k06100__v6_F0280_k05800,geometric_l2_ot
identity,0.1,0.1,0.025214221399472787,0.025214221357120106,4.235268039054496e-11,0.002220082607938655,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.2,0.2,0.02348749046007389,0.023487490439834488,2.0239400433386123e-11,0.003946813525224276,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.3,0.3,0.02225411121132801,0.0222541112132019,1.8738899321135705e-12,0.005180192751856861,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.4,0.4,0.021514083653235178,0.02151408367722235,2.398717335871936e-11,0.005920220287836413,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.5,0.5,0.021267407785795382,0.021267407831895832,4.6100449846431246e-11,0.00616689613316293,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.6,0.6,0.021514083609008614,0.02151408367722235,6.821373674248399e-11,0.005920220287836413,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
identity,0.7,0.7,0.022254111122874884,0.0222541112132019,9.032701669964283e-11,0.005180192751856862,0.02466758453265172,2,v6_F0300_k06100__v6_F0280_k05800,independent
