candidate_rank,pair_id,observation_dimension,coupling,construction,transport_cost_mean_squared_per_pixel,transport_displacement_rms,maximum_marginal_residual,same_initial_condition_mass,positive_edge_count,solver,status,message,iterations
7,v6_F0280_k05950__v6_F0280_k05800,2,maximal_same_ic,maximum same-index mass with independent residual,0.015185765600392212,0.12323053842450017,4.85722573273506e-17,0.8408751417943603,10864,,,,
7,v6_F0280_k05950__v6_F0280_k05800,2,geometric_l2_ot,,0.010638460747535078,0.10314291418965764,5.724587470723463e-17,0.1776110068693871,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1097
7,v6_F0280_k05950__v6_F0280_k05800,2,independent,outer product of calibrated endpoint marginals,0.022242375982140742,0.14913878094627414,4.163336342344337e-17,0.003837096059221936,65536,,,,
8,v6_F0280_k05950__v6_F0280_k05825,3,maximal_same_ic,maximum same-index mass with independent residual,0.015566906166532078,0.12476740827047775,2.7755575615628914e-17,0.7293425715080065,16064,,,,
8,v6_F0280_k05950__v6_F0280_k05825,3,geometric_l2_ot,,0.010379167427573784,0.10187819898081131,2.211772431870429e-17,0.18336454334843463,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),925
8,v6_F0280_k05950__v6_F0280_k05825,3,independent,outer product of calibrated endpoint marginals,0.021912858053131444,0.14802992283025565,1.3877787807814457e-17,0.004149048115848841,65536,,,,
9,v6_F0300_k06025__v6_F0280_k05800,3,maximal_same_ic,maximum same-index mass with independent residual,0.016792847653526233,0.12958722025541805,2.7755575615628914e-17,0.78442205776678,14336,,,,
9,v6_F0300_k06025__v6_F0280_k05800,3,geometric_l2_ot,,0.011640545330988704,0.1078913589264159,3.7730235602495554e-17,0.14683298827207975,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1078
9,v6_F0300_k06025__v6_F0280_k05800,3,independent,outer product of calibrated endpoint marginals,0.02349808052773751,0.15329083641150085,2.0816681711721685e-17,0.0038564494669738035,65536,,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,maximal_same_ic,maximum same-index mass with independent residual,0.018370783591133793,0.1355388637665736,2.7755575615628914e-17,0.7207847232615225,14239,,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,geometric_l2_ot,,0.012622955473767251,0.11235192688052685,4.5102810375396984e-17,0.10278021037623855,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1022
10,v6_F0300_k06050__v6_F0280_k05825,3,independent,outer product of calibrated endpoint marginals,0.023931342817723626,0.15469758504166645,1.3877787807814457e-17,0.003883058165347548,65536,,,,
11,v6_F0280_k05950__v6_F0280_k05825,2,maximal_same_ic,maximum same-index mass with independent residual,0.014276731757344521,0.11948527841263341,1.0408340855860843e-17,0.863057582726186,11015,,,,
11,v6_F0280_k05950__v6_F0280_k05825,2,geometric_l2_ot,,0.010028187829594174,0.10014083996848726,4.9439619065339e-17,0.2199151664062405,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1215
11,v6_F0280_k05950__v6_F0280_k05825,2,independent,outer product of calibrated endpoint marginals,0.022100334923056696,0.14866181393705882,2.7755575615628914e-17,0.0038953129427180865,65536,,,,
12,v6_F0300_k06025__v6_F0280_k05800,2,maximal_same_ic,maximum same-index mass with independent residual,0.016303038649740656,0.12768335306429204,2.7755575615628914e-17,0.8185446527726963,7804,,,,
12,v6_F0300_k06025__v6_F0280_k05800,2,geometric_l2_ot,,0.011304020120607244,0.10632036550260371,2.992397996059992e-17,0.1645806826072441,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1143
12,v6_F0300_k06025__v6_F0280_k05800,2,independent,outer product of calibrated endpoint marginals,0.02350542762617304,0.15331479911010887,1.734723475976807e-17,0.003870600224235427,65536,,,,
13,v6_F0300_k06050__v6_F0280_k05825,2,maximal_same_ic,maximum same-index mass with independent residual,0.017753918536519975,0.13324383113870591,1.3877787807814457e-17,0.7717203448110076,9071,,,,
13,v6_F0300_k06050__v6_F0280_k05825,2,geometric_l2_ot,,0.01204422991843564,0.10974620685215339,5.724587470723463e-17,0.12374949549083614,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1054
13,v6_F0300_k06050__v6_F0280_k05825,2,independent,outer product of calibrated endpoint marginals,0.023952373825971478,0.15476554469897838,2.7755575615628914e-17,0.0038639700657774273,65536,,,,
14,v6_F0300_k06025__v6_F0280_k05825,3,maximal_same_ic,maximum same-index mass with independent residual,0.016071432017150646,0.1267731517993879,2.0816681711721685e-17,0.7850391900406598,13276,,,,
14,v6_F0300_k06025__v6_F0280_k05825,3,geometric_l2_ot,,0.01126299496116176,0.10612725833244614,1.691355389077387e-17,0.17806448608140618,511,scipy.optimize.linprog(method='highs') sparse transportation LP,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1023
14,v6_F0300_k06025__v6_F0280_k05825,3,independent,outer product of calibrated endpoint marginals,0.02348617597436041,0.15325200153459795,2.7755575615628914e-17,0.003815467116614012,65536,,,,
