candidate_rank,pair_id,observation_dimension,coupling,schedule_amplitude,t,bank_count,bank_seed,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,projection_kl_distortion,lambda_norm,maximum_weight,covariance_rank,covariance_condition,hidden_shift_standardized_rms,hidden_shift_nontrivial,field_minimum,field_maximum,hard_range_violation_fraction,physical_range_gate_pass
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.1,4096,36300,False,,False,,,,,,,,,False,0.0014498523669317365,0.38166171312332153,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.2,4096,36300,False,,False,,,,,,,,,False,0.001504950225353241,0.38917306065559387,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.3,4096,36300,False,,False,,,,,,,,,False,0.0015600479673594236,0.3981918692588806,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.4,4096,36300,False,,False,,,,,,,,,False,0.00147351180203259,0.40721064805984497,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.5,4096,36300,False,,False,,,,,,,,,False,0.0012279264628887177,0.4162294268608093,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.6,4096,36300,True,8.881784197001252e-16,True,4.831357536261294e-12,0.005302114301371108,4.304788317609803,14.008575109180338,0.1198939985357335,3,2171.419587337344,1.6977183984892346,True,0.0009823411237448454,0.4252482056617737,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.7,4096,36300,True,2.220446049250313e-16,True,1.887379141862766e-15,0.017875602729196558,2.795822942690653,10.278469826933572,0.05748893372994765,3,1767.6285965722957,1.3104378734585997,True,0.000736755901016295,0.43485623598098755,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.8,4096,36300,True,1.1102230246251565e-16,True,1.3015366562285635e-11,0.10482646554581926,1.3240326037911407,6.223196429825333,0.012668031681471875,3,1265.634138837082,0.8752995518147584,True,0.0004911705618724227,0.4456808567047119,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,maximal_same_ic,0.0,0.9,4096,36300,True,1.1102230246251565e-16,True,3.6637359812630166e-15,0.46185550912585926,0.3368525564576411,2.578137591147032,0.0019743833751941944,3,868.8898973352381,0.4569711977920689,True,0.00024558533914387226,0.45651257038116455,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.1,4096,36310,False,,False,,,,,,,,,False,0.000939822057262063,0.3733830749988556,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.2,4096,36310,False,,False,,,,,,,,,False,0.0009432666702196002,0.3804336488246918,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.3,4096,36310,False,,False,,,,,,,,,False,0.0008862922550179064,0.3912956714630127,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.4,4096,36310,False,,False,,,,,,,,,False,0.0007660764968022704,0.4021577537059784,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.5,4096,36310,False,,False,,,,,,,,,False,0.0006458605639636517,0.4130197763442993,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.6,4096,36310,True,2.220446049250313e-16,True,1.9372281556684356e-12,0.04693991771334548,2.4280074629984276,14.056621972706584,0.01098627623661041,3,1873.7565170888101,1.0069181401907208,True,0.0005256446893326938,0.4238818287849426,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.7,4096,36310,True,2.220446049250313e-16,True,6.717826295243867e-11,0.1303052764007237,1.2902333298274618,7.201082639326279,0.00683405795673659,3,1097.562778450831,0.8316687583859346,True,0.0003988112439401448,0.43474388122558594,0.0,True
4,v6_F0300_k06050__v6_F0280_k05800,3,geometric_l2_ot,0.0,0.8,4096,36310,True,1.1102230246251565e-16,True,2.7755575615628914e-15,0.30952934981192703,0.5785444728578473,4.0468613748057045,0.0032717586761666956,3,949.5349290518524,0.5914947210688489,True,0.0002680878678802401,0.44560593366622925,0.0,True
