allowance_percent,method,phase,trial_count,time_trial_count,grid_n,bandwidth,minimum_q_h,maximum_mass_error,maximum_source_compatibility_error,maximum_component_compatibility_residual,maximum_conductive_component_count,incompatible_time_trial_count,unconverged_time_trial_count,invalid_trial_count,maximum_physical_poisson_relative_residual,maximum_full_moment_rate_residual,maximum_tangent_moment_rate_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,A_full_h,A_tan_h,A_hid_h,Gamma_h,physical_poisson_tolerance,moment_tolerance,energy_tolerance,passes,flag_positive_q,flag_mass,flag_source,flag_component_compatibility,flag_solver_convergence,flag_trial_validity,flag_poisson,flag_full_moment,flag_tangent_moment,flag_hidden_nullspace,flag_orthogonality,flag_pythagorean,flag_hierarchy,flag_all,elapsed_seconds,source,full_action_se
3.0,full,validation,128,2688,101,0.41753010655193434,1.907898501414323e-12,2.220446049250313e-16,3.6732851399906525e-16,6.621551466032631e-15,1,0,0,0,7.307388236893493e-12,4.796369058830623e-14,5.661048867003676e-16,4.818483040788678e-14,1.3888584125417084e-13,3.410605131648481e-13,-0.1500929103484717,19.24308221222028,0.8919486685303322,18.35113354368994,0.953648347042663,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,172.4777042630003,new_corrected_nested_sweep_evaluation,0.46112872997576115
4.0,candidate,selection,64,1344,101,0.41753010655193434,1.908159088191579e-12,4.440892098500626e-16,3.887262915135739e-16,4.491854671767142e-15,1,0,0,0,9.610333006151088e-12,2.982111537472708e-14,7.108895957933346e-16,3.003773998359987e-14,6.162559924178492e-14,4.547473508864641e-13,-0.2881092928596021,30.201589389286397,0.6812904616289339,29.520298927657464,0.9774419003964536,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
4.0,candidate,validation,128,2688,101,0.41753010655193434,1.9246790770627902e-12,2.220446049250313e-16,4.047746246494554e-16,6.0279290211920275e-15,1,0,0,0,1.1895753240744788e-11,3.963884912402526e-14,7.447602459741819e-16,3.975156601658404e-14,6.459275772379679e-14,4.547473508864641e-13,-0.23086562298572966,29.013979671903794,0.6902284349372492,28.323751236966526,0.9762104874015038,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
4.0,candidate,selection,64,1344,101,0.41753010655193434,1.9056508064036136e-12,3.3306690738754696e-16,4.493533278046817e-16,5.07343979803984e-15,1,0,0,0,9.829523451774958e-12,2.6425407063883964e-14,4.710277376051325e-16,2.6431703297108165e-14,7.657551313192163e-14,4.547473508864641e-13,-0.2247953010251644,38.32483626673544,0.5549870957547843,37.76984917098067,0.9855188658369696,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
4.0,candidate,validation,128,2688,101,0.41753010655193434,1.918925635071154e-12,4.440892098500626e-16,4.9928147533853525e-16,5.658425777638817e-15,1,0,0,0,9.849876441498814e-12,2.6423541225180547e-14,5.661048867003676e-16,2.631228568361621e-14,6.958557247718214e-14,9.094947017729282e-13,-0.1663660054600585,36.57695597501567,0.5586682127832056,36.01828776223247,0.9847262245342447,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
4.0,full,selection,64,1344,101,0.41753010655193434,1.912323791345955e-12,2.220446049250313e-16,3.3879814397972033e-16,5.616155642574307e-15,1,0,0,0,6.3875373740110145e-12,4.643334428599967e-14,7.021666937153402e-16,4.621942590879402e-14,1.362610472123911e-13,4.547473508864641e-13,-0.21667349298395377,19.370318986899875,0.8732471810839454,18.497071805815924,0.9549182859779167,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,85.31050558499919,new_corrected_nested_sweep_evaluation,
4.0,full,validation,128,2688,101,0.41753010655193434,1.9085039635918377e-12,3.3306690738754696e-16,4.1725666153291876e-16,6.5991941972045245e-15,1,0,0,0,7.238003118540288e-12,5.940533571498005e-14,6.473657049138938e-16,5.918332263989352e-14,1.4607549449904574e-13,3.410605131648481e-13,-0.15836404421745812,19.013148590318956,0.8919513288972025,18.12119726142176,0.9530876580141304,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,174.07867429100043,new_corrected_nested_sweep_evaluation,0.42527760780344037
5.0,candidate,selection,64,1344,101,0.41753010655193434,1.908159088191579e-12,4.440892098500626e-16,3.887262915135739e-16,4.491854671767142e-15,1,0,0,0,9.610333006151088e-12,2.982111537472708e-14,7.108895957933346e-16,3.003773998359987e-14,6.162559924178492e-14,4.547473508864641e-13,-0.2881092928596021,30.201589389286397,0.6812904616289339,29.520298927657464,0.9774419003964536,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
5.0,candidate,validation,128,2688,101,0.41753010655193434,1.9246790770627902e-12,2.220446049250313e-16,4.047746246494554e-16,6.0279290211920275e-15,1,0,0,0,1.1895753240744788e-11,3.963884912402526e-14,7.447602459741819e-16,3.975156601658404e-14,6.459275772379679e-14,4.547473508864641e-13,-0.23086562298572966,29.013979671903794,0.6902284349372492,28.323751236966526,0.9762104874015038,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
5.0,candidate,selection,64,1344,101,0.41753010655193434,1.9056508064036136e-12,3.3306690738754696e-16,4.493533278046817e-16,5.07343979803984e-15,1,0,0,0,9.829523451774958e-12,2.6425407063883964e-14,4.710277376051325e-16,2.6431703297108165e-14,7.657551313192163e-14,4.547473508864641e-13,-0.2247953010251644,38.32483626673544,0.5549870957547843,37.76984917098067,0.9855188658369696,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
5.0,candidate,validation,128,2688,101,0.41753010655193434,1.918925635071154e-12,4.440892098500626e-16,4.9928147533853525e-16,5.658425777638817e-15,1,0,0,0,9.849876441498814e-12,2.6423541225180547e-14,5.661048867003676e-16,2.631228568361621e-14,6.958557247718214e-14,9.094947017729282e-13,-0.1663660054600585,36.57695597501567,0.5586682127832056,36.01828776223247,0.9847262245342447,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,
5.0,full,selection,64,1344,101,0.41753010655193434,1.912323791345955e-12,2.220446049250313e-16,3.3879814397972033e-16,5.616155642574307e-15,1,0,0,0,6.3875373740110145e-12,4.643334428599967e-14,7.021666937153402e-16,4.621942590879402e-14,1.362610472123911e-13,4.547473508864641e-13,-0.21667349298395377,19.370318986899875,0.8732471810839454,18.497071805815924,0.9549182859779167,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,85.31050558499919,new_corrected_nested_sweep_evaluation,
5.0,full,validation,128,2688,101,0.41753010655193434,1.9085039635918377e-12,3.3306690738754696e-16,4.1725666153291876e-16,6.5991941972045245e-15,1,0,0,0,7.238003118540288e-12,5.940533571498005e-14,6.473657049138938e-16,5.918332263989352e-14,1.4607549449904574e-13,3.410605131648481e-13,-0.15836404421745812,19.013148590318956,0.8919513288972025,18.12119726142176,0.9530876580141304,1e-07,1e-06,1e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,174.07867429100043,new_corrected_nested_sweep_evaluation,0.42527760780344037
