theta1_deg,theta2_deg,population_law,finite_risk,finite_risk_se,pre_action,refined_action,is_law_best,is_full_best
21.0,67.0,0.06961520780409725,0.06825102486148298,0.0004440672073326806,3265.6546769753318,nan,0,0
21.0,68.0,0.06964997486947443,0.06831622948057384,0.00045222565438690507,2986.8385982202103,nan,0,0
21.0,69.0,0.06972561286700192,0.0684270189006036,0.00046554980851204795,2720.6746124094825,nan,0,0
21.0,70.0,0.06984578365478901,0.06858712325159966,0.0004846486944317106,2468.4632591487602,nan,0,0
21.0,71.0,0.07001380057070182,0.0687998859691436,0.0005100730450857857,nan,nan,0,0
21.0,72.0,0.070232424762088,0.06906805908274735,0.0005422574247907374,nan,nan,0,0
21.0,73.0,0.0705036370998101,0.0693935679683455,0.0005814621940081775,nan,nan,0,0
21.0,74.0,0.07082839476051744,0.06977725055595728,0.0006277233402585445,nan,nan,0,0
22.0,62.0,0.06990733801767537,0.0684361884361982,0.0004616247977453709,4605.968370656357,nan,0,0
22.0,63.0,0.06978558793655033,0.06832421896856877,0.00045279048457102036,4305.62303130472,nan,0,0
22.0,64.0,0.06968474840131798,0.06823658821529191,0.0004461894240331761,4013.2936238730454,nan,0,0
22.0,65.0,0.06960813988727323,0.06817690821717381,0.0004422681160363968,3729.2908329723123,nan,0,0
22.0,66.0,0.06955932960655047,0.06814900308743753,0.00044151661364264666,3454.2042705182575,nan,0,0
22.0,67.0,0.06954207359406925,0.06815684681566626,0.00044446698711047536,3188.821899782806,nan,0,0
22.0,68.0,0.06956023757636212,0.06820448214059818,0.0004516860608268389,2933.9229413884527,nan,0,0
22.0,69.0,0.06961769339937826,0.06829591717874242,0.00046375850458458883,2690.34042353284,nan,0,0
22.0,70.0,0.06971818786211052,0.06843499573571485,0.0004812576869055784,2459.053709276707,nan,0,0
22.0,71.0,0.06986518187923778,0.06862523780532442,0.0005047046921694047,2241.6165078438653,2450.2295512485416,0,0
22.0,72.0,0.07006166043301537,0.06886964865989906,0.0005345195631649359,nan,nan,0,0
22.0,73.0,0.07030991739665587,0.06917049762192784,0.0005709711093869144,nan,nan,0,0
22.0,74.0,0.0706113229453258,0.06952906998103264,0.0006141313363034134,nan,nan,0,0
23.0,62.0,0.06991955448823044,0.06843168503653434,0.00046528196388845273,4412.83437467394,nan,0,0
23.0,63.0,0.0697906567920809,0.06831293259775273,0.0004568374698183163,4138.86618359609,nan,0,0
23.0,64.0,0.06968122614256794,0.0682167862299416,0.0004504255595325117,3872.321085380996,nan,0,0
23.0,65.0,0.06959451411314738,0.06814679933500466,0.00044647361749217476,3613.6574785870407,nan,0,0
23.0,66.0,0.06953402590704161,0.06810674960991231,0.0004454502767612738,3363.372698747063,nan,0,0
23.0,67.0,0.06950346922049797,0.06810058266075542,0.0004478619002372321,3121.9412229042764,nan,0,0
23.0,68.0,0.0695066836864076,0.06813233828821678,0.00045424444056079224,2889.8375749611714,nan,0,0
23.0,69.0,0.06954754755803923,0.06820605614696662,0.00046514787234982856,2667.8418125755015,nan,0,0
23.0,70.0,0.06962985836449666,0.06832565677058647,0.0004811111846556006,2457.1534190035172,nan,0,0
23.0,71.0,0.06975718507899184,0.06849479442767172,0.0005026279842472816,2258.5723564206855,2453.9955064744463,0,0
23.0,72.0,0.0699326917403002,0.06871667988322176,0.0005301052915560543,2073.141077645254,2228.9606380647183,0,0
23.0,73.0,0.07015893572425454,0.06899387346723695,0.0005638199219646032,nan,nan,0,0
23.0,74.0,0.07043764721070812,0.06932805081984941,0.0006038769792495535,nan,nan,0,0
24.000000000000004,62.0,0.0699534734649021,0.0684520452176583,0.00047099899583183635,4236.040723833843,nan,0,0
24.000000000000004,63.0,0.06981892074075335,0.0683279333868223,0.0004630586935632032,3986.8476322296265,nan,0,0
24.000000000000004,64.0,0.06970244069400325,0.06822476432120717,0.000456954538338432,3744.833783306399,nan,0,0
24.000000000000004,65.0,0.06960720236636944,0.06814601710610987,0.00045308944343147546,3510.3617426871115,nan,0,0
24.000000000000004,66.0,0.069536632997252,0.06809540451838245,0.0004519052942601045,3283.6981442822944,nan,0,0
24.000000000000004,67.0,0.06949437311854666,0.06807682212653249,0.00045387837359657924,3064.92018730738,3416.8087412993646,1,0
24.000000000000004,68.0,0.06948421394516362,0.06809428153259162,0.00045951109069567174,2854.5739907330217,nan,0,0
24.000000000000004,69.0,0.06951001368052145,0.06815182454081711,0.000469317967213908,2653.617805614479,nan,0,0
24.000000000000004,70.0,0.06957558935434816,0.06825341436011852,0.00048380431948721447,2462.634560672961,nan,0,0
24.000000000000004,71.0,0.0696845815529692,0.06840280029026867,0.0005034373913195871,2282.3468327855344,2464.0700087669093,0,0
24.000000000000004,72.0,0.06984029151564847,0.06860335384363155,0.0005286114490532321,2113.895319800851,2257.632310141178,0,0
24.000000000000004,73.0,0.07004549314258326,0.06885787620461889,0.0005596097530965983,nan,nan,0,0
