abs_external_sensor_corr,alpha_sensitivity_det,alpha_sensitivity_min_eig,alpha_sensitivity_trace,design,external_sensor_cov_det_mean,external_sensor_cov_min_eig_mean,external_sensor_cov_trace,raw_moment_gap_rms,raw_moment_gap_sq,raw_moment_mahal,ref_sensor_corr,ref_sensor_cov_det,ref_sensor_cov_min_eig,ref_sensor_cov_trace,t,target_speed_sq,zero_tilt_dynamic_mismatch_rms,zero_tilt_dynamic_mismatch_sq,zero_tilt_tangent_proxy
0.020863193940080682,2.081608843417063e-08,7.033900100530607e-06,0.002966428849795669,d8,0.00335047008776728,0.044022838587022696,0.12273745466363443,0.10285481013534153,0.010579111967977155,0.3623643123538955,0.40453780883190005,0.0006970578591730084,0.017102561076344086,0.05786007429681519,0.5,0.0872555249681969,0.3240814162107924,0.10502876433319286,0.29456798103282433
0.019695685433369442,1.999585149571209e-08,6.893925488839756e-06,0.0029073969158507473,d8,0.003267047540944283,0.04262457514693647,0.12153938386852281,0.10161197815803524,0.010324994105189032,0.5033737627388414,0.4123705638851571,0.0006127036222253027,0.01292738985853363,0.060323161853515606,0.55,0.086221831829432,0.32009935508480164,0.10246359712570592,0.286829792676382
0.020922044524539312,1.7680073111733112e-08,6.48244233392159e-06,0.002733860828596754,d8,0.003134009043633433,0.04112536144691418,0.11960321011117453,0.09847516023579561,0.009697357183465621,0.8936663736178185,0.42096226140300375,0.00046609266706056784,0.007942129158800992,0.06662823936189075,0.6000000000000001,0.0870309222769644,0.31166379732124105,0.09713432256069561,0.29270677273720175
0.028484729395370112,1.4274624539289368e-08,5.82477267589514e-06,0.002456499731779944,d8,0.0029520228149235266,0.03951919363363886,0.11692286521281903,0.0936247995421077,0.008765603089299849,1.6431215867454283,0.42966615890574256,0.0003086455090783861,0.004400872388221164,0.07453367376289155,0.65,0.08968279631291139,0.29662014720592683,0.08798351172846569,0.3715018733289549
0.0397936483920284,1.03637342765697e-08,4.963119914997067e-06,0.0020931121983310827,d8,0.002720134838336742,0.037758556391705084,0.11347846011758747,0.08711596187245622,0.007589190812963247,2.923098078633317,0.4379043847323157,0.0001796185230475144,0.0022693199555591423,0.0814201345454118,0.7000000000000001,0.09417745394192456,0.27846011474966015,0.07754003550639389,0.6918332259350366
0.05028214668536496,6.586340499036696e-09,3.956568811650126e-06,0.0016686162303959882,d8,0.002435736270329413,0.03511487107386319,0.10923628489247149,0.07879046941783473,0.006207938071082749,4.9256827338695,0.4455324346236209,9.316960237203225e-05,0.0011060694762479845,0.08534092485629399,0.75,0.10051489517119004,0.2678270824252035,0.07173134608039673,1.6914665081187612
0.05944520445676263,3.4923601330639143e-09,2.8810854865554854e-06,0.0012150492593783024,d8,0.002094490398877225,0.030563211051469003,0.1041488087272552,0.0683688371599217,0.0046742978945998916,7.67901897587886,0.45312750174319993,4.401525754523539e-05,0.0005163289803185329,0.08576286601971062,0.8,0.10869512001042814,0.27504293302250926,0.07564861500562452,4.422833479992804
0.06658974418573375,1.4082502304491222e-09,1.8295174208141605e-06,0.0007715681459944822,d8,0.0016902191521446649,0.024515892259464333,0.09815467993442618,0.055616294821231156,0.0030931722496421034,10.503084920500342,0.4625848873605567,1.9604479712439714e-05,0.00023520360949855603,0.08358630419097184,0.8500000000000001,0.11871812847189378,0.30148172195214723,0.09089122867123181,11.233430145171534
0.07071949751394949,3.4963035436277696e-10,9.115934560741508e-07,0.0003844491803410133,d8,0.0012147491572378512,0.017261477717721522,0.09117872594906155,0.04044547338000998,0.0016358363169330958,11.009757079626958,0.47746064919386205,8.745049757283173e-06,0.00010882060969253149,0.08047089340079312,0.9,0.130583920570376,0.3402294552149822,0.11575608219588357,26.437427260666478
0.07067328674073992,2.7127734848974148e-11,2.53923794705143e-07,0.00010708808197383461,d8,0.0006577173490400973,0.009129264730269577,0.08313195332869001,0.022909318196823635,0.0005248368602433146,5.8601121280159765,0.49936117156144416,4.3480169248216835e-06,5.5864001536015366e-05,0.07788804224280521,0.9500000000000001,0.14429249632319846,0.38541441668271337,0.14854427258687622,53.82091807245971
0.36977275251349434,0.0,0.0,7.705600568510259e-34,d8,6.3361291290665195e-06,8.582549462747345e-05,0.07391154775313069,0.004852446077556716,2.3546232935595557e-05,0.005398070057212852,0.5203293251189238,2.7008986080085113e-06,3.546624570036277e-05,0.07618952638578694,1.0,0.15984385575021892,0.43198176092172413,0.18660824176903362,88.28431485320563
0.687820664953726,0.0,0.0,7.703719777548943e-34,full,0.00632289595204541,0.032368519091333904,0.2277094283928735,7.631099521486449e-09,5.823367990683071e-17,1.5504949879055873e-15,-0.6878206867547259,0.006322895663395246,0.03236851709461912,0.22770942952852086,0.0,0.5429834678362051,1.0061331383735985,1.0123038921335066,1.723085912409879
0.5947540830894882,4.943828650926503e-14,4.781207904762694e-09,1.0344906024484754e-05,full,0.007121144840155473,0.03981578536437222,0.2186738853723212,0.042675480921344995,0.0018211966718680805,0.05341007855923094,-0.6998515868250624,0.006406625764804664,0.032000102618373924,0.23220651574175205,0.05,0.4952077143265132,0.6905589888377537,0.47687171706462084,0.8173717436262568
