candidate_key,geometry,geometry_deg,provenance,population_valid,finite_valid,population_loss,finite_risk,projective_separation_deg,allowance_percent,L_max,R_max,feasible,is_previous_incumbent,is_historical_full,is_stage_winner,proxy_evaluated,prescreen_evaluated,prescreen_A_full_h,prescreen_passes,prescreen_source,selection_evaluated,selection_A_full_h,selection_passes,selection_source,validation_evaluated,proxy_A_full_h,proxy_passes,proxy_source,validation_A_full_h,validation_passes,validation_source
"[2.1810485329415426,2.7938565793806336]","[2.1810485329415426,2.7938565793806336]","[124.96487585075029,160.07619056336716]","[""normal_multistart_5""]",True,True,0.08344258146931782,0.07919613454461051,35.111314712616874,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[1.9101654352309412,3.2263606337528867]","[1.9101654352309412,3.2263606337528867]","[109.44441761050294,184.85684750119395]","[""normal_multistart_6""]",True,True,0.08580858958090885,0.08598610999781357,75.41242989069102,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.9602498034084563,2.902481076645211]","[0.9602498034084563,2.902481076645211]","[55.01826101357156,166.2999158083578]","[""normal_multistart_7""]",True,True,0.08078164084206371,0.07866368952940603,68.71834520521375,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[4.039496061755349,4.554196857026328]","[4.039496061755349,4.554196857026328]","[231.44607569829884,260.936258979353]","[""normal_multistart_8""]",True,True,0.0745800789270553,0.07059112810438564,29.490183281054158,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.13397425233046445,5.796359392485462]","[0.13397425233046445,5.796359392485462]","[7.676159221956347,332.1069297304308]","[""normal_multistart_9""]",True,True,0.07963865306447998,0.07814673352116489,35.56922949152556,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[1.8683152607840914,2.57455463774643]","[1.8683152607840914,2.57455463774643]","[107.0465792428122,147.51111486870298]","[""normal_multistart_10""]",True,True,0.08161390542861433,0.0773889128988022,40.464535625890775,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[4.496326854599068,5.867958328334777]","[4.496326854599068,5.867958328334777]","[257.6205520798591,336.2092465722245]","[""normal_multistart_11""]",True,True,0.07578279096015551,0.07270857187056752,78.58869449236539,1.0,0.0692360118546043,0.06684759408820659,False,False,False,False,False,False,,,,False,,,,False,,,,,,
"[0.472753444355307,1.2053392262704312]","[0.472753444355307,1.2053392262704312]","[27.0867771118319,69.06085054685987]","[""initial_ring_center_0_r4_0"",""initial_ring_center_4_r4_0""]",True,True,0.06885478754157708,0.06609653554296288,41.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,30.714493854675794,True,new_corrected_nested_sweep_evaluation,,,
"[0.4523056402550712,1.2547045922499684]","[0.4523056402550712,1.2547045922499684]","[25.91520423657809,71.88927767160605]","[""initial_ring_center_0_r4_1"",""initial_ring_center_4_r4_1""]",True,True,0.0689614430686867,0.06620354855431257,45.97407343502796,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,29.822725474290458,True,new_corrected_nested_sweep_evaluation,,,
"[0.40294027427553375,1.2751523963502043]","[0.40294027427553375,1.2751523963502043]","[23.0867771118319,73.06085054685987]","[""initial_ring_center_0_r4_2"",""initial_ring_center_4_r4_2""]",True,True,0.06920942191886152,0.06655398291233183,49.97407343502797,1.0,0.0692360118546043,0.06684759408820659,True,False,False,False,True,False,,,,False,,,,False,22.485935219803437,True,new_corrected_nested_sweep_evaluation,,,
