case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight
3,design_000159,159,support_random,2.5,10,256,136,34816,False,200,0.009455199638141001,0.009455199638140985,0.00864043385039791,161.09254060679385,61.13144491184683,500.0,1.036788182042691,528.8562518547891,9.989593050224078,1.5593758984239205e-155,-154.8070491824806,4.431743764468635e-22,0.02416604855084071,24166049.55083,0.06871507905084687
3,design_000159,159,support_random,2.5,10,512,272,139264,False,200,0.009455205328701258,0.009455205328701238,0.008640433605152664,161.09254651156525,61.13144889849118,500.0,1.0367880982870612,528.8562541140744,9.98959328665193,1.6162459202568031e-155,-154.79149255836037,4.433180554353575e-22,0.024166056290469248,24166057.29045853,0.017500360091086797
4,design_000199,199,support_random,2.5,10,128,68,8704,True,7,3.8078421222011967e-10,3.8078375157037397e-10,2.7280644410154764e-10,10.731760614130414,0.00212976882668397,-2.0893398889621593,-45.369572044489246,46.66834150777832,4.7209804411167795,0.0010325223529332012,-2.9861005375887895,-1.691355389077393e-17,0.14121463036441537,141214633.75285667,0.07459697966410718
4,design_000199,199,support_random,2.5,10,256,136,34816,True,7,3.6497066816868275e-09,3.649706941418773e-09,2.6922059026546208e-09,10.90300061590782,0.0021302314033682826,-1.8965685244598567,-45.79452099862397,47.112742996239945,4.7174201469430646,0.0011512404214851157,-2.938833970183554,-1.0842021724855086e-17,0.14196182900358723,141961831.54274046,0.030038988758028812
4,design_000199,199,support_random,2.5,10,512,272,139264,True,7,3.6500589771244742e-09,3.6500581248471006e-09,2.69246058781647e-09,10.902993549388238,0.0021302314676532046,-1.8965723260875076,-45.79451246188395,47.11273321603845,4.717420058306109,0.0011512382026063763,-2.9388348072352275,4.336808689941975e-19,0.14196189889123625,141961899.82967007,0.008480898280754393
5,design_000205,205,support_random,2.5,10,128,68,8704,False,200,0.06773891851708365,0.06773891851708473,0.06638815108133267,0.2732225117632363,500.0,-31.15061588344226,0.0017915911796741021,500.96949560194633,0.0012207307531723137,0.997461989383927,-0.001103645130281171,3.1181537157772754e-21,0.01891900351218143,18919004.512122437,0.053943754299341125
5,design_000205,205,support_random,2.5,10,256,136,34816,False,200,0.06747827975050048,0.067478279750502,0.06612213138499434,0.2728679067627147,500.0,-31.71096654458525,0.004271934123057941,501.0046505516049,0.0012157235771233248,0.9974745952364837,-0.0010981565826778845,3.0339048585762384e-21,0.018826042104906408,18826043.10484929,0.014392546741123469
5,design_000205,205,support_random,2.5,10,512,272,139264,False,200,0.06747827769730635,0.06747827769730363,0.06612212929940875,0.2728679203502234,500.0,-31.710965674511954,0.004271920323768661,501.0046504965411,0.0012157236393060143,0.9974745951313108,-0.001098156628469553,3.0339060044575837e-21,0.01882604335402984,18826044.35397272,0.003574932812365649
6,design_000215,215,support_random,2.5,10,128,68,8704,True,40,1.0739495952862392e-13,1.067655161193973e-13,9.131584377541913e-14,210.72334418454994,239.02766358378722,-27.528984186414828,23.943864338926307,320.73307492751854,21.882460875652384,9.223093770467603e-48,-47.035123375901996,9.731317599529269e-06,0.02915578633388595,2995.770230031966,0.08398648379513098
6,design_000215,215,support_random,2.5,10,256,136,34816,True,40,2.008648513540116e-13,2.0054882586356898e-13,1.7319479184152442e-13,210.00476165086985,238.97469307229565,-27.524933653789386,23.859244128558043,320.21522347956574,21.883941396155137,1.2230166300329321e-47,-46.91256763758151,9.535199337933161e-06,0.02921340789932008,3063.422634541077,0.021246709975589823
6,design_000215,215,support_random,2.5,10,512,272,139264,True,40,2.0078746922566644e-13,2.001780582983171e-13,1.7319479184152442e-13,210.00476313658723,238.97469297308072,-27.524933578337365,23.85924403343796,320.2152243663179,21.88394135483016,1.2229340753165223e-47,-46.912596953836925,9.535199415108786e-06,0.029213408156016096,3063.422636667129,0.005347397262436553
7,design_000279,279,longitudinal_stratified,2.5,10,128,68,8704,False,200,0.35037541655244786,0.3503754165524469,0.2887005199364545,0.2926709953528856,-0.9057556242489724,500.0,2.0662093247524704,500.00517524375294,0.005674406919652196,5.511690839685839e-79,-78.2587151507492,4.2060109721632386e-20,0.04396132810073018,43961329.09888116,0.05501007784481119
