rank_among_eligible,design_index,design_id,style,sigma_km,fully_grid_usable,validation_mmd_risk,bootstrap_risk_se,minimum_log10_intrinsic_ess,median_log10_intrinsic_ess,worst_covariance_condition_regularized,mean_projection_kl,maximum_projection_kl,maximum_moment_residual,maximum_native_iterations,projection_failure_count,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
271,151,design_000151,support_random,200.0,True,0.020238981201869406,0.016754480892766314,-1238.9004614260532,-0.056050412429779324,3113453133231.747,1.248946529746556,9.578419571527876,7.784707770621828e-09,50,0,325.8743568437194,235.67369387912217,1013.8336959253963,274.20596558426655,147.6808838752226,-464.521027293289,590.9961558517261,-661.721512932405
272,97,design_000097,support_random,200.0,True,0.020509739562740034,0.017421185474251744,-310.42552709211816,-0.0357646015888068,14292386.230222257,2.398306544276404,30.840264625134836,8.026517071160304e-10,15,0,671.9745400708147,221.8174566779615,652.3638935048579,-168.59631640265553,151.74447974942984,-295.2299545108055,233.98245361575988,322.3182517735465
273,180,design_000180,support_random,200.0,True,0.02054408507803122,0.013182133625748332,-3.9474076633264517,-0.09224396794274631,536.5040858840665,0.6693046991400761,4.5938392527307235,8.313001726724032e-09,10,0,228.1426978626795,-236.36062049701138,50.58691122362194,18.348562625115253,-404.0177342754328,-30.472994314863964,-142.07340110908413,309.8269335180285
274,134,design_000134,support_random,200.0,True,0.02063295494916168,0.017908218331743973,-511.58596534653196,-0.10950512552310954,271270785.6366208,2.1906202901977516,24.49067820120768,7.877298750025386e-09,31,0,384.84908023235295,222.82787658953197,165.19518815252826,-130.92165470058603,-505.68457472846524,-768.4614584490037,754.1950968600731,10.238926059876555
275,424,design_000424,upstream_focused,200.0,True,0.02068110569331976,0.017361120023323552,-43.75086869693532,-0.08815190376156037,43602.42535358572,1.9272678942763743,24.84833382686502,7.51753559243701e-09,17,0,487.8454702939638,316.17753596101363,387.5812570364127,-485.4587343770498,437.27502920025313,-84.58302697261513,138.04117931728263,-62.1610482709857
276,339,design_000339,longitudinal_stratified,200.0,True,0.02068581953098192,0.017409135193700985,-796.037767830671,-0.04872573426490119,41569777466.41047,1.7038317675879482,14.870250072935224,6.500417371234185e-09,26,0,-86.86976304390465,146.10536348021995,222.44976975069585,76.32502374096217,490.7552453355247,-202.3953207159414,862.7835025397268,49.64912107495912
277,446,design_000446,upstream_focused,200.0,True,0.020844877462415222,0.018049128396051394,-395.4363530109652,-0.05608301891616934,26004244.403060336,1.8627955912440677,19.174171180758968,5.14626109517073e-09,35,0,136.37220043265864,53.50424858343797,561.6807817768691,493.49217116693035,700.0199017165626,258.325836136367,421.0669129943491,-144.27661641967364
278,30,design_000030,support_random,200.0,True,0.02086750367818294,0.01276035481207838,-338.5352583048843,-0.09738419364236633,85602868858344.42,0.6397324929435377,5.793785640257282,9.647085678523266e-09,32,0,408.614958532067,450.2130212802838,2054.761984181498,513.6636815879732,-223.74240672232102,-339.1552326255313,189.0775006991334,108.36550100518026
279,422,design_000422,upstream_focused,200.0,True,0.020949748749555987,0.011819408488885602,-411.58066213033504,-0.0798402601315698,72364468394.84383,0.7001255333972477,3.9143705143156993,2.0693566908223155e-09,45,0,6.391147169971418,-375.96520834903527,498.3035754719243,579.4605452235678,-207.00391866163304,-164.97696679697304,743.714040416867,513.4487843817351
280,365,design_000365,lateral_discriminating,200.0,True,0.02106173633266407,0.01931366912579023,-10219.755186137143,-0.043002557947411695,4806504545.621922,2.2081697948238626,24.85829904094268,8.18180949037767e-09,94,0,866.6499830546395,-582.4190039629793,274.61139027950514,-127.1817358299884,747.7219431413058,202.54055613648046,876.37555262545,611.5369391807114
281,93,design_000093,support_random,200.0,True,0.021198892864567064,0.01639338142148277,-844.3403631726932,-0.04068097967991396,6462906305.881121,1.6682917964718962,13.337647198724765,7.50773469521274e-09,85,0,860.8472838109608,351.1360960646675,873.8070337921561,66.415702985288,272.2332617236045,-559.8535149722389,444.3313530318379,385.3872895388078
282,173,design_000173,support_random,200.0,True,0.021215892209742012,0.015741596224760446,-2008.210547267408,-0.1423675205161257,5283558153592.908,1.0616614822861201,10.987405531407202,8.785494959712517e-09,138,0,1575.5534866880216,648.5873727060831,363.6876078917883,213.75905120700295,-372.0698504420315,203.77603744529668,1297.0238266995561,190.7404312268228
283,289,design_000289,longitudinal_stratified,200.0,True,0.02121989253209525,0.013942894880996209,-4153.10854374471,-0.1630210472212591,28197887605991.47,1.2910164681154035,15.978401121519802,7.510538906597613e-09,45,0,32.68964221787839,107.84483144828296,128.76422422798368,-491.5027887391186,365.56982692036166,204.62949545728355,1498.0015992042297,-16.64798250478058
284,147,design_000147,support_random,200.0,True,0.021232834483046085,0.01203953553085487,-708.2847326100269,-0.1727416062130583,19738681812755.16,1.2151901830185625,11.700391720931714,8.590543726534168e-09,35,0,-15.909578983213414,-7.968449914152998,284.02356200840006,-100.63185398114584,1635.1050314230438,375.1984188580908,710.5086076085216,-253.01892187460592
285,253,design_000253,longitudinal_stratified,200.0,True,0.02138754593630401,0.018476505249884315,-943.6629207496826,-0.025898775862013487,30007211357.514378,1.375047988545143,10.055457477267328,6.648928891661014e-10,31,0,-90.44748213528281,-592.6090057087767,212.97128155283485,-286.9914272732273,272.22066353940255,36.80430681761709,908.5025584171599,97.68413362646162
286,260,design_000260,longitudinal_stratified,200.0,True,0.021629616143518503,0.013054911288438296,-1811.9475662986797,-0.09812888555826514,228060827347178.62,1.7757081382641697,23.851001229684442,4.757593768100564e-09,33,0,-215.85213664073984,-43.50004279304138,143.10369620262364,98.14823362770184,403.001668166765,116.89697743228135,1978.0367417861787,-83.61091422596152
287,426,design_000426,upstream_focused,200.0,True,0.021640032164013754,0.01322030790826921,-7.668143304782776,-0.09891744015655,10911.71280049167,0.9547843636225314,10.515763359614779,1.8518549873680524e-09,11,0,257.54697709322693,-493.7819396661851,-172.8265990014363,-88.55172565153435,-34.27939088086055,135.0361560026763,-153.18584240711215,551.5460437459371
288,405,design_000405,lateral_discriminating,200.0,True,0.02164057088552976,0.0186007874190906,-151.22493224293376,-0.02817591429107585,97829676473.26692,2.470535584417887,27.318203764873072,2.889165547119767e-09,91,0,1198.0445781496833,-517.3383218489806,768.3278716111563,-196.67560511187236,809.5724511907786,176.40760306742877,928.8895822538371,560.0558128891996
289,293,design_000293,longitudinal_stratified,200.0,True,0.02164400877502268,0.015655135804007705,-18269.46050212135,-0.10798252280913764,370908946.41376823,0.7967190452247138,7.623429431647594,6.741532928165267e-09,53,0,26.537128712022714,-302.67087618497214,84.09666516978564,363.6562568206599,480.65223439247063,-369.4722026058842,1150.3795694663936,-163.2322958393982
290,49,design_000049,support_random,200.0,True,0.021653258138469873,0.01765062840826291,-212.92848244465264,-0.08879670151735294,243065.14371061433,2.313705829843798,31.933933019706743,7.384619331611417e-09,28,0,273.7528478745517,407.3389119554449,621.7896495948742,47.05180877981499,-200.24073505319984,538.8089734210873,80.11281139326101,91.1405072658321
291,148,design_000148,support_random,200.0,True,0.02167465101448413,0.012409531473819648,-410.51439892129633,-0.10803445934253321,205218428.28324223,0.7577320956644819,6.330021405318485,5.770665945081072e-09,32,0,672.5900896653723,-430.5257516198664,-47.704719265801685,-156.09609236974347,414.56087373924396,-386.5914393399421,-318.8369789521505,24.496886179393655
292,228,design_000228,longitudinal_stratified,200.0,True,0.021753175889347408,0.016428740830400967,-5599.210889692449,-0.15559696247267238,15053098845114.34,1.4852160105695915,19.26705684140655,8.136169912499212e-09,31,0,41.38391034021787,332.75482737133467,188.00165536134534,-42.20042263654889,402.669119342502,251.0421842597157,1684.8868244504235,176.82057019291437
293,15,design_000015,support_random,200.0,True,0.021764208288859582,0.015532947733452901,-433.16219056053325,-0.0696659766495189,94565091.3722658,1.3423920487273002,10.36667897574058,1.0107399279397306e-09,43,0,-19.566400178328166,51.31855703150478,733.8283032299984,318.65017643170347,405.61454719219194,-391.303950852987,-279.27014995915926,64.55579997547501
294,179,design_000179,support_random,200.0,True,0.021794979211663353,0.016659741964595416,-480.2694057640292,-0.13304066197598932,4957513896860.691,1.0258487095199953,9.319234384970445,9.976157898306763e-09,673,0,679.2540235014296,-585.7644416768795,1454.8818607641442,362.4185331393162,774.1635030422849,455.3276236573294,327.6549103668331,-79.0745841287204
295,91,design_000091,support_random,200.0,True,0.021803136598898425,0.01627811821395414,-1559.5606253630951,-0.06454631627099328,36082624443287.22,1.309069346899795,17.774028925472194,7.3773589086947336e-09,34,0,52.12020129706613,-262.7977786026846,426.0964676586186,120.1406807983781,-220.96695829047042,-599.6422294693081,1780.804866152689,-484.45083692345264
296,418,design_000418,lateral_discriminating,200.0,True,0.02186999410454288,0.01891952873443333,-901.2079988404062,-0.039758879074288864,58140.996853619225,2.433583659253063,28.312038626315818,3.819564810427849e-09,116,0,829.8995301337889,-531.7365204614772,791.1776079594329,-138.71794856730403,663.8076038017349,229.49676438102088,689.3344239813529,525.1407432388506
297,510,design_000510,uniform_control,200.0,True,0.021964805350768647,0.01677471733108499,-3368.573104719873,-0.19248268520229214,5439232889273.958,1.4478059047111516,19.5187901595068,4.733695467047756e-09,76,0,1418.9029797520948,165.29437360217844,464.52685720243176,69.10318835695136,-311.1202979803659,-426.74510427721106,446.5087066438723,730.8341189654861
