gate,horizon_days,N_total,N_30,N_45,N_60,drogued_fraction,time_span_years,first_year,last_year,seasonal_balance,median_displacement_km,spread_growth,domain_95_xmin_km,domain_95_xmax_km,domain_95_ymin_km,domain_95_ymax_km,domain_99_xmin_km,domain_99_xmax_km,domain_99_ymin_km,domain_99_ymax_km,recommended_xmin_km,recommended_xmax_km,recommended_ymin_km,recommended_ymax_km,domain_width_km,domain_height_km,characteristic_displacement_km,transverse_spread_km,endpoint_robust_spread_km,non_gaussianity,max_anisotropy,projection,visual_structure,main_failure_mode,recommendation
yucatan_B,45,53,67,53,45,0.33974358974358976,28,1996,2023,0.9880905113225876,653.2440029447577,21.151583177520518,-307.88506812253473,1878.2058443501348,-171.27260641463747,1993.0398527325854,-425.8730680472653,2325.475617568806,-259.5794939072929,2238.3290697714183,-525.8730680472653,2425.475617568806,-359.5794939072929,2338.3290697714183,2951.348685616071,2697.9085636787113,653.2440029447577,266.20313390872036,692.0813263841063,0.13219850673103334,4.61965146718602,+proj=laea +lat_0=22 +lon_0=-86.1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
yucatan_B,60,45,67,53,45,0.28846153846153844,28,1996,2023,0.9833935904591232,1200.7514699126064,30.372416614294732,-414.56649199815627,2098.4945719650127,-173.1839044638378,2179.3761530764928,-530.5532487216,2804.0409725202453,-271.8188627154143,2474.809768309895,-630.5532487216,2904.0409725202453,-371.8188627154143,2574.809768309895,3534.5942212418454,2946.628631025309,1200.7514699126064,315.0386104596079,985.3266933108786,0.06384598083206948,4.700955583683136,+proj=laea +lat_0=22 +lon_0=-86.1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
gulfstream_downstream_A,30,258,258,237,221,0.5733333333333334,32,1993,2024,0.9778891301059988,852.8034785393644,17.471368621382293,-118.81127482271496,1649.427339646283,-302.18195122192316,1234.2967399132913,-161.7756232457146,2144.9228549025847,-405.88057133753637,1378.9940225651658,-261.7756232457146,2244.9228549025847,-505.88057133753637,1478.9940225651658,2506.6984781482993,1984.8745939027021,852.8034785393644,224.87392557341653,753.4364388220722,0.02604845305151368,4.0496562847932855,+proj=laea +lat_0=30.5 +lon_0=-77.75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,maybe
gulfstream_downstream_A,45,237,258,237,221,0.5266666666666666,32,1993,2024,0.9738519320317187,979.285007953741,19.315564320360206,-113.49786031780467,2106.3354167838042,-320.1884364476541,1335.1323543595379,-154.94941047165142,2608.354154312085,-456.27469368268976,1461.0359457489308,-254.94941047165142,2708.354154312085,-556.2746936826898,1561.0359457489308,2963.3035647837364,2117.3106394316205,979.285007953741,270.7342727047552,806.2311302781704,0.026092316108214362,4.076208240780674,+proj=laea +lat_0=30.5 +lon_0=-77.75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
gulfstream_downstream_A,60,221,258,237,221,0.4911111111111111,32,1993,2024,0.9713630111339594,1077.363506731049,19.972631112994197,-107.57964834795987,2361.2470100618793,-345.2109204216906,1384.3099705529507,-150.50662705045067,2794.0475053878063,-493.8437806351267,1665.5431705259407,-250.50662705045067,2894.0475053878063,-593.8437806351267,1765.5431705259407,3144.554132438257,2359.3869511610674,1077.363506731049,294.2021673712904,845.425460302612,0.015153001924467217,4.028651226525056,+proj=laea +lat_0=30.5 +lon_0=-77.75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
cape_hatteras_A,30,295,295,279,255,0.5522388059701493,35,1990,2024,0.9725823529927742,951.833412031234,14.266620590084296,-99.0777568126008,1717.2676464082806,-373.25723222008844,813.3322435136241,-309.1040379328995,2062.1109576217355,-572.681994200193,918.4337314509729,-409.1040379328995,2162.1109576217355,-672.681994200193,1018.4337314509729,2571.2149955546347,1691.115725651166,951.833412031234,217.1842043644134,534.6336635479344,0.02142873002775403,3.44881043145346,+proj=laea +lat_0=35 +lon_0=-75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,maybe
cape_hatteras_A,45,279,295,279,255,0.5242537313432836,35,1990,2024,0.9750723923005632,1141.2867840844958,17.716755034663976,-107.41207574234888,2105.6031368949853,-463.55057150309216,889.2104062536806,-329.45816049234844,2508.37772564342,-671.6410661861318,1061.7807291532479,-429.45816049234844,2608.37772564342,-771.6410661861318,1161.7807291532479,3037.8358861357683,1933.4217953393795,1141.2867840844958,251.4597740675531,660.9745979846383,0.009998910911240779,3.4379721065325386,+proj=laea +lat_0=35 +lon_0=-75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,maybe
cape_hatteras_A,60,255,295,279,255,0.47947761194029853,35,1990,2024,0.977247848946724,1213.8830649632466,18.636110055314596,-122.64047689623267,2387.3663672347293,-523.760690366072,960.2781530105731,-343.28956170414625,2674.842608299643,-738.572116941232,1316.7142828816334,-443.28956170414625,2774.842608299643,-838.572116941232,1416.7142828816334,3218.1321700037893,2255.2863998228654,1213.8830649632466,280.3551740571108,713.0798680779865,0.01420072907909813,3.4868888993458738,+proj=laea +lat_0=35 +lon_0=-75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,maybe
cape_hatteras_B,30,232,232,220,197,0.535632183908046,30,1995,2024,0.9688728782736417,982.5155796932517,12.808406699864593,-97.78841785845891,1718.105085446375,-451.06912986492915,757.6143786620657,-335.33969370652426,2052.2777494403927,-693.9899205085494,864.0750173796475,-435.33969370652426,2152.2777494403927,-793.9899205085494,964.0750173796475,2587.617443146917,1758.064937888197,982.5155796932517,219.59856098433042,540.6472245492639,0.006864010028949194,8.737923740671668,+proj=laea +lat_0=35.5 +lon_0=-74.75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
cape_hatteras_B,45,220,232,220,197,0.5080459770114942,30,1995,2024,0.9704322136806046,1132.858276864844,14.228492945039525,-108.28351670300647,2086.9944555621005,-513.8329893240187,817.5066124550272,-345.96939124612317,2527.811951892183,-856.8812462147878,957.7986716907737,-445.96939124612317,2627.811951892183,-956.8812462147878,1057.7986716907737,3073.781343138306,2014.6799179055615,1132.858276864844,258.1500394893418,602.148115867944,0.00810839343917001,8.665615390390645,+proj=laea +lat_0=35.5 +lon_0=-74.75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
cape_hatteras_B,60,197,232,220,197,0.45517241379310347,30,1995,2024,0.9682966594700866,1237.8270787157912,15.241266273107891,-121.65937275024241,2404.001645708394,-606.3430254317609,865.6609197088908,-356.6521550286383,2685.6394225784247,-871.4487335422473,1175.1148854838684,-456.6521550286383,2785.6394225784247,-971.4487335422473,1275.1148854838684,3242.291577607063,2246.5636190261157,1237.8270787157912,294.29010304003924,663.8613267882062,0.025523508337277033,8.797760022654591,+proj=laea +lat_0=35.5 +lon_0=-74.75 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,modest sample size,no
midatlantic_A,30,354,354,328,306,0.5636942675159236,36,1989,2024,0.9973014518786493,674.4385588341653,11.843778485157793,-206.54827099489435,1619.681810288789,-376.7903991564861,465.3128695244652,-303.664295721128,1992.094053360042,-520.8081284708555,581.7093594704514,-403.664295721128,2092.094053360042,-620.8081284708555,681.7093594704514,2495.75834908117,1302.517487941307,674.4385588341653,217.45782393506136,552.2169495859604,0.015442097538897227,8.32316400368819,+proj=laea +lat_0=38 +lon_0=-70 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,multi-decade mixture,maybe
midatlantic_A,45,328,354,328,306,0.5222929936305732,36,1989,2024,0.9971460138395178,817.3411972521981,14.164475850889222,-257.52578090817457,1943.3828798065754,-456.30140145007437,532.5988741976195,-364.2110885868332,2222.8243225440424,-612.5638647942019,810.9378462790849,-464.2110885868332,2322.8243225440424,-712.5638647942019,910.9378462790849,2787.0354111308757,1623.5017110732867,817.3411972521981,260.4892010045713,639.9513672105265,0.014101970723436733,8.235790776796975,+proj=laea +lat_0=38 +lon_0=-70 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,multi-decade mixture,yes
midatlantic_A,60,306,354,328,306,0.4888535031847134,36,1989,2024,0.9970614108054586,948.0366061299378,14.649182297391743,-273.96561479799266,2121.125731381693,-490.6357652631869,604.3185197603839,-391.3547068968491,2374.079731934401,-656.8949059436853,941.5026112939238,-491.3547068968491,2474.079731934401,-756.8949059436853,1041.5026112939238,2965.43443883125,1798.397517237609,948.0366061299378,289.97659044756966,677.8386716793068,0.011147322493166599,8.485699428455662,+proj=laea +lat_0=38 +lon_0=-70 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,large downstream domain,yes
north_atlantic_A,30,359,359,339,313,0.5671406003159558,36,1989,2024,0.9993817470848971,564.8325440081509,9.73854328875838,-225.17994950540304,1414.9432320909832,-461.35638900496247,359.9986585769462,-359.0171548287597,1704.0521405604966,-603.6882997740331,457.6186787488607,-459.0171548287597,1804.0521405604966,-703.6882997740331,557.6186787488607,2263.0692953892562,1261.3069785228938,564.8325440081509,229.18248648256792,459.1664520869197,0.012558036956886199,8.58171129874711,+proj=laea +lat_0=39 +lon_0=-65 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,multi-decade mixture,maybe
north_atlantic_A,45,339,359,339,313,0.5371248025276462,36,1989,2024,0.9995881510160026,681.1280546823624,11.40740439380577,-286.6095931466993,1650.5884042706118,-493.54528048614463,428.0250981108859,-440.60210033405514,1893.0888847764086,-659.8532348150339,688.8254052380527,-540.6021003340552,1993.0888847764086,-759.8532348150339,788.8254052380527,2533.6909851104638,1548.6786400530866,681.1280546823624,268.16388756291275,550.5638378103669,0.016211285454321475,8.580854883291435,+proj=laea +lat_0=39 +lon_0=-65 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,multi-decade mixture,yes
north_atlantic_A,60,313,359,339,313,0.4976303317535545,36,1989,2024,0.9993705765226677,791.4044995940387,13.46969501983575,-308.0208868520219,1814.686189641236,-548.4781808167319,529.3190481666115,-479.0836629975333,2090.2989911288655,-730.7526187112238,783.5846800261071,-579.0836629975333,2190.2989911288655,-830.7526187112238,883.5846800261071,2769.382654126399,1714.337298737331,791.4044995940387,296.7827838848546,639.7218248697176,0.013587041152446112,8.513524403577712,+proj=laea +lat_0=39 +lon_0=-65 +x_0=0 +y_0=0 +datum=WGS84 +units=m +no_defs +type=crs,strong stretching/non-Gaussian structure,large downstream domain,yes
