design_index,design_id,source_time_index,day,formulation,solver,preconditioner,convergence,coarse_convergence,fine_convergence,physical_relative_residual,coarse_physical_relative_residual,fine_physical_relative_residual,gauge_residual,compatibility_residual,a_tan,a_full,lower_bound_pass,coarse_action,fine_action,grid_relative_change,grid_refinement_pass,iteration_count,condition_proxy,log10_condition_proxy,minimum_log_q_mass,maximum_log_q_mass,log_q_range,unrepresentable_equilibrated_coefficient_count,accepted,density_floored_clipped_thresholded_or_truncated,final_test_accessed
138,design_000138,90,22.5,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.2776521669900931e-15,130481.47312389973,nan,False,nan,nan,inf,False,0,inf,675.1740156538133,-6593.56782026713,-8.665563063881741,6584.902257203248,88,False,False,False
138,design_000138,90,22.5,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.37976106293707307,inf,nan,1.2776521669900931e-15,130481.47312389973,nan,False,590865.3778847383,nan,inf,False,0,inf,2859.786714175638,-6593.56782026713,-8.665563063881741,6584.902257203248,0,False,False,False
138,design_000138,90,22.5,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,1.0356911081002236,0.9870850016002763,1.0356911081002236,2.4226867509541146e-09,1.2776521669900931e-15,130481.47312389973,549715.9827131394,True,549756.9753090503,549715.9827131394,7.457050040384386e-05,True,1,54724499.12587074,7.738181795313228,-6593.56782026713,-8.665563063881741,6584.902257203248,,False,False,False
138,design_000138,180,45.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),True,True,True,9.590809615194926e-09,9.767466975322068e-09,9.590809615194926e-09,-1.3920837272034612e-10,5.786269881519276e-11,55258.286249858014,362242.71289543057,True,362255.7044372097,362242.71289543057,3.586419082192751e-05,True,873,4.49423283715579e+307,307.6526555685888,-2947.9647936635324,-9.954076927423968,2938.0107167361084,,True,False,False
138,design_000138,180,45.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,5.786269881519276e-11,55258.286249858014,nan,False,nan,nan,inf,False,0,inf,403.509420777212,-2947.9647936635324,-9.954076927423968,2938.0107167361084,5,False,False,False
138,design_000138,180,45.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.22991609948587177,inf,nan,5.786269881519276e-11,55258.286249858014,nan,False,377469.74407921114,nan,inf,False,0,inf,1275.9618420511097,-2947.9647936635324,-9.954076927423968,2938.0107167361084,0,False,False,False
138,design_000138,180,45.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,0.2410549119183108,0.23367743971293992,0.2410549119183108,-6.90100716132674e-10,5.786269881519276e-11,55258.286249858014,360752.12125159946,True,360746.66436444205,360752.12125159946,1.5126417381743603e-05,True,1,5036.013850268922,3.702086915853437,-2947.9647936635324,-9.954076927423968,2938.0107167361084,,False,False,False
192,design_000192,0,0.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,1030018.0179175365,49753352.35830003,1030018.0179175365,-1018775.5102040812,5.3511731868780445e-11,89768.29999268682,6.069578856879268e+20,True,9.385456238282089e+21,6.069578856879268e+20,14.463109483526361,False,1200,4.49423283715579e+307,307.6526555685888,-299858.6269973783,-3.3599795243061834,299855.267017854,,False,False,False
192,design_000192,0,0.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,5.3511731868780445e-11,89768.29999268682,nan,False,nan,nan,inf,False,0,inf,610.3273948194726,-299858.6269973783,-3.3599795243061834,299855.267017854,217248,False,False,False
192,design_000192,0,0.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,2278.942750853387,inf,nan,5.3511731868780445e-11,89768.29999268682,nan,False,310270278252.98157,nan,inf,False,0,inf,130225.48783548013,-299858.6269973783,-3.3599795243061834,299855.267017854,0,False,False,False
192,design_000192,0,0.0,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,24.429916536556853,83.56016350194434,24.429916536556853,0.0004128293240106562,5.3511731868780445e-11,89768.29999268682,1862976239.1004565,True,16102359830.938864,1862976239.1004565,7.643352230146497,False,1,269367859687.79553,11.430345775526007,-299858.6269973783,-3.3599795243061834,299855.267017854,,False,False,False
192,design_000192,10,2.5,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),False,False,False,1.2850502304565311e-06,2.879596278965972e-07,1.2850502304565311e-06,-0.00031429761070377987,6.070423265626182e-09,1443355.481766908,13957168591.471424,True,13132908686.603045,13957168591.471424,0.05905638378345924,True,1200,4.49423283715579e+307,307.6526555685888,-289348.371209277,-5.091313030398192,289343.2798962466,,False,False,False
192,design_000192,10,2.5,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,6.070423265626182e-09,1443355.481766908,nan,False,nan,nan,inf,False,0,inf,7676.24134728458,-289348.371209277,-5.091313030398192,289343.2798962466,86881,False,False,False
192,design_000192,10,2.5,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,6.0886686436207516,inf,nan,6.070423265626182e-09,1443355.481766908,nan,False,3651105712.166223,nan,inf,False,0,inf,125660.189834728,-289348.371209277,-5.091313030398192,289343.2798962466,0,False,False,False
192,design_000192,10,2.5,cosine_ritz_variational_mode_5,dense eigensolved Ritz normal equations,none,True,True,True,3.008054355466759,2.533838485658151,3.008054355466759,-6.644356583182565e-05,6.070423265626182e-09,1443355.481766908,138910768.08970612,True,156977380.19267777,138910768.08970612,0.1300591188964166,False,1,608375086569.8394,11.78417142105029,-289348.371209277,-5.091313030398192,289343.2798962466,,False,False,False
192,design_000192,40,10.0,native_unfloored_ic0_pcg_baseline,native PCG,native IC(0),True,True,True,9.979677007554173e-09,9.790734826606486e-09,9.979677007554173e-09,8.642519806388154e-10,1.542367304243954e-10,1961607.4043390742,2902294.4229276334,True,2896713.9756869315,2902294.4229276334,0.0019227708934756206,True,1007,4.49423283715579e+307,307.6526555685888,-50561.94357233375,-7.775811007269074,50554.167761326484,,True,False,False
192,design_000192,40,10.0,equilibrated_log_conductance_finite_volume,row-equilibrated sparse solve,not attempted,False,False,False,inf,inf,inf,nan,1.542367304243954e-10,1961607.4043390742,nan,False,nan,nan,inf,False,0,inf,7462.41199941588,-50561.94357233375,-7.775811007269074,50554.167761326484,8579,False,False,False
192,design_000192,40,10.0,divided_log_density_central_difference,row-equilibrated sparse solve,none,False,True,False,inf,0.08554676543166806,inf,nan,1.542367304243954e-10,1961607.4043390742,nan,False,2822250.0251659458,nan,inf,False,0,inf,21955.39609595536,-50561.94357233375,-7.775811007269074,50554.167761326484,0,False,False,False
