design_index,design_id,source_time_index,day,minor_std,cov_area_scale,cov_anisotropy,log10_kappa_C,log10_normal_roundoff_amplification,old_rank_sensitive,old_relative_rank_action_change,zero_weight_count,log_weight_range,Eq_h2,old_tangent_action,old_full_action_diagnostic,direct_svd_action,normal_unresolved_direction_action_fraction,final_test_accessed
312,design_000312,3,0.75,18.8312106549761,811.5353379504652,5.237233111619112,14.118103424889592,12.28161707958818,False,0.004918005702704706,121994,298445.98378991225,7885.213167893382,3171691.008318081,6685922.001568242,6744200.472460079,0.003237236188568892,False
329,design_000329,3,0.75,16.242021091780295,1557.9335284933766,34.87687520261727,13.741581352113306,11.52857293403561,False,0.000975927028829986,122301,298465.4343249242,321.2916742291653,231794.67366243768,691978.178463927,693233.0452052258,0.0005391902229677147,False
121,design_000121,4,1.0,18.705829001135687,2302.1459169667614,43.287036505062716,13.070180858724347,10.18577194725769,False,0.0032017425213873942,119923,297725.3586124962,1868.9802161138025,570904.3326384892,1228118.414780775,1240514.4791621605,0.006695227358502842,False
312,design_000312,4,1.0,23.948888319030324,805.850556687183,1.9740928954472934,13.994144652609076,12.033699535027148,False,0.04523416434188252,119696,297704.65881331335,9708.653553666893,2284796.2867245316,3643314.9942085026,3764522.504813006,0.027464391321700993,False
329,design_000329,4,1.0,18.439874136425747,1732.1858006047917,25.95118172115998,13.4753040974209,10.996018424650794,False,0.00038305060690581316,120305,297744.06044465315,506.47154313567773,467579.9163667305,1140079.902961321,1141781.9636779418,0.0003848439649353324,False
121,design_000121,5,1.25,22.01943081713277,2775.7101673790294,32.77357954695906,12.751905574255609,9.549221378320215,False,0.009740671497499642,117649,297006.98583637853,2857.953345144099,803700.8616123789,1632896.2560906955,1664485.59235909,0.008301423686951087,False
312,design_000312,5,1.25,27.414950596988053,946.7575934226301,1.5868202121943877,13.182570266306936,10.410550762422867,False,0.009394483455650384,117281,296966.4761571018,12931.366446347853,3063468.3241486023,31814932.36433461,32766064.095287636,0.02002152199686946,False
329,design_000329,5,1.25,21.03857550239529,1976.4343924402083,19.93882132059913,13.18330363953384,10.412017508876675,False,0.00021178942457540824,118124,297022.15776007745,927.8649945523573,1140678.7817893247,2544921.752228545,2548850.355513913,0.00013436640024591247,False
121,design_000121,6,1.5,26.286476587873395,3363.0389631905878,23.688321429348683,12.404114359594537,8.85363894899807,False,0.013118164148577261,115232,296087.6908163993,4142.072424920043,2175758.511726478,3781344.2822454385,3868282.079547689,0.008619915580744,False
312,design_000312,6,1.5,34.79725649273954,1816.267713555921,2.2499854426938213,12.607674711276399,9.260759652361797,False,0.03472122751578113,114905,296039.71813071263,11079.88192196752,4776507.178682051,157644167.74056548,181035103.77483964,0.09493132470276947,False
329,design_000329,6,1.5,24.14360933431932,2395.0562814312493,16.881952185458875,12.82519508307199,9.695800395952974,False,0.000848431770294591,115726,296099.2055213318,1759.0403566045914,3206734.3739272775,8022043.619623648,8040479.928109382,0.0006730519576609447,False
121,design_000121,7,1.75,32.493864119864476,4097.771323696411,15.062255064312165,11.908922303387698,7.863254836584391,False,0.00792764290333558,112799,294920.55014925083,7465.933540767284,7512037.774530283,17279243.00182803,17570869.767770734,0.01255260532996955,False
312,design_000312,7,1.75,31.050031880737635,1853.0686957889786,3.6943227750090473,12.337445452652766,8.720301135114527,True,0.1645815104426466,112600,294872.494340639,7697.770661643138,6509625.917679713,34309853.461681716,41897726.150334336,0.09126836786559636,False
329,design_000329,7,1.75,27.505493437872865,3111.7741339325703,16.917585157208613,12.405132004702557,8.855674239214109,False,0.0013333112688550853,113150,294929.25075741636,3067.6100662374815,7329095.484854101,21282678.776203595,21335566.41591039,0.000739935034294504,False
121,design_000121,8,2.0,44.10135578927166,5303.661537141161,7.436076310728444,10.834250300483,5.713910830774996,False,0.024118960797466043,110513,293450.5883838157,5130.6738277987715,31351045.07189215,68546402.353477,92084491.29193394,0.02194183064216621,False
