design_id,style,sigma_km,validation_mmd_risk,bootstrap_risk_se,minimum_ess_fraction,median_ess_fraction,worst_covariance_condition_raw,worst_covariance_condition_regularized,minimum_covariance_eigenvalue,projection_failure_count,conditioning_warning_count,mean_projection_kl,max_moment_residual,max_native_iterations,feasible,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
design_000503,uniform_control,200.0,0.02249702,0.015571911,0.04060857708248493,0.5751259186099135,3.661004399107999e+16,8459089.738810148,6.969907390502247e-20,5,4,0.5760051966898644,0.4276529604768578,200,False,250.77449704461446,202.3720092870908,95.62772347336556,804.4397787903206,1068.5321114159876,-443.8412284015565,1194.855284726827,-190.35169823524473
design_000236,longitudinal_stratified,200.0,0.022568526,0.01211681,0.007646911380658708,0.8193436159223602,250036489159337.28,33062487.10556019,1.292433391096122e-16,3,2,0.4587433774559549,0.4194762280847605,200,False,-65.4592234441387,106.8934112705307,171.19171383133093,-49.270831914945376,387.3996105079552,102.21882013698627,1012.161397725287,34.83464130890772
design_000312,longitudinal_stratified,200.0,0.022682386,0.006447065,0.024349030384502965,0.7001544835477832,283346582718.35455,61012142.6110266,2.1537327682107787e-13,5,2,0.6625278313959285,0.579319070602626,200,False,-23.00300848279163,-317.520858325033,37.429636975991826,180.78666021490736,519.5175141034599,49.211105650136,831.6038074184944,550.0440691636926
design_000224,longitudinal_stratified,200.0,0.022738695,0.011943569,0.01902617007209505,0.829299723029935,421094136476.8309,30123786.48667914,5.700938512766174e-14,4,2,0.32716691749188037,0.2891782152996792,200,False,-335.24633210828813,212.04638806366634,91.98709985213287,-184.59232488875682,364.84923155971535,-96.29041254015158,907.387441573033,246.06727851970925
design_000049,support_random,200.0,0.022817766,0.012856659,0.005000108565479994,0.3553435853063798,157534596481475.34,259668.83246436328,2.1435722432251e-20,2,1,0.9866121268566488,0.21574459012940372,200,False,273.7528478745517,407.3389119554449,621.7896495948742,47.05180877981499,-200.24073505319984,538.8089734210873,80.11281139326101,91.1405072658321
design_000152,support_random,200.0,0.023026694,0.0128491875,0.006117849182400002,0.6870226835269103,63743.29975076222,63358.44724849139,1.6462786879297695e-07,2,0,0.7809366612345656,0.4347879991247799,200,False,303.5162758922755,-68.84052306019072,449.70608916598616,406.0979822341826,375.6103895589145,-510.68963728455583,27.169869067752273,-37.02752091442161
design_000429,upstream_focused,200.0,0.023104995,0.011298605,0.011292897246796356,0.7432489328129974,16027200.342787152,5409206.23180984,5.094375807025155e-10,2,0,0.5619179680937435,0.35806568061194316,200,False,-329.5230967409337,-187.02948648548346,237.37046128724796,418.3539188758141,726.7354650537679,-92.42659205658492,289.8113243008711,-78.12026865694929
design_000128,support_random,200.0,0.023217158,0.015185362,0.010003151351911715,0.6402739278092309,414602108.81068945,2662805.743691193,6.4640706139615715e-12,2,1,0.7897651478807158,0.23328556632936218,200,False,-280.33983882675795,-609.6153232798165,119.73702563955055,-55.14499929990069,560.6918181930089,-66.67124655852001,536.0195144254423,-491.95380202310895
design_000074,support_random,200.0,0.023562703,0.008300536,0.07551070159829684,0.8066297479383007,9765669945987576.0,42549841.88490229,3.244995347901378e-18,4,2,0.2999805270172066,0.34646553753109255,200,False,-207.61853663695746,29.495663445096262,1126.1196720431424,-1.0472615412437847,-28.81909854139792,-393.75274962449623,136.5901853384063,-79.85414563233525
design_000108,support_random,200.0,0.023771496,0.014898756,0.02678954681934018,0.6517034773840009,771884133.9901309,31028385.408138704,4.188181635565013e-11,2,1,0.37739625192482024,0.3503242204195581,200,False,-126.53813584883531,-341.2467747754652,311.84129563434925,43.74069298052545,344.55832576979975,-337.1744748374165,758.5966116554355,46.783605707987604
design_000047,support_random,200.0,0.023790924,0.010266234,0.00506789007186944,0.8554971411942872,2.4687961214160483e+17,105973868.80150211,8.900328059546532e-20,4,4,0.5951256140907254,0.18535287060993927,200,False,-236.353265779577,185.4100419502384,1124.0006513493609,235.38464733019535,805.3939728720017,336.31121889170754,171.5318400284603,-80.96542012901867
design_000058,support_random,200.0,0.024552073,0.0069550183,0.005013565849918293,0.5371813039637924,3.7625868151731835e+298,256198503.523705,-7.42804723354363e-23,4,5,1.039163355786751,0.39198176255381967,200,False,-25.088879721061875,-279.67955689142445,1304.6199762133735,-36.69541712244188,585.9715762478434,552.9524010302702,553.133064498358,261.713305711583
design_000252,longitudinal_stratified,200.0,0.02456235,0.011120449,0.04539492739736401,0.7564205534534618,5861807081419.07,31438820.013432913,4.2684737069452835e-15,3,2,0.340033448026912,0.41305290527305955,200,False,-131.15954531877838,56.002702937070744,144.7991075239547,-156.13148697043877,357.004114128309,163.90771123128326,933.0208251844628,120.86421945895759
design_000091,support_random,200.0,0.024606312,0.011057592,0.00948077777778275,0.6350479003734883,1.0048088967452194e+38,158540796.25661084,2.7298078775830987e-40,7,7,0.8777394031132907,0.3358395611423528,200,False,52.12020129706613,-262.7977786026846,426.0964676586186,120.1406807983781,-220.96695829047042,-599.6422294693081,1780.804866152689,-484.45083692345264
design_000150,support_random,200.0,0.024637213,0.011069846,0.019479188303663124,0.691262907959876,1.7243787092293455e+23,303736533.22446436,3.5256214475938404e-26,6,5,0.4868899411057795,0.3537812643173228,200,False,583.7526953688964,193.2646369963868,918.8667891690565,207.01561430897343,1341.4125485523878,171.39598427456218,161.45512378926028,-127.29140274988697
design_000281,longitudinal_stratified,200.0,0.024779812,0.008556064,0.017258402063055876,0.6528905436078307,31668827256320.844,35077124.64413705,9.494280603366536e-16,4,2,0.5038559797726653,0.47682947431550254,200,False,9.23049461034558,-73.3225522013582,2.4972664558728894,297.01182716105143,302.2075555523039,217.31819212280445,985.0899764138734,219.91236659876466
design_000460,upstream_focused,200.0,0.02479141,0.014130611,0.009966607667602727,0.5885092747006062,119950.4353917801,119760.22947497491,6.29629358994298e-07,1,0,0.5498965703384213,0.42021132801928773,200,False,-217.38837690195888,-44.00433670806581,-52.082899320346655,193.1982483940136,-73.56318862876441,523.2029918093833,-298.546727317287,-368.3491269582935
design_000331,longitudinal_stratified,200.0,0.024914207,0.008217964,0.03496999844526245,0.684777239267037,5023206495718.723,32616450.996668123,6.02140312668238e-15,3,2,0.33950629815345656,0.4309106466218585,200,False,-5.687532927690556,-173.6292300789002,276.34976195473575,194.60320276355068,281.19960812994043,-192.07253400784776,943.0581487664679,133.65607102418807
design_000421,upstream_focused,200.0,0.024929503,0.016590279,0.017843964444600728,0.9167327145784724,46439.962759606424,46393.75978935639,1.004107734595819e-06,1,0,0.37886050900821694,0.2120061814684123,200,False,-317.287937984527,42.36926204441227,296.70570038753783,289.2270073619611,403.2869588244607,-258.2831165997514,-275.6424928589323,-392.4880926759646
design_000094,support_random,200.0,0.024937328,0.015916258,0.04905161254454028,0.6468966962495054,661846155.4443387,5426132.532028774,8.266249265150222e-12,2,1,0.536726520586377,0.14293157271939722,200,False,-38.18555575577172,-567.2439422052879,831.0465041705387,-185.10750667714623,226.54127579456502,-191.7252340315561,296.91570666659817,-452.91611428776815
