design_index,design_id,smoothing,residual_sum_squares,roughness,maximum_absolute_fit_residual,minimum_smoothed_moment,maximum_smoothed_moment,maximum_absolute_derivative_per_normalized_time
202,design_000202,1e-08,0.0004930846140891172,1630.9058875562926,0.004760151970587767,-7.16133769708637e-05,0.6512796297320351,5.757058251754228
245,design_000245,1e-08,0.0012914212810758935,3471.9561792633663,0.009044890660470761,0.0002100417135723889,0.8115010788222277,8.662749716876721
340,design_000340,1e-08,0.00172940384295406,6135.496299292449,0.013872875776367366,-0.00010930661245657828,0.8755293077950254,13.9641451674729
55,design_000055,1e-08,0.0008885179561428354,7620.078765617409,0.006713030872903314,-9.503988666340426e-05,0.7394626891445948,13.391695623098926
224,design_000224,1e-08,0.0009544597354891128,8298.868724097316,0.007763479709781085,-7.138716850809204e-05,0.7020072920840235,11.599695208433333
56,design_000056,1e-08,0.0018107704367920831,10734.146056354139,0.012250933256485963,0.0001687778168276715,0.7217120323199119,14.712978443844063
252,design_000252,1e-08,0.0016124078961702606,9132.785580329433,0.011753595936712657,1.7971670076284466e-06,0.7246783627269431,13.87156834373224
88,design_000088,1e-08,0.0010432300166250009,3341.326781672448,0.006900356108246242,9.55966164788239e-06,0.9237107089971113,8.074827973902615
343,design_000343,1e-08,0.0005045227052774998,7676.151102538388,0.005537276732850566,-4.118903782266694e-05,0.9073219859308997,7.827490275154498
332,design_000332,1e-08,0.00133285090398852,3023.0565402312272,0.011072055255603785,-2.9349020081149112e-05,0.7965579998997481,11.434005859931627
326,design_000326,1e-08,0.0017203449495725132,9270.635031985488,0.01346831897410794,-0.00013347254144304224,0.8930467427830329,14.3347551863271
59,design_000059,1e-08,0.00047419045512659595,5026.0724245978645,0.0033651462179864478,-6.2484660881718945e-06,0.9092180630964487,7.3173180288820445
192,design_000192,1e-08,0.0006918344497904868,4331.334425810563,0.006908085946261966,0.0008773852583698713,0.6450050796920577,10.500400651883044
31,design_000031,1e-08,0.0005854607146218918,4263.496967341413,0.005543105081875388,-2.170927477450693e-05,0.9250166852392854,8.00139992073449
329,design_000329,1e-08,0.0005821587570474729,4242.480362670871,0.005816667923627339,-5.837558887326292e-05,0.7014257377693487,11.038416313125241
0,design_000000,1e-08,0.001036651853377376,1852.03358136745,0.00940016081272288,-2.6640867027076087e-05,0.8304017606571732,9.827566785454918
331,design_000331,1e-08,0.00124111082159313,7635.322036665029,0.010271758730575203,1.3150707429304738e-06,0.8182578827802731,8.366842051408595
318,design_000318,1e-08,0.0008675144550765812,7323.410756701759,0.007652803579867973,-6.121977498836076e-05,0.7971180426167324,13.155745056728726
162,design_000162,1e-08,0.0011992548276548067,10261.459168494497,0.008554074251000132,8.56714963830253e-06,0.72931526464234,11.465189181527496
161,design_000161,1e-08,0.0010380777422519178,5181.856584104237,0.00902954079924001,-0.0003467483461011249,0.7905987421418199,10.773338884755548
105,design_000105,1e-08,0.0009750387311148073,5342.235638447346,0.0077030923814388474,-3.8254073901774176e-05,0.9289889031543285,11.234915937225377
322,design_000322,1e-08,0.0013690205709251662,7161.242172637063,0.011982702308699189,-0.0002962875021379173,0.8742522564198899,10.435246918222774
276,design_000276,1e-08,0.0004792970960102123,721.4248316370778,0.003893511292329177,-2.0726549965702744e-05,0.37466828649001344,4.429998323374536
176,design_000176,1e-08,0.0006570489134486823,9329.820571033384,0.005125909957912289,-1.4438469074217267e-05,0.8960389542572612,10.100350647125746
223,design_000223,1e-08,0.0004952995727095744,3970.0872776115903,0.00452385198029015,-0.00010038731504072567,0.8868955667136841,7.174876148257051
143,design_000143,1e-08,0.0010833741734542126,5997.983586362687,0.008311582321537725,-6.391639740856332e-05,0.7620100792828605,13.18480095828366
69,design_000069,1e-08,0.0007635492411456786,2303.650359518134,0.007815448018183901,-1.39222437981288e-05,0.626187489770887,9.904878043480558
168,design_000168,1e-08,0.0008212052741871254,2289.7590446516824,0.003913779103400072,-5.473785389648435e-05,0.577915927806206,8.158285756140549
292,design_000292,1e-08,0.0016333763277332795,6254.072560481469,0.013801661490275174,-2.930419997023109e-05,0.6785809657512291,14.283612617568478
38,design_000038,1e-08,0.0012385429535376074,5419.2231786986895,0.009216716011064774,0.0005174736923287047,0.8142024747449309,12.856119347156817
251,design_000251,1e-08,0.0004458865585020831,4649.674372872609,0.004421834472304598,-2.5243857862804545e-05,0.9016091014766088,7.3607553098880825
13,design_000013,1e-08,0.0002727700486822946,292.4164832494754,0.0026700580232494886,-2.2849105897480154e-05,0.260277572985361,2.8073449841090006
342,design_000342,1e-08,0.0009777560252204323,3894.2866170311354,0.008816037062357007,-0.00010495785546289944,0.9216665349052532,8.60240901408379
270,design_000270,1e-08,0.0009941078563040992,2764.190979210043,0.008975874557740626,-8.538629029052579e-06,0.9174832612391551,8.639978064742774
200,design_000200,1e-08,0.0004900714209838715,202.22983421569052,0.0032472023646913095,-0.0002392541494959659,0.20859544620107096,1.6572149393627809
12,design_000012,1e-08,0.001083636527750516,5080.378877490085,0.010275831615930986,-0.00015706228056641745,0.5367368592388801,10.272095863871472
286,design_000286,1e-08,0.0013358219243777797,4296.138814416261,0.011165198969868062,8.030392259074109e-05,0.6872333234718369,12.788252495352996
221,design_000221,1e-08,0.0005934371801391771,8055.862712837148,0.00465750346136809,-0.00011616886468623694,0.7436657235291687,12.884982946339782
272,design_000272,1e-08,0.0008334644514197577,1923.28831991589,0.0074016282622232366,-0.0004126355282045586,0.6547813390777846,8.166753185863788
139,design_000139,1e-08,0.0008158456042650322,3173.9122418973475,0.006854658986243489,-7.095029743835668e-05,0.661715555513739,11.077312893232653
167,design_000167,1e-08,0.0006141515098260487,478.0250359448962,0.00442792372826302,-2.487460309774734e-05,0.23766929869837805,3.52434968164455
255,design_000255,1e-08,0.0007218401206271573,6702.609040197642,0.006997029143971378,-0.0001068902239852159,0.6499538394110135,10.528671722783136
32,design_000032,1e-08,0.0015861159757075962,6488.010328267179,0.01376815560120559,-1.2893338712511096e-05,0.661782645408213,14.360750669955202
