repeat,design_id,style,validation_mmd_risk,feasible,projection_failure_count,minimum_ess_fraction,max_moment_residual,failure_reason_counts
1,design_000089,support_random,0.059521437,False,7,0.056170644909290274,0.23947877137751672,"{""coordinate_support_infeasible"": 3, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
1,design_000090,support_random,0.04199675,False,2,0.014962705825169051,0.7676224112037511,"{""coordinate_support_infeasible"": 1, ""low_ess"": 1, ""moment_residual"": 2, ""native_nonconvergence"": 2}"
1,design_000091,support_random,0.038393676,False,14,0.011049314759845141,0.3545779034171658,"{""coordinate_support_infeasible"": 7, ""low_ess"": 1, ""moment_residual"": 12, ""native_nonconvergence"": 13}"
1,design_000092,support_random,0.049475383,False,4,0.0141116957934785,0.2204959635309367,"{""coordinate_support_infeasible"": 3, ""low_ess"": 1, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000093,support_random,0.05761451,False,5,0.0070668580680073095,0.24827382320778665,"{""coordinate_support_infeasible"": 3, ""low_ess"": 3, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000094,support_random,0.033072624,False,3,0.009446803021724579,0.12817108306358865,"{""coordinate_support_infeasible"": 2, ""low_ess"": 1, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000095,support_random,0.049932312,False,6,0.005175191466717233,0.6265063225580618,"{""coordinate_support_infeasible"": 5, ""low_ess"": 4, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000096,support_random,0.103069745,False,7,0.005002459188314809,0.6911357579626707,"{""coordinate_support_infeasible"": 6, ""low_ess"": 4, ""moment_residual"": 7, ""native_nonconvergence"": 7}"
1,design_000097,support_random,0.045793053,False,3,0.031483969595776415,0.49984208446420497,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000098,support_random,0.13302658,False,14,0.005000067795826353,0.276603351028895,"{""low_ess"": 2, ""moment_residual"": 14, ""native_nonconvergence"": 14}"
1,design_000099,support_random,0.042668756,False,3,0.06593240302406332,0.33180755985677307,"{""coordinate_support_infeasible"": 3, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000100,support_random,0.029292624,False,4,0.005457606496380132,0.6311949117150261,"{""coordinate_support_infeasible"": 4, ""low_ess"": 2, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000101,support_random,0.096105024,False,8,0.00519817287704038,0.6462739667688355,"{""coordinate_support_infeasible"": 6, ""low_ess"": 2, ""moment_residual"": 7, ""native_nonconvergence"": 8}"
1,design_000102,support_random,0.064551935,False,6,0.01155496604074865,0.4011933690357622,"{""coordinate_support_infeasible"": 6, ""low_ess"": 3, ""moment_residual"": 5, ""native_nonconvergence"": 6}"
1,design_000103,support_random,0.04599504,False,6,0.01196722466220008,0.625480418502601,"{""coordinate_support_infeasible"": 5, ""low_ess"": 1, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000104,support_random,0.090734065,False,6,0.005000275743840319,0.7040044025575675,"{""coordinate_support_infeasible"": 5, ""low_ess"": 6, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000105,support_random,0.03518775,False,4,0.00577182826454918,0.3635723805094282,"{""coordinate_support_infeasible"": 4, ""low_ess"": 3, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000106,support_random,0.04674387,False,5,0.005392085660964578,0.7142215941703933,"{""coordinate_support_infeasible"": 5, ""low_ess"": 3, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000107,support_random,0.07019826,False,6,0.0050798027072833695,0.7463362316923131,"{""coordinate_support_infeasible"": 5, ""low_ess"": 5, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000108,support_random,0.048208825,False,3,0.011888633896653983,0.7951486157626677,"{""coordinate_support_infeasible"": 2, ""low_ess"": 1, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000109,support_random,0.057789948,False,7,0.026737857173377972,0.22025074481003837,"{""coordinate_support_infeasible"": 5, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
1,design_000110,support_random,0.035283975,False,4,0.007229300507826794,0.7074794429537665,"{""coordinate_support_infeasible"": 3, ""low_ess"": 1, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000111,support_random,0.041887883,False,3,0.043437029817374635,0.6688224301647465,"{""coordinate_support_infeasible"": 2, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000112,support_random,0.0580184,False,5,0.005008705821810399,0.8857434879491313,"{""coordinate_support_infeasible"": 4, ""low_ess"": 5, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000113,support_random,0.026707621,False,4,0.0497052163899412,0.34248389317337913,"{""coordinate_support_infeasible"": 3, ""moment_residual"": 4, ""native_nonconvergence"": 4}"
1,design_000114,support_random,0.047475446,False,5,0.005013582799503448,0.5898197833711272,"{""coordinate_support_infeasible"": 4, ""low_ess"": 2, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000115,support_random,0.02877085,False,3,0.01907227650425284,0.5304570462297221,"{""coordinate_support_infeasible"": 2, ""low_ess"": 1, ""moment_residual"": 3, ""native_nonconvergence"": 3}"
1,design_000116,support_random,0.03931065,False,5,0.005454604854255134,0.47463912878442155,"{""coordinate_support_infeasible"": 4, ""low_ess"": 2, ""moment_residual"": 5, ""native_nonconvergence"": 5}"
1,design_000117,support_random,0.09114184,False,8,0.0064887998903165175,0.45066714292265936,"{""coordinate_support_infeasible"": 7, ""low_ess"": 7, ""moment_residual"": 8, ""native_nonconvergence"": 8}"
1,design_000118,support_random,0.05040779,False,2,0.010086834427002377,0.4798555741359209,"{""coordinate_support_infeasible"": 1, ""low_ess"": 1, ""moment_residual"": 2, ""native_nonconvergence"": 2}"
1,design_000119,support_random,0.071940586,False,6,0.005080492603798804,0.7667353594312607,"{""coordinate_support_infeasible"": 5, ""low_ess"": 6, ""moment_residual"": 6, ""native_nonconvergence"": 6}"
