design_index,design_id,source_time_index,day,production_case_valid,diagnostic_reasons,full_action_density,tangent_action_density,log_action_robust_z_score,maximum_relative_rank_action_change,scaled_weak_relative_residual,compatibility_relative_residual,adaptive_quadrature_required,adaptive_quadrature_valid,density_modified,operator_floor,final_test_accessed
186,design_000186,11,2.75,False,rank_sensitivity,14971495.345191417,3654646.0327472053,0.41645122135338414,0.08087379018722807,2.200016003918433e-20,1.2677677139511021e-14,False,False,False,0.0,False
186,design_000186,12,3.0,False,rank_sensitivity,16547954.843237305,3998574.955633845,0.6618063908032704,0.07919603156417371,0.0,1.385258928014623e-14,False,False,False,0.0,False
186,design_000186,13,3.2499999999999996,False,rank_sensitivity,18859541.330179784,4305899.046893296,1.0288719181635528,0.08437052659270569,3.5582019990199296e-23,7.776757260687771e-15,False,False,False,0.0,False
186,design_000186,14,3.5,False,rank_sensitivity,22008080.617185157,4580002.604195474,1.129455445503112,0.09345138994666793,1.66126379847802e-20,6.542318203708328e-15,False,False,False,0.0,False
186,design_000186,15,3.75,False,rank_sensitivity,23877452.016148828,4811257.450492024,1.2335565425499078,0.11059997569248131,3.3092809359892557e-20,3.9287625257457724e-15,False,False,False,0.0,False
186,design_000186,16,4.0,False,rank_sensitivity,23760761.95110388,4964857.062198968,1.331226434823706,0.11813123351225328,3.913900709653292e-20,1.326906639369077e-15,False,False,False,0.0,False
186,design_000186,17,4.25,False,rank_sensitivity,21635373.585413564,4988126.264969566,1.193101294575799,0.09191431584938142,3.6418095944872334e-22,4.945564868750375e-15,False,False,False,0.0,False
186,design_000186,23,5.75,False,rank_sensitivity;log_action_outlier,1200741225.0959146,21534021.06027656,8.438823879847662,0.2532008317875837,1.495581069776585e-20,4.8822316214636385e-18,False,False,False,0.0,False
186,design_000186,24,6.0,False,rank_sensitivity;log_action_outlier,646625277.7275369,6379558.35598922,6.729799943130822,0.4396682143176924,2.4016355559898804e-20,7.209974037647929e-16,False,False,False,0.0,False
186,design_000186,25,6.25,False,rank_sensitivity;log_action_outlier,427986649.6827334,3626920.8890639525,6.965784642607505,0.4996364518276285,3.72696513546707e-20,2.7592677355808904e-16,False,False,False,0.0,False
186,design_000186,26,6.499999999999999,False,rank_sensitivity,290941185.48290366,2442656.481202446,4.874055739495522,0.5222925545343327,4.113386098779664e-20,2.1620833677049801e-16,False,False,False,0.0,False
186,design_000186,27,6.75,False,rank_sensitivity,196963160.25214532,1781091.4910039152,2.9466884116842387,0.5239685332776783,1.0973676554522679e-20,8.483094032517413e-17,False,False,False,0.0,False
186,design_000186,28,7.0,False,rank_sensitivity,128767249.05645026,1359275.8979474315,2.5601551164043084,0.3484466110648582,1.2941340763869755e-20,1.948938540736505e-16,False,False,False,0.0,False
186,design_000186,29,7.250000000000001,False,rank_sensitivity,80579836.27932203,1086127.3805553396,2.311202405402787,0.3144895706896891,2.444842064657697e-20,6.940481850003087e-17,False,False,False,0.0,False
186,design_000186,30,7.5,False,rank_sensitivity,47867748.17869026,928271.5685437799,1.6543412782648268,0.06685418633963418,1.5763018932338646e-21,4.578099933027158e-16,False,False,False,0.0,False
186,design_000186,31,7.75,False,rank_sensitivity,27461673.403857723,870898.6493770315,1.6165376588753553,0.06989091757723513,1.4280669020886786e-20,8.82570236900807e-17,False,False,False,0.0,False
186,design_000186,32,8.0,False,rank_sensitivity,17286215.28492749,904244.6358621002,0.8406297962371038,0.0824818498483473,1.3927117305955543e-20,5.637663774394303e-16,False,False,False,0.0,False
186,design_000186,33,8.25,False,rank_sensitivity,11157580.00617211,1010697.4642078187,0.7285207434934746,0.0528906881545049,1.1743261983757416e-20,1.4987950967718748e-15,False,False,False,0.0,False
