design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason
325,design_000325,True,True,-1.9483142034694544e-08,3.308722450212111e-24,128x68,1.769121751310427e-08,0.6856088863340604,2.3127514272582186e-10,pending_dense_projection,
347,design_000347,True,True,-2.5742886406436805e-05,6.776263578034403e-21,128x68,3.2520485546204683e-05,0.8596117531347873,3.315399000533071e-06,pending_dense_projection,
281,design_000281,True,True,-3.610442417328638e-06,1.1102230246251565e-16,128x68,4.732379879991057e-06,0.8787673290692821,2.7298127146221053e-07,pending_dense_projection,
85,design_000085,True,True,-6.848027647719835e-06,2.220446049250313e-16,128x68,9.988508768233678e-06,0.7390659737390264,8.006267506967167e-07,pending_dense_projection,
193,design_000193,True,True,-1.749159283157261e-08,4.206704429243757e-16,128x68,1.7038684005914632e-08,0.17744389245098238,2.3599531574431756e-10,pending_dense_projection,
121,design_000121,True,True,-5.963812472005124e-08,1.3461425888966157e-14,128x68,7.937585116992255e-10,0.33333247317137027,4.730750933979141e-12,pending_dense_projection,
241,design_000241,True,True,-2.1619650720300968e-07,1.1102230246251565e-16,128x68,2.3444846672944075e-07,0.7671400174025101,6.51409540840594e-09,pending_dense_projection,
307,design_000307,True,True,-3.2778959728356706e-05,1.3877787807814457e-16,128x68,4.419360868419465e-05,0.8669930350114162,4.502147509586615e-06,pending_dense_projection,
312,design_000312,True,True,-3.1476525309883696e-06,5.551115123125783e-17,128x68,4.075260230220312e-06,0.4740702955522929,5.219303337005041e-07,pending_dense_projection,
182,design_000182,True,True,-2.389693158798362e-09,1.5221682117655484e-15,128x68,2.0923592531973634e-09,0.6445438415636175,1.5283745192895916e-11,pending_dense_projection,
205,design_000205,True,True,-6.028800051473226e-08,4.963234910279843e-12,128x68,2.23995059598788e-09,0.6384360801651197,1.5180691238920374e-11,pending_dense_projection,
218,design_000218,True,True,-9.280805864360807e-05,1.734723475976807e-18,128x68,0.00021813512664389467,0.8791265438485497,3.14059002937125e-05,pending_dense_projection,
202,design_000202,True,True,-9.327622400930053e-09,2.6614715181247874e-13,128x68,3.878059804907701e-09,0.6204262996631711,3.432533479479771e-11,pending_dense_projection,
