case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,dx_km,dy_km,exact_lp_success,exact_lp_verified_linf_residual,minimum_linf_residual,minimum_l2_residual_at_linf_solution,lp_active_weight_count,lp_maximum_weight
11,design_000424,424,upstream_focused,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,1.1102230246251565e-16,5.551115123125783e-16,5.558482808539776e-16,5,0.44310659518265033
12,design_000460,460,upstream_focused,2.5,10,256,136,34816,14.2578125,14.338235294117647,True,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5,0.41297509629767165
13,design_000363,363,lateral_discriminating,5.0,20,256,136,34816,14.2578125,14.338235294117647,True,5.551115123125783e-17,5.551115123125783e-17,5.732467154385379e-17,5,0.5314205994240455
14,design_000400,400,lateral_discriminating,5.0,20,256,136,34816,14.2578125,14.338235294117647,True,6.938893903907228e-17,5.551115123125783e-17,5.721958498152797e-17,5,0.45012965507120134
15,design_000215,215,support_random,7.5,30,256,136,34816,14.2578125,14.338235294117647,True,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,5,0.5534019678348003
16,design_000302,302,longitudinal_stratified,7.5,30,256,136,34816,14.2578125,14.338235294117647,True,2.7755575615628914e-17,4.996003610813204e-16,4.997930709674e-16,5,0.29968286924127346
17,design_000354,354,lateral_discriminating,7.5,30,256,136,34816,14.2578125,14.338235294117647,True,6.557254739192331e-16,5.551115123125783e-17,5.551115123125783e-17,5,0.33086126472359323
18,design_000387,387,lateral_discriminating,10.0,40,256,136,34816,14.2578125,14.338235294117647,True,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,5,0.542997287184445
19,design_000409,409,lateral_discriminating,10.0,40,256,136,34816,14.2578125,14.338235294117647,True,6.938893903907228e-17,0.0,0.0,5,0.45989222046423683
0,design_000017,17,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1443916996305594e-16,5,0.5953909867129346
1,design_000024,24,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.1102230246251565e-16,2.7755575615628914e-17,2.8609792490763984e-17,5,0.34222489805336076
2,design_000107,107,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,2.1256235013243271e-10,1.305320365685425e-10,1.305320365685425e-10,5,0.44955303699581983
3,design_000159,159,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,4.731728964537451e-11,5.631590144702546e-11,5.63159014470323e-11,5,0.43235909640345793
4,design_000199,199,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,3.4171299122669274e-13,4.1294283089582715e-11,4.1294283089582715e-11,4,0.6988345092399018
5,design_000205,205,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,5.823351512373315e-22,1.1102230246251565e-16,1.1103585416582284e-16,5,0.4815578858217017
6,design_000215,215,support_random,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,5.551115123125783e-17,5.551115123125783e-17,5.551284527130373e-17,5,0.4434344505199529
7,design_000279,279,longitudinal_stratified,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.9905274260476058e-20,1.1102230246251565e-16,1.1102233616209306e-16,5,0.5129228783799513
8,design_000321,321,longitudinal_stratified,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,6.02522270904962e-11,1.2216536016931833e-10,1.2216536016931833e-10,4,0.4654363000840274
9,design_000392,392,lateral_discriminating,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.2874900798265365e-19,1.3552527156068805e-20,1.35525336184158e-20,5,0.8558552360193991
10,design_000403,403,lateral_discriminating,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.1102230246251565e-16,2.220446049250313e-16,2.2247786310271853e-16,5,0.46049607743016213
11,design_000424,424,upstream_focused,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.1102230246251565e-16,2.7755575615628914e-17,2.7755575615628914e-17,5,0.6586120540054011
12,design_000460,460,upstream_focused,2.5,10,512,272,139264,7.12890625,7.169117647058823,True,1.1102230246251565e-16,1.3877787807814457e-17,1.3877787807814457e-17,5,0.6898977597728335
13,design_000363,363,lateral_discriminating,5.0,20,512,272,139264,7.12890625,7.169117647058823,True,6.245004513516506e-17,1.1102230246251565e-16,1.1123893155135927e-16,5,0.48349926562348466
14,design_000400,400,lateral_discriminating,5.0,20,512,272,139264,7.12890625,7.169117647058823,True,1.3877787807814457e-17,5.551115123125783e-17,5.561946577567963e-17,5,0.39382808596921187
15,design_000215,215,support_random,7.5,30,512,272,139264,7.12890625,7.169117647058823,True,1.6653345369377348e-16,5.551115123125783e-17,5.551115123125783e-17,5,0.3406036482824065
16,design_000302,302,longitudinal_stratified,7.5,30,512,272,139264,7.12890625,7.169117647058823,True,4.440892098500626e-16,2.7755575615628914e-17,3.1031676915590914e-17,5,0.30051453688971824
17,design_000354,354,lateral_discriminating,7.5,30,512,272,139264,7.12890625,7.169117647058823,True,2.1510571102112408e-16,1.734723475976807e-18,1.734723475976807e-18,5,0.38971069993579605
18,design_000387,387,lateral_discriminating,10.0,40,512,272,139264,7.12890625,7.169117647058823,True,2.7755575615628914e-17,0.0,0.0,5,0.47984779208425704
19,design_000409,409,lateral_discriminating,10.0,40,512,272,139264,7.12890625,7.169117647058823,True,2.7755575615628914e-17,0.0,0.0,5,0.6808178289134815
