design_index,design_id,day,source_time_index,refinement_level,quadrature_cell_count,minimum_cell_width_x_km,minimum_cell_width_y_km,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_name,accepted_moment_residual,relative_lambda_change_from_previous,relative_kl_change_from_previous,log10_intrinsic_ess_change_from_previous,projected_moment_linf_change_from_previous,stable_under_additional_refinement,refined_parent_cell_count,refined_projected_mass
131,design_000131,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,8.338839194759612e-10,8.338839194759612e-10,8.338839194365301e-10,167.47746303968307,1981.2878873832015,13.862046949949498,-1000000164.2284297,1000000164.2304065,28.25394089162036,3.097984172645289e-122,-121.5089208053471,1.337363086889371e-18,0.011682317375135816,4998075583833651.0,0.01193909016309996,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,1827,0.9999003534173515
131,design_000131,2.5,10,1,144745,3.564453125,3.5845588235294117,True,2,8.339119052927543e-10,8.339119052927543e-10,8.338605457909639e-10,167.47750019446997,1981.2882208832393,13.862127915163713,-1000000167.2343128,1000000167.2362897,28.253750958630057,3.0978644376781923e-122,-121.50893759085584,1.3368642278474797e-18,0.011682252816670312,4999114915388563.0,0.0030294211737939797,warm_start_covariance_trust_region,True,3.005882614776782e-09,6.722399110145453e-06,1.678550873407403e-05,7.992911887910736e-12,True,,
149,design_000149,2.5,10,0,139264,7.12890625,7.169117647058823,True,168,9.13697656421737e-10,9.13697656421737e-10,8.752392144373289e-10,7132.445146553599,15077.213685556419,-4836330940.066125,5.919370896403201,4836330940.094886,28.55288873435894,7.197345633982637e-104,-103.14282764093802,2.3620402567234135e-19,0.02206514988949332,1.7849116675940784e+16,0.010379859363292693,native_zero_start,True,nan,nan,nan,nan,False,2364,0.9999002776845842
149,design_000149,2.5,10,1,146356,3.564453125,3.5845588235294117,True,193,7.680072305319979e-10,7.680072305319979e-10,7.356933950930511e-10,7132.462092458229,15079.351513202508,-4836394567.523758,5.919264359682522,4836394567.5525255,28.5529600481123,7.203727405992915e-104,-103.14244272954392,2.361330355831162e-19,0.022064805371328537,1.784986302944326e+16,0.0026490761803244466,native_zero_start,True,1.3155969137798084e-05,2.497595809306026e-06,0.00038491139410723463,1.395458193442778e-10,True,,
153,design_000153,2.5,10,0,139264,7.12890625,7.169117647058823,True,326,9.958987978027439e-10,9.958987978027439e-10,9.438793635574427e-10,59.83729860184786,-9484111357.951672,-7.8218186802875636,2356.776405405757,9484111357.951965,17.4433137296314,3.291995098942325e-153,-152.48254082002836,-1.1926227280238733e-17,0.11845535262609488,1.1845535262609488e+299,0.0053802047015022005,native_zero_start,True,nan,nan,nan,nan,False,2973,0.9999005155907544
153,design_000153,2.5,10,1,148183,3.564453125,3.5845588235294117,True,327,9.709808464612624e-10,9.709808464612624e-10,9.202724693402331e-10,59.83735080575669,-9484094003.78699,-7.821831938924754,2356.776277931816,9484094003.787281,17.44335277487011,3.2802765487767986e-153,-152.4840895408783,-1.8865121204483532e-17,0.11845558987164499,1.1845558987164498e+299,0.0014290937002154561,native_zero_start,True,1.829817869314483e-06,2.238402170471301e-06,0.0015487208499394,2.360689421720963e-11,True,,
165,design_000165,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,6.223795135681994e-10,6.223795135681994e-10,5.167522662470452e-10,-1000000001.4075291,12174.611726612531,-25.07225579629965,-31.287762045126488,1000000001.4816405,4.2393880861354765,0.0,-316.76279990887366,3.7638007632025063e-19,0.07702119120302665,5.595924594385488e+16,0.008134943913459272,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2822,0.9999004463450295
165,design_000165,2.5,10,1,147730,3.564453125,3.5845588235294117,True,3,5.128343695304317e-10,5.128343695304317e-10,5.128317222390067e-10,-1000000012.8735362,12174.479118896365,-25.071992152030987,-31.287508485254914,1000000012.947646,4.243267636162153,0.0,-316.77325496631863,3.339095322947808e-19,0.07702268465860196,5.774206030756567e+16,0.0020744998451555953,warm_start_covariance_trust_region,True,1.1466773768638516e-08,0.0009142836038937793,0.010455057444971771,3.37606553824088e-10,True,,
174,design_000174,2.5,10,0,139264,7.12890625,7.169117647058823,True,3,3.1914624129814024e-09,3.1914624129814024e-09,2.9523138815869187e-09,126708.36631066175,-36.902910800385904,-1000000015.3617489,5647.39606525169,1000000023.4052011,8.606565136473229,0.0,-424.1004927027137,2.2612947694188033e-18,0.0023185450406152377,710927777015515.6,0.0036351257989564777,warm_start_covariance_trust_region,True,nan,nan,nan,nan,False,2375,0.9999001724877437
174,design_000174,2.5,10,1,146389,3.564453125,3.5845588235294117,True,2,2.9938356487061062e-09,2.9938356487061062e-09,2.9573366590234513e-09,126708.26346460968,-36.903166456555624,-1000000075.1442882,5647.39510352938,1000000083.1877267,8.601106001663549,0.0,-424.09882235861477,2.2100615933490592e-18,0.002318397851544145,722228463263024.1,0.0009307716492337356,warm_start_covariance_trust_region,True,5.978262274838367e-08,0.0006347014917179383,0.0016703440989545015,7.414411445916258e-10,True,,
