design_index,design_id,bandwidth_low_days,bandwidth_nominal_days,bandwidth_high_days,observation_time_rmse,observation_time_maximum_absolute_error,minimum_reconstructed_moment,maximum_reconstructed_moment,maximum_absolute_derivative_per_normalized_time,derivative_all_finite,coarse_derivative_energy_per_day,refined_derivative_energy_per_day,temporal_grid_refinement_relative_energy_change
85,design_000085,0.5,0.75,1.0,0.0037760785296662084,0.040094252797474805,9.988508768233678e-06,0.7390659737390264,4.2915511026247195,True,0.057179358549073855,0.05719016766676802,0.00018900307754209244
105,design_000105,0.5,0.75,1.0,0.007108146523032146,0.10182089800670108,5.105667611543956e-09,0.8726518926638042,6.787417071471492,True,0.09163797537962552,0.0916880664396778,0.0005463203882180234
176,design_000176,0.5,0.75,1.0,0.004287137707165494,0.044749233440328995,6.019541262884407e-14,0.8634037482044796,5.191271487453763,True,0.06707946394494035,0.0670844022535062,7.361336465648125e-05
55,design_000055,0.5,0.75,1.0,0.007482812222534203,0.12095752601971543,4.561924921143831e-08,0.71546284881999,5.546903284866114,True,0.06584383993755419,0.06588544739933723,0.0006315121688535421
500,design_000500,0.5,0.75,1.0,0.004431230237293276,0.07509656031657252,1.8660877097114877e-11,0.8134279268077376,4.567937909491551,True,0.04001925387563713,0.04001972846246556,1.1858821802813848e-05
331,design_000331,0.5,0.75,1.0,0.0061510682785166524,0.07434619467151427,1.703567093510705e-05,0.7988667917736425,5.459701406439791,True,0.08179970777913456,0.08183373126203194,0.0004157635533987758
162,design_000162,0.5,0.75,1.0,0.007137040716951191,0.1092201544852423,7.046691261684501e-05,0.6980954307100176,5.119048420015941,True,0.06517701103668727,0.0652109034958915,0.0005197360776692695
329,design_000329,0.5,0.75,1.0,0.004413569154295757,0.08139249003408477,3.390734576689762e-09,0.6801809199460642,2.9370716224452664,True,0.02855733053793742,0.02856621730517117,0.0003110935948857017
0,design_000000,0.5,0.75,1.0,0.007130186980369268,0.10683851204494854,6.36099899832865e-11,0.7235632486122247,6.809732344907376,True,0.07591670493524058,0.07597508177953412,0.0007683682982130342
192,design_000192,0.5,0.75,1.0,0.006514879920875203,0.10231896444985217,0.0033397943457349655,0.6228626066948547,4.888218530311071,True,0.046749799574354184,0.046785375310771385,0.0007604029289257498
161,design_000161,0.5,0.75,1.0,0.006959287045033378,0.11146945615117765,4.903906626037407e-07,0.6793974711409477,6.596765132548246,True,0.07571090277394851,0.07575440994084484,0.0005743186031057754
59,design_000059,0.5,0.75,1.0,0.0033988992985595438,0.04083731587615835,6.865105426698371e-10,0.8887080011483398,5.8738342980726195,True,0.06156921353763104,0.06157777780092516,0.0001390804215411225
322,design_000322,0.5,0.75,1.0,0.005940160876759607,0.09313039640321569,2.6615028285369423e-07,0.8551560050230017,5.32306475046551,True,0.07357357162090968,0.07360080757205702,0.00037004962371747383
223,design_000223,0.5,0.75,1.0,0.003531657930384356,0.04277344902239333,1.6503453067004708e-08,0.8624988040634837,5.776532335704468,True,0.06297223738271669,0.06298380164402521,0.00018360691172440642
276,design_000276,0.5,0.75,1.0,0.0033830146603407727,0.04289549841573871,5.615563446952718e-11,0.3459135209552441,3.4055932557829776,True,0.023866160939565787,0.023879435378133026,0.0005558941556630951
270,design_000270,0.5,0.75,1.0,0.0066434317033211175,0.08000659045050917,5.1676207171464864e-11,0.837476670788646,6.951341498364858,True,0.09322984605881356,0.09328353674174751,0.0005755644008502321
342,design_000342,0.5,0.75,1.0,0.006419746776641963,0.07625270004747631,9.044585764336505e-09,0.8454138348577769,6.931046877528566,True,0.10223436566722136,0.10228433875727147,0.0004885702997866068
13,design_000013,0.5,0.75,1.0,0.0011656739124580294,0.007941757746444941,2.9055334988672085e-12,0.2584262621964837,2.533479989180687,True,0.011379866996760728,0.011380223178917397,3.129834547779691e-05
38,design_000038,0.5,0.75,1.0,0.007365928056857723,0.10829755910003297,0.00215615400330142,0.7458486385644375,6.205357108674115,True,0.08001749704465368,0.08006727226826925,0.0006216675328815764
83,design_000083,0.5,0.75,1.0,0.007087454593451398,0.10211831583272496,0.0009450740059369396,0.8849371822654789,5.64550334532988,True,0.09359247020653737,0.09363446315437222,0.00044847747741795014
292,design_000292,0.5,0.75,1.0,0.006605795121064377,0.11546190745595919,1.7139912168116813e-06,0.6554027103690226,4.417059950438713,True,0.053454419348379696,0.05348601208945797,0.0005906729599774926
325,design_000325,0.5,0.75,1.0,0.004986577108218464,0.08726387357258436,1.769121751310427e-08,0.6856088863340604,5.850619996072392,True,0.04784109413558041,0.047870214015838845,0.0006083089632480384
