design_id,style,feasible_repeat_count,feasible_all_repeats,mean_valid_fold_risk,std_valid_fold_risk,repeat_0_risk,repeat_1_risk,repeat_2_risk,repeat_0_feasible,repeat_1_feasible,repeat_2_feasible
design_000014,support_random,0,False,nan,nan,0.020770201459527016,0.030133629217743874,0.020355818793177605,False,False,False
design_000015,support_random,0,False,nan,nan,0.03262019157409668,0.04884446784853935,0.29032981395721436,False,False,False
design_000016,support_random,0,False,nan,nan,0.04644276574254036,0.04463280364871025,0.03841094672679901,False,False,False
design_000017,support_random,0,False,nan,nan,0.047257211059331894,0.05383679270744324,0.047798480838537216,False,False,False
design_000018,support_random,0,False,nan,nan,0.033276528120040894,0.034529995173215866,0.03107379376888275,False,False,False
design_000019,support_random,0,False,nan,nan,0.05147463455796242,0.041572362184524536,0.025218570604920387,False,False,False
design_000020,support_random,0,False,nan,nan,0.05315706506371498,0.04335283115506172,0.059181779623031616,False,False,False
design_000021,support_random,0,False,nan,nan,0.03468048945069313,0.0345257893204689,0.02809392474591732,False,False,False
design_000022,support_random,0,False,nan,nan,0.04822346568107605,0.07945309579372406,0.06282930821180344,False,False,False
design_000023,support_random,0,False,nan,nan,0.04145728796720505,0.051720838993787766,0.046776991337537766,False,False,False
design_000024,support_random,0,False,nan,nan,0.025707468390464783,0.035532861948013306,0.05340448021888733,False,False,False
design_000025,support_random,0,False,nan,nan,0.05204417183995247,0.055270303040742874,0.0555591955780983,False,False,False
design_000026,support_random,0,False,nan,nan,0.09476020187139511,0.09725628048181534,0.07356742769479752,False,False,False
design_000027,support_random,0,False,nan,nan,0.0353485569357872,0.054592736065387726,0.029034899547696114,False,False,False
design_000028,support_random,0,False,nan,nan,0.02648172341287136,0.03420673683285713,0.03193075582385063,False,False,False
design_000029,support_random,0,False,nan,nan,0.1051124557852745,0.0901300311088562,0.0873187854886055,False,False,False
design_000030,support_random,0,False,nan,nan,0.03952814266085625,0.05087680742144585,0.044484686106443405,False,False,False
design_000031,support_random,0,False,nan,nan,0.058129943907260895,0.04818625748157501,0.05746646225452423,False,False,False
design_000032,support_random,0,False,nan,nan,0.04513728246092796,0.04992878809571266,0.06755921989679337,False,False,False
design_000033,support_random,0,False,nan,nan,0.038550663739442825,0.043402593582868576,0.039518002420663834,False,False,False
design_000034,support_random,0,False,nan,nan,0.06174251437187195,0.06338239461183548,0.09454295039176941,False,False,False
design_000035,support_random,0,False,nan,nan,0.01939648948609829,0.02293751761317253,0.01847543939948082,False,False,False
design_000036,support_random,0,False,nan,nan,0.03119789995253086,0.10133739560842514,0.09265395253896713,False,False,False
design_000037,support_random,0,False,nan,nan,0.03143544867634773,0.04390094801783562,0.027997490018606186,False,False,False
design_000038,support_random,0,False,nan,nan,0.030939368531107903,0.034205254167318344,0.04076782613992691,False,False,False
design_000039,support_random,0,False,nan,nan,0.03961919993162155,0.04721538722515106,0.04104364663362503,False,False,False
design_000040,support_random,0,False,nan,nan,0.048817217350006104,0.04272393137216568,0.020983362570405006,False,False,False
design_000041,support_random,0,False,nan,nan,0.03294555842876434,0.22365306317806244,0.24576525390148163,False,False,False
design_000042,support_random,0,False,nan,nan,0.015875419601798058,0.06613387912511826,0.11040683835744858,False,False,False
design_000043,support_random,0,False,nan,nan,0.02659936621785164,0.045217130333185196,0.03595079109072685,False,False,False
design_000044,support_random,0,False,nan,nan,0.0375814326107502,0.024130720645189285,0.03661897033452988,False,False,False
design_000045,support_random,0,False,nan,nan,0.033505432307720184,0.039702288806438446,0.04013654217123985,False,False,False
design_000046,support_random,0,False,nan,nan,0.11390895396471024,0.08005806803703308,0.06835848093032837,False,False,False
design_000047,support_random,0,False,nan,nan,0.02379092387855053,0.0379098616540432,0.027643000707030296,False,False,False
design_000048,support_random,0,False,nan,nan,0.04844023659825325,0.05605949088931084,0.06344164162874222,False,False,False
design_000049,support_random,0,False,nan,nan,0.022817766293883324,0.03391656279563904,0.024224715307354927,False,False,False
design_000050,support_random,0,False,nan,nan,0.05722241476178169,0.048804376274347305,0.050782907754182816,False,False,False
design_000051,support_random,0,False,nan,nan,0.05923646315932274,0.04479855298995972,0.03517630323767662,False,False,False
design_000052,support_random,0,False,nan,nan,0.02099473588168621,0.035561155527830124,0.01911347545683384,False,False,False
design_000053,support_random,0,False,nan,nan,0.02870304323732853,0.035574331879615784,0.034598372876644135,False,False,False
design_000054,support_random,0,False,nan,nan,0.049316465854644775,0.04580271616578102,0.03721107915043831,False,False,False
design_000055,support_random,0,False,nan,nan,0.027057871222496033,0.033036936074495316,0.03432583436369896,False,False,False
design_000056,support_random,0,False,nan,nan,0.029969871044158936,0.0358622744679451,0.024787375703454018,False,False,False
design_000057,support_random,0,False,nan,nan,0.04390294849872589,0.0556458979845047,0.0414096973836422,False,False,False
design_000058,support_random,0,False,nan,nan,0.02455207332968712,0.06177778169512749,0.040381789207458496,False,False,False
design_000059,support_random,0,False,nan,nan,0.0485636442899704,0.03783184289932251,0.03134000673890114,False,False,False
design_000060,support_random,0,False,nan,nan,0.0515679307281971,0.0691995769739151,0.12310715764760971,False,False,False
design_000061,support_random,0,False,nan,nan,0.028901608660817146,0.03917377069592476,0.02712736651301384,False,False,False
design_000062,support_random,0,False,nan,nan,0.07127466052770615,0.08320412784814835,0.09393298625946045,False,False,False
design_000063,support_random,0,False,nan,nan,0.0805242657661438,0.10174079984426498,0.088762067258358,False,False,False
design_000064,support_random,0,False,nan,nan,0.038761839270591736,0.11362508684396744,0.1464635133743286,False,False,False
design_000065,support_random,0,False,nan,nan,0.035185664892196655,0.03367196395993233,0.02387847751379013,False,False,False
design_000066,support_random,0,False,nan,nan,0.02928134612739086,0.0612347237765789,0.047047801315784454,False,False,False
design_000067,support_random,0,False,nan,nan,0.02645828202366829,0.0302807055413723,0.0571414977312088,False,False,False
design_000068,support_random,0,False,nan,nan,0.048897672444581985,0.048263534903526306,0.05567636713385582,False,False,False
design_000069,support_random,0,False,nan,nan,0.07363494485616684,0.08159516006708145,0.10386113822460175,False,False,False
design_000070,support_random,0,False,nan,nan,0.05949049070477486,0.05192974954843521,0.03121786005795002,False,False,False
design_000071,support_random,0,False,nan,nan,0.025009209290146828,0.040209610015153885,0.03693367913365364,False,False,False
design_000072,support_random,0,False,nan,nan,0.030076218768954277,0.028201941400766373,0.018233710899949074,False,False,False
design_000073,support_random,0,False,nan,nan,0.04319973289966583,0.05682000890374184,0.04124782606959343,False,False,False
design_000074,support_random,0,False,nan,nan,0.023562703281641006,0.03046962060034275,0.02564733847975731,False,False,False
design_000075,support_random,0,False,nan,nan,0.04204918444156647,0.051665838807821274,0.023066848516464233,False,False,False
design_000076,support_random,0,False,nan,nan,0.0638551339507103,0.26842746138572693,0.12104111909866333,False,False,False
design_000077,support_random,0,False,nan,nan,0.05801432207226753,0.05402448773384094,0.05478858947753906,False,False,False
design_000078,support_random,0,False,nan,nan,0.10806914418935776,0.09271854162216187,0.053943898528814316,False,False,False
design_000079,support_random,0,False,nan,nan,0.02824750728905201,0.03191430866718292,0.033238474279642105,False,False,False
design_000080,support_random,0,False,nan,nan,0.043132513761520386,0.040700457990169525,0.039693474769592285,False,False,False
design_000081,support_random,0,False,nan,nan,0.056305572390556335,0.05560596287250519,0.03585990518331528,False,False,False
