case,design_id,design_index,style,day,source_time_index,original_failure_reason,original_newton_residual,nominal_particle_count,unique_reference_paths,duplicate_paths_collapsed,coordinate_support_margin,exact_lp_success,minimum_linf_residual,minimum_l2_residual_at_linf_solution,active_weight_count,maximum_weight,lp_status
4,design_000199,199,support_random,2.5,10,low_ess;coordinate_support_infeasible,3.5830860931044767e-13,50000,200,49800,-3.4644975936367667e-13,True,3.4657412085321936e-13,3.4657412529885986e-13,4,0.7288944977089971,Optimization terminated successfully. (HiGHS Status 7: Optimal)
4,design_000199,199,support_random,2.5,10,low_ess;coordinate_support_infeasible,3.5830860931044767e-13,200000,200,199800,-3.4644975936367667e-13,True,3.4657412085321936e-13,3.4657412529885986e-13,4,0.7288944977089971,Optimization terminated successfully. (HiGHS Status 7: Optimal)
5,design_000205,205,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.035858066976883006,2000,200,1800,-0.005281794507022788,False,0.00589509583524539,0.009631403031869323,2,0.6077499044128957,Optimization terminated successfully. (HiGHS Status 7: Optimal)
5,design_000205,205,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.035858066976883006,10000,200,9800,-0.005281794507022788,False,0.00589509583524539,0.009631403031869323,2,0.6077499044128957,Optimization terminated successfully. (HiGHS Status 7: Optimal)
5,design_000205,205,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.035858066976883006,50000,200,49800,-0.005281794507022788,False,0.00589509583524539,0.009631403031869323,2,0.6077499044128957,Optimization terminated successfully. (HiGHS Status 7: Optimal)
5,design_000205,205,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.035858066976883006,200000,200,199800,-0.005281794507022788,False,0.00589509583524539,0.009631403031869323,2,0.6077499044128957,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,design_000215,215,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.29516978144398603,2000,200,1800,-0.07049198654768699,False,0.07187082906281583,0.10503342704675682,2,0.7134023077304699,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,design_000215,215,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.29516978144398603,10000,200,9800,-0.07049198654768699,False,0.07187082906281583,0.10503342704675682,2,0.7134023077304699,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,design_000215,215,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.29516978144398603,50000,200,49800,-0.07049198654768699,False,0.07187082906281583,0.10503342704675682,2,0.7134023077304699,Optimization terminated successfully. (HiGHS Status 7: Optimal)
6,design_000215,215,support_random,2.5,10,native_nonconvergence;moment_residual;coordinate_support_infeasible,0.29516978144398603,200000,200,199800,-0.07049198654768699,False,0.07187082906281583,0.10503342704675682,2,0.7134023077304699,Optimization terminated successfully. (HiGHS Status 7: Optimal)
