left_design_id,right_design_id,hungarian_matched_rms_km,hausdorff_km,symmetric_average_nearest_sensor_km
design_000267,design_000105,374.778634616454,426.9967889201287,196.39816329948346
design_000267,design_000322,144.5155063970977,221.5364214600487,131.35927350568286
design_000267,design_000276,281.4064580089334,375.5352955074195,273.82837902963206
design_000267,design_000176,350.8855628627213,537.9100006933803,263.59345393206456
design_000267,design_000223,314.14649871681144,533.0087705703751,161.52626954534142
design_000267,design_000143,297.9211845700223,364.15568164450127,232.35708474536074
design_000267,design_000069,725.6555626628863,516.6723468737454,206.22383442268966
design_000267,design_000168,306.6246362299429,382.9783268667639,226.71938232822117
design_000267,design_000292,283.7318771426351,445.8531038066946,228.07383773869398
design_000267,design_000038,499.49829634529584,579.9060326605065,242.52196028972025
design_000267,design_000251,306.43924615819753,446.27995903649,248.60450838440428
design_000267,design_000013,723.9778166931598,617.124352739498,340.3528805548558
design_000267,design_000342,247.86879762211808,257.2746750128679,120.20846767198738
design_000267,design_000270,259.16780990737647,328.57748650215643,211.83891310181303
design_000267,design_000200,612.5915517340452,692.9948307587026,357.7784707297891
design_000267,design_000012,190.68478775200148,298.26709640103314,153.67103893240915
design_000267,design_000286,276.66911109057264,434.7482579793881,205.66339954554002
design_000267,design_000221,222.4467281850687,317.46349260293397,180.79549522432913
design_000267,design_000272,259.849149599589,340.70545756332086,215.04290139477996
design_000267,design_000139,285.8407301617662,390.54555629163514,211.79623288563022
design_000267,design_000167,302.67310636284054,392.88917212376117,297.22467656978597
design_000267,design_000255,285.77254730788104,414.22892515290414,236.3334242175781
design_000267,design_000032,280.9964883007794,306.31568776295387,248.06537023929008
design_000324,design_000150,460.4222997158364,315.86492777442317,180.52726034339472
design_000324,design_000266,168.26859739412785,276.17046798448524,145.5025324331038
design_000324,design_000004,596.8351977359721,660.8165542875196,318.8465467580137
design_000324,design_000186,259.1480415755568,323.75834968911136,209.42178184456418
design_000324,design_000138,338.62361486961174,498.19604465992404,265.24383072578826
design_000324,design_000500,405.15828678001907,641.8766420322268,308.94366107984064
design_000324,design_000014,258.22575072274736,382.9750048372127,222.35460029165534
design_000324,design_000325,386.01662565726457,443.9778502022044,277.9866830566183
design_000324,design_000347,325.40804534236247,397.4869840784424,248.31395448253005
design_000324,design_000281,277.9486625471052,365.0951233589149,210.61844946632328
design_000324,design_000085,221.70130439772072,301.70379086266865,213.14675445503445
design_000324,design_000193,448.48441694056055,611.8564238080686,328.7941953552157
design_000324,design_000121,545.511542435564,699.0968026903031,300.1204556012101
design_000324,design_000241,153.32250966560682,229.98961771731874,131.49337129428304
design_000324,design_000307,347.32603470945696,531.2649756024166,257.12283111960846
design_000324,design_000312,298.34845971339587,529.2162427674222,238.52644751183465
design_000324,design_000182,283.25910356659625,331.51011634298976,238.62706120460516
design_000324,design_000205,384.56083467476424,492.0406592528916,267.6048546976224
design_000324,design_000218,264.3915123781269,346.09590124312865,238.18027919102707
design_000324,design_000202,481.51030570312497,303.33458124973447,226.2872908382681
design_000324,design_000245,280.5109830326454,427.87060245309004,224.9074176947978
design_000324,design_000340,200.97451406138265,287.19901971412946,166.8439944709477
design_000324,design_000055,221.15431649130988,393.0701021813482,186.02304026681614
design_000324,design_000224,340.73964405313654,534.2596527766792,256.8537043590062
design_000324,design_000056,255.57787001394556,396.7140493883409,206.6822647958403
design_000324,design_000252,229.59209540182377,283.1309750881019,176.31602502511635
design_000324,design_000088,339.4936707435093,430.59127214621407,305.38153270320254
design_000324,design_000343,228.27205842233064,275.3899465839137,218.38032393504227
design_000324,design_000332,277.57047952939365,381.6007048985032,259.66647979134984
design_000324,design_000326,213.05419280836367,320.59050081727855,137.20276435442094
design_000324,design_000059,261.9428090838083,383.18354967921096,243.2222984967461
design_000324,design_000192,388.2477880901925,485.8153848354775,192.8227798784846
design_000324,design_000031,621.273686888279,416.68551724703985,195.54702665673264
design_000324,design_000329,190.64142691891482,281.57336616815303,178.18524070102657
design_000324,design_000000,325.61178920099854,329.50523254173004,282.315152862383
design_000324,design_000331,206.8419927889239,228.92798730338234,199.1496920356061
design_000324,design_000318,183.22922744622008,252.5252632219763,173.0734158653025
design_000324,design_000162,281.30634958499115,337.2636889792186,236.28443678440777
design_000324,design_000161,247.89568990744144,312.62981858708815,238.93424547885655
design_000324,design_000105,297.683608210165,356.26721603979274,224.61125290659575
design_000324,design_000322,243.39622677015007,368.33865198820575,201.63274717388967
design_000324,design_000276,273.2213027601815,326.01685628621505,240.3062597948171
design_000324,design_000176,387.8584258968043,540.8886167089313,270.5129994281948
design_000324,design_000223,312.45757319387945,558.5279354411946,234.74151588585937
design_000324,design_000143,497.43747303249813,447.41510240723426,221.0315243441451
design_000324,design_000069,881.8693567609489,513.219046622733,282.11458145528206
design_000324,design_000168,414.08752535561496,557.5939680913916,230.9980445267865
design_000324,design_000292,390.10107704779915,493.34262149116694,161.39080476272136
design_000324,design_000038,327.2440225119828,451.75993497114285,229.30741286310956
design_000324,design_000251,284.118563818038,427.34755698663605,265.87254170903464
design_000324,design_000013,754.3856788123119,499.6050818842452,310.18891179415255
design_000324,design_000342,190.181767120421,263.2994018928213,170.42018428594366
design_000324,design_000270,303.8780823501512,341.9521994221598,283.3671761308366
design_000324,design_000200,732.7735423549015,933.2651355638197,405.32398933884394
design_000324,design_000012,177.9018399342945,249.76328700095553,157.38764548494228
design_000324,design_000286,227.94628303196464,357.9637268467487,198.1653292855275
design_000324,design_000221,257.02635418386154,422.77968343370134,197.2739417002846
design_000324,design_000272,277.96846109893767,376.15285622148906,249.44936297094398
design_000324,design_000139,374.26969170796866,509.73020272737494,218.81123706355407
design_000324,design_000167,278.9997333719168,347.08831427001064,244.21723098115876
design_000324,design_000255,247.26834264690706,332.9044200297619,210.77019466583212
design_000324,design_000032,374.3713530030512,397.633694215934,260.15304479166366
design_000150,design_000266,744.2534811826611,446.342998681676,189.5414747464451
design_000150,design_000004,312.3945617501857,459.0289580676091,264.2118031334427
design_000150,design_000186,463.72638934008944,372.7691146893333,237.1881029954087
design_000150,design_000138,547.6910520069472,567.7478872889511,261.8508282092993
design_000150,design_000500,574.3858550573902,684.8869547789001,218.0047670578761
design_000150,design_000014,338.71082447252246,402.94522550857533,222.11716964056234
design_000150,design_000325,311.86890521328587,428.104386586598,253.36461591427584
design_000150,design_000347,633.9438533025952,487.57492334530286,251.48822541488107
design_000150,design_000281,520.3564281051237,453.10134773676873,229.47559033753686
design_000150,design_000085,429.20140041435826,454.87030774576186,226.97534061346656
design_000150,design_000193,282.6988797802596,448.9061813433598,257.9987319601281
design_000150,design_000121,223.40674635231585,396.82073432926603,185.53141222076044
design_000150,design_000241,436.79301450250244,544.3965886745675,217.50257772462712
design_000150,design_000307,456.2683565508808,507.64621510828454,296.84376834832767
design_000150,design_000312,489.00359496154323,635.0427739347415,315.0575298503966
design_000150,design_000182,243.86493499044542,332.6468207762339,224.10521608572986
design_000150,design_000205,290.00287354772814,523.5866483752751,184.3966155728251
design_000150,design_000218,575.1859574724018,539.2684949475344,207.8445176320707
