case,design_id,design_index,style,day,source_time_index,particle_count,unique_reference_particles,old_minimum_linf_residual,coordinate_support_margin,classification,native_failure_reason,exact_lp_success,exact_lp_verified_linf_residual,minimum_linf_residual,minimum_l2_residual_at_linf_solution,lp_active_weight_count,lp_maximum_weight,native_converged,native_iterations,native_reported_residual,native_verified_l2_residual,native_ess_fraction,native_effective_sample_size,native_covariance_min_eigenvalue,native_covariance_max_eigenvalue,native_covariance_condition_regularized,native_multiplier_norm,native_maximum_weight,native_healthy
16,design_000302,302,longitudinal_stratified,7.5,30,2000,2000,0.03519778365343418,0.1047000312082495,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.0409776688476238,0.08195533769524102,4,0.3755677055965708,False,200,0.2998337368073142,0.29983373680731423,0.42755590145388855,855.1118029077771,1.2887926209424247e-06,0.05832446999918745,45220.03774263414,525.2732805953217,0.004515892836629551,False
17,design_000354,354,lateral_discriminating,7.5,30,2000,2000,0.0026363191594456215,0.011745134095717612,B_feasible_but_unhealthy,low_ess,True,6.938893903907228e-18,2.7755575615628914e-17,2.8662335771926895e-17,5,0.4119004295512216,True,8,1.0339861071326761e-13,1.0323564927329043e-13,0.01373974066684057,27.47948133368114,0.00040447451637758917,0.09137298962992493,225.90487416456054,65.10111532678859,0.1539152369869385,False
18,design_000387,387,lateral_discriminating,10.0,40,2000,2000,5.551115123125783e-17,0.002777712670366237,A_support_repaired,,True,2.7755575615628914e-17,8.326672684688674e-17,1.062048942055039e-16,5,0.6436020171207578,True,10,2.8981927464166953e-09,2.898192502009593e-09,0.03355077366050306,67.10154732100612,4.9778031095175525e-06,0.08207942865127216,16485.775365241483,153.02475486021177,0.06613203519618958,True
19,design_000409,409,lateral_discriminating,10.0,40,2000,2000,2.7755575615628914e-17,0.0031509188134954663,A_support_repaired,,True,8.326672684688674e-17,4.440892098500626e-16,4.452025097270786e-16,5,0.632980679355373,True,11,2.342445032397134e-10,2.342446098041629e-10,0.027843225593351385,55.68645118670277,1.0118199065226477e-05,0.1326797419625083,13111.68424568776,160.56966816697553,0.11588270506077682,True
0,design_000017,17,support_random,2.5,10,10000,10000,0.050100214388372755,-6.70368860098816e-07,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.03220060613597786,0.05577308586611242,3,0.781224285990711,False,200,0.8066495769708989,0.8066495769709007,0.0005938087759870488,5.938087759870489,-2.372742490223542e-19,0.005423014840992144,5423015.842278887,728.5633920341432,0.33129400810084203,False
1,design_000024,24,support_random,2.5,10,10000,10000,0.009525557272001217,-0.008084728730386046,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.015483420539802006,0.027677948509981794,3,0.613624557312551,False,200,0.23744068061350485,0.23744068061350546,0.010791871929652823,107.91871929652824,1.1308003876113127e-05,0.0863987031216201,7639.815590134459,500.3912721828309,0.05648840106731462,False
2,design_000107,107,support_random,2.5,10,10000,10000,0.034707032126016474,-0.030749375649840285,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.0310961693441487,0.053860145224831346,3,0.6645497157360954,False,200,0.19523503234963321,0.195235032349633,0.05182037287156457,518.2037287156456,6.776189695752993e-21,0.005698527606122038,5698528.606083423,500.53576861544747,0.025186344002885264,False
3,design_000159,159,support_random,2.5,10,10000,10000,0.007875870798066856,-0.008415006167709682,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.014966647803426214,0.023078515186823457,2,0.963853232599907,False,200,0.2606620055273027,0.26066200552730223,0.05447093188727239,544.7093188727239,4.6030382533336594e-27,0.019383258973695937,19383259.973695934,508.1360081194493,0.029192978365003605,False
4,design_000199,199,support_random,2.5,10,10000,10000,3.4657412085321936e-13,-3.46693736239119e-13,B_feasible_but_unhealthy,low_ess,True,3.4685709183614285e-13,3.4686425561235955e-13,3.4686426005428147e-13,4,0.44422361900097507,True,8,3.559998051316919e-13,3.5562723899530863e-13,0.0018026013162421375,18.026013162421375,-9.75781955236962e-18,0.15551351814235875,155513520.6598316,52.65610030380434,0.18833710135968051,False
5,design_000205,205,support_random,2.5,10,10000,10000,0.00589509583524539,-0.005706146479804388,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.006315202477374987,0.010938251555333688,3,0.6507500625897367,False,200,0.06924061373856447,0.06924061373856033,0.9975308883279922,9975.308883279922,3.177000705939319e-21,0.018713400594869225,18713401.59480977,500.963448314802,0.00017391358263829507,False
6,design_000215,215,support_random,2.5,10,10000,10000,0.07187082906281583,-0.05439572797607965,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.06430594952194446,0.09101523570537316,2,0.7831438810832206,False,200,0.31999249877973707,0.3199924987797378,0.04820606342266662,482.0606342266662,6.891961652005563e-07,0.0023544318810290827,3411.2517567305445,724.3560309160725,0.006102799248648416,False
7,design_000279,279,longitudinal_stratified,2.5,10,10000,10000,0.005225746923713187,-0.001432096634669461,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.004384681476832186,0.007594491117297954,3,0.4882336891410076,False,200,0.35179576639453114,0.3517957663945339,0.981250496442529,9812.50496442529,3.7974548758863194e-20,0.044746285330278496,44746286.32857927,500.00617140358514,0.000803827946237792,False
8,design_000321,321,longitudinal_stratified,2.5,10,10000,10000,0.027353744043076306,-1.2186833060204776e-10,B_feasible_but_unhealthy,low_ess,True,1.221631396047789e-10,1.2216471023008033e-10,1.2216471023008113e-10,4,0.4056322543776465,True,8,1.7961182913568068e-09,1.796119869113894e-09,0.0006370012277186508,6.3700122771865075,1.7638328320547613e-28,0.012131175798430826,12131176.798430825,83.57957623327957,0.2943370520294677,False
9,design_000392,392,lateral_discriminating,2.5,10,10000,10000,0.0001645480110650882,-0.00018344600126921935,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.00018344600126922762,0.00021794308573849046,1,0.9999999999997105,False,200,0.00024286942046475508,0.00024286942046475508,0.9999988067585622,9999.988067585622,1.9566310506969117e-20,3.634248081051015e-12,1.0036342480614135,769.9073501820869,0.00010154252452168096,False
10,design_000403,403,lateral_discriminating,2.5,10,10000,10000,0.005587802760058894,-0.004979841156685261,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.009608192079241795,0.019216384158482647,4,0.9361606737486478,False,200,0.08559291304027725,0.08559291304027328,0.00021924054652405287,2.1924054652405287,3.5906052142104403e-06,0.03773193870251767,10505.592194049774,712.8852112995993,0.6721172461465851,False
11,design_000424,424,upstream_focused,2.5,10,10000,10000,0.04920058928858123,-0.030009141836780717,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.06528235557571618,0.10420197025864358,2,0.821222525576369,False,200,0.5987657201422264,0.5987657201422271,0.00027911206859967215,2.7911206859967215,9.741306405397615e-07,0.009364163592852252,9602.984670514434,547.1329719971723,0.45437698855313824,False
12,design_000460,460,upstream_focused,2.5,10,10000,10000,0.005190501419322979,0.026771862892544684,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.006567947889379366,0.011703222962392883,3,0.4919110854847383,False,200,0.06539498229576393,0.06539498229576417,0.00018406938072710054,1.8406938072710053,1.0596136959888326e-06,0.019077396882010603,17987.13136947033,627.9682184730499,0.718626242167302,False
13,design_000363,363,lateral_discriminating,5.0,20,10000,10000,0.008278387940425513,0.026772491085739814,B_feasible_but_unhealthy,low_ess,True,5.551115123125783e-17,5.551115123125783e-17,9.020562075079397e-17,5,0.36107951106084984,True,5,6.28654673665606e-09,6.286546240543565e-09,0.00559490353369727,55.9490353369727,0.0017652946248291512,0.06344715341358573,35.94137634580399,35.91017138173109,0.09704765051922773,False
14,design_000400,400,lateral_discriminating,5.0,20,10000,10000,0.006825459947096102,0.030664296512289264,B_feasible_but_unhealthy,low_ess,True,0.0,2.1788126858268697e-15,2.1918998241864063e-15,5,0.3262397105511294,True,6,1.3883214991270054e-13,1.3885747147164364e-13,0.00574657585086864,57.4657585086864,0.0018689295291045834,0.04565916964414413,24.43064091099188,29.520171485929414,0.0973765620922322,False
15,design_000215,215,support_random,7.5,30,10000,10000,5.551115123125783e-17,0.0034609187941724968,A_support_repaired,,True,5.551115123125783e-17,1.1102230246251565e-16,1.1443916996305594e-16,5,0.5255076070245894,True,8,4.0241483541801823e-14,4.0280155329908614e-14,0.023572966962241523,235.72966962241523,1.9487435392440937e-05,0.11518041824104105,5910.1932464889705,15.075797814683742,0.039469061706207814,True
16,design_000302,302,longitudinal_stratified,7.5,30,10000,10000,0.03519778365343418,0.1047000312082495,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.025921019473283458,0.051842038946549,4,0.619879708724437,False,200,0.3181148651934787,0.3181148651934791,0.11593749629524581,1159.3749629524582,2.6492217264647007e-06,0.10877009183969379,41041.88406333425,531.74086922798,0.011531035105881228,False
17,design_000354,354,lateral_discriminating,7.5,30,10000,10000,0.0026363191594456215,0.011745134095717612,B_feasible_but_unhealthy,low_ess,True,1.1102230246251565e-16,1.1102230246251565e-16,1.1107649934270853e-16,5,0.5034476035345221,True,8,1.7428488086373214e-10,1.7428538102424186e-10,0.005566890221792833,55.66890221792833,0.000373310506412129,0.08470158655872384,226.89251765311207,81.92804366905536,0.08797253981231379,False
18,design_000387,387,lateral_discriminating,10.0,40,10000,10000,5.551115123125783e-17,0.0027777202894604352,A_support_repaired,,True,2.0816681711721685e-17,4.753142324176451e-16,4.76123924537016e-16,5,0.4145596282671501,True,8,3.1663485045699077e-14,3.199030435345749e-14,0.03376547407060916,337.6547407060916,4.0742219246837784e-05,0.08900981264842048,2184.6534293023205,64.17959026745487,0.024934402601832825,True
19,design_000409,409,lateral_discriminating,10.0,40,10000,10000,2.7755575615628914e-17,0.0031509188134954663,B_feasible_but_unhealthy,low_ess,True,2.7755575615628914e-17,5.551115123125783e-17,6.206335383118183e-17,5,0.6297820684416467,True,13,3.3872653309582232e-12,3.3874549995021073e-12,0.013115151435372872,131.15151435372871,8.831595213781924e-06,0.13004020232996616,14722.762696863789,200.5188492834158,0.06696208620473108,False
0,design_000017,17,support_random,2.5,10,50000,50000,0.050100214388372755,-6.677459003069324e-07,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.012062217707499157,0.02089237393216652,3,0.4646447476720399,False,200,0.7881034300226551,0.7881034300226455,0.00018097119723705892,9.048559861852945,2.3355414248455333e-18,0.038516061192891124,38516062.10293526,746.4211016596114,0.2896955199869418,False
1,design_000024,24,support_random,2.5,10,50000,50000,0.009525557272001217,-0.0017301551368542126,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.011069341526037446,0.0221386830520692,4,0.5859505094585565,False,200,0.20569173460072057,0.20569173460072102,0.002243311720687785,112.16558603438925,1.3205210998086177e-05,0.09356541444021199,7084.955363334066,500.3967484916757,0.06571831341274775,False
2,design_000107,107,support_random,2.5,10,50000,50000,0.034707032126016474,-0.027475301092546138,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.029068691172790123,0.05034845002080147,3,0.8510757791794541,False,200,0.18911186418841802,0.18911186418841885,0.016276922397816366,813.8461198908183,-1.9461881152795636e-25,0.006014627111136392,6014628.111136393,500.4914356337345,0.016278157824319187,False
3,design_000159,159,support_random,2.5,10,50000,50000,0.007875870798066856,-3.7013214827727835e-10,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.008437813709238129,0.014614722049201638,3,0.8845618087148637,False,200,0.25270530184694406,0.2527053018469472,0.04071463621547183,2035.7318107735916,8.80208437077172e-27,0.02055633817016298,20556339.17016298,506.66494388342676,0.013335876510183708,False
4,design_000199,199,support_random,2.5,10,50000,50000,3.4657412085321936e-13,-3.465465397356481e-13,B_feasible_but_unhealthy,low_ess,True,3.468990219015943e-13,3.469155676072648e-13,3.469155853723242e-13,4,0.38042472927003695,True,8,3.4781006536287295e-13,3.477663932295631e-13,0.0018940593608834573,94.70296804417286,-1.3660947373317379e-17,0.13349581329748844,133495816.12116775,53.25453295678812,0.06259922285536185,False
5,design_000205,205,support_random,2.5,10,50000,50000,0.00589509583524539,-0.005369977353446316,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.005958329852253563,0.010320130037018272,3,0.4001696891120989,False,200,0.0681436885025112,0.06814368850250956,0.9974835634854561,49874.178174272805,3.2732315333734847e-21,0.0190146005088395,19014601.50877726,501.12160761231746,3.792874650415099e-05,False
6,design_000215,215,support_random,2.5,10,50000,50000,0.07187082906281583,-0.04911592498923824,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.053671321268883965,0.07793185955240918,2,0.98418075131132,False,200,0.32316521124374087,0.32316521124373976,0.04438612455885639,2219.3062279428195,6.771697376373017e-07,0.0022314465361219908,3290.3968022757927,724.5498427156288,0.0015871975718465634,False
7,design_000279,279,longitudinal_stratified,2.5,10,50000,50000,0.005225746923713187,-0.001432096634669461,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.0043846464945691555,0.007594430526258585,3,0.4882755959457401,False,200,0.3508142929488795,0.3508142929488784,0.9857587353301551,49287.93676650776,4.020522180910927e-20,0.044250190931496736,44250191.92971764,500.00461391294635,0.00016437095367339695,False
8,design_000321,321,longitudinal_stratified,2.5,10,50000,50000,0.027353744043076306,-1.216890963015779e-10,B_feasible_but_unhealthy,low_ess,True,1.2216492929808494e-10,1.221649012196229e-10,1.2216490121962372e-10,4,0.6279698183408285,True,9,1.2215991758673006e-10,1.221599179789098e-10,0.0003211509815594078,16.05754907797039,2.667170048525479e-28,0.014099951315666423,14099952.315666422,95.84098324784678,0.1520437396319326,False
9,design_000392,392,lateral_discriminating,2.5,10,50000,50000,0.0001645480110650882,-0.0001737920324892085,C_convex_hull_failure,native_nonconvergence;moment_residual,False,nan,0.00017379203248919876,0.00020932681112650084,1,1.0000000000002556,False,200,0.0002428290889907941,0.00024282908899079408,0.9999986183094268,49999.93091547134,2.5964600795113594e-20,4.248885217973154e-12,1.0042488851918983,769.9872484836088,2.041668518910404e-05,False
10,design_000403,403,lateral_discriminating,2.5,10,50000,50000,0.005587802760058894,0.01384837279187387,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.006581224427839538,0.012250196266799046,3,0.5709328374821818,False,200,0.029711231198090823,0.029711231198092814,3.0066264225575186e-05,1.5033132112787593,2.0286118753379936e-06,0.0013637302272841018,671.9172487385047,628.272718379431,0.8133772186589814,False
11,design_000424,424,upstream_focused,2.5,10,50000,50000,0.04920058928858123,-0.007146103427861816,C_convex_hull_failure,native_nonconvergence;moment_residual;low_ess,False,nan,0.05197250285211616,0.08756361124700103,2,0.7963966900946254,False,200,0.5787872786309674,0.5787872786309699,2.9542537637006607e-05,1.4771268818503303,8.218655240333681e-07,0.0064389093530120515,7824.984964069228,684.6084959405925,0.8176893764681264,False
12,design_000460,460,upstream_focused,2.5,10,50000,50000,0.005190501419322979,0.026859554164982806,B_feasible_but_unhealthy,low_ess,True,1.0408340855860843e-17,1.2906342661267445e-15,1.443956979204582e-15,5,0.5843287340440325,True,11,5.4929544739879464e-14,5.22801741253048e-14,0.00031744076549635456,15.872038274817728,0.00015345078788557367,0.06068193105033415,395.44623680490196,142.3343212595452,0.16719970124217176,False
13,design_000363,363,lateral_discriminating,5.0,20,50000,50000,0.008278387940425513,0.02677331417394139,B_feasible_but_unhealthy,low_ess,True,1.6653345369377348e-16,1.1102230246251565e-16,1.5735385869920192e-16,5,0.37154834070760845,True,5,4.0246906232326565e-09,4.024680991360026e-09,0.0065616507371097635,328.0825368554882,0.0015760171485455115,0.058559855610427994,37.15684154048112,30.858520672969355,0.020668217773406987,False
14,design_000400,400,lateral_discriminating,5.0,20,50000,50000,0.006825459947096102,0.030669093694348545,B_feasible_but_unhealthy,low_ess,True,1.1102230246251565e-16,1.8041124150158794e-16,2.7265526925652344e-16,5,0.31555040703802334,True,6,3.3819597846609608e-12,3.3809459738827316e-12,0.00640751424101341,320.37571205067053,0.0017154820168400501,0.04628646728207671,26.98159517040116,26.38438705496004,0.026819276994286725,False
