case,design_id,design_index,style,day,source_time_index,grid_nx,grid_ny,grid_point_count,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,solver_tier
3,design_000159,159,support_random,2.5,10,256,136,34816,True,17,2.216782798983816e-09,2.2167827233253347e-09,2.145519664149084e-09,162.77246224022187,61.938844949374285,505.95035297175536,10706.321400694243,10719.684463155303,14.010155160241387,0.0,-4463.656536139539,2.29335511404205e-09,0.02343323610570418,10217879.361266753,0.06755375067168455,high_dynamic_range_retry
3,design_000159,159,support_random,2.5,10,512,272,139264,True,22,7.0288306866999294e-09,7.028830875946466e-09,6.8050263930411476e-09,162.77246737493226,61.93884777583863,505.9503603738056,10705.824371163017,10719.188053689026,14.010204797924029,0.0,-4463.251565583363,6.655283347820372e-09,0.023433237845384314,3520997.2438006764,0.017369181289649312,high_dynamic_range_retry
4,design_000199,199,support_random,2.5,10,128,68,8704,True,7,3.8078421222011967e-10,3.8078375157037397e-10,2.7280644410154764e-10,10.731760614130414,0.00212976882668397,-2.0893398889621593,-45.369572044489246,46.66834150777832,4.7209804411167795,0.0010325223529332012,-2.9861005375887895,-1.691355389077393e-17,0.14121463036441537,141214633.75285667,0.07459697966410718,inherited_phase2
4,design_000199,199,support_random,2.5,10,256,136,34816,True,7,3.6497066816868275e-09,3.649706941418773e-09,2.6922059026546208e-09,10.90300061590782,0.0021302314033682826,-1.8965685244598567,-45.79452099862397,47.112742996239945,4.7174201469430646,0.0011512404214851157,-2.938833970183554,-1.0842021724855086e-17,0.14196182900358723,141961831.54274046,0.030038988758028812,inherited_phase2
4,design_000199,199,support_random,2.5,10,512,272,139264,True,7,3.6500589771244742e-09,3.6500581248471006e-09,2.69246058781647e-09,10.902993549388238,0.0021302314676532046,-1.8965723260875076,-45.79451246188395,47.11273321603845,4.717420058306109,0.0011512382026063763,-2.9388348072352275,4.336808689941975e-19,0.14196189889123625,141961899.82967007,0.008480898280754393,inherited_phase2
5,design_000205,205,support_random,2.5,10,128,68,8704,True,65,3.4957896199586248e-09,3.4957894288562753e-09,2.8843134547429372e-09,-29745523.946414873,5419.335304895047,111.95303396639027,-3.503086230799918,29745524.440299947,29.09221182647999,6.473886030680447e-129,-128.18883495038946,1.0975199827066766e-14,0.03870920763874432,3232447741811.657,0.05942141740508511,high_dynamic_range_retry
5,design_000205,205,support_random,2.5,10,256,136,34816,True,63,1.0889734115498144e-09,1.0889736649276632e-09,8.702546461236693e-10,-28106305.320507303,5319.666875127024,125.37517801577798,-3.4775322857036035,28106305.82421254,29.083659917664782,1.07060267450395e-133,-132.97037167602744,8.125284978273394e-15,0.038790981310352364,4250933686203.962,0.03292223395524398,high_dynamic_range_retry
5,design_000205,205,support_random,2.5,10,512,272,139264,True,64,2.7950658607367546e-10,2.7950482015828833e-10,2.235454044097196e-10,-28117313.183556113,5320.400908087254,125.21787057438006,-3.476873246829298,28117313.687202338,29.083581378172358,1.6719594504509566e-133,-132.77677425958774,8.050499250366231e-15,0.038785710684312864,4285477476034.7485,0.00818754189398713,high_dynamic_range_retry
6,design_000215,215,support_random,2.5,10,128,68,8704,True,40,1.0739495952862392e-13,1.067655161193973e-13,9.131584377541913e-14,210.72334418454994,239.02766358378722,-27.528984186414828,23.943864338926307,320.73307492751854,21.882460875652384,9.223093770467603e-48,-47.035123375901996,9.731317599529269e-06,0.02915578633388595,2995.770230031966,0.08398648379513098,inherited_phase2
6,design_000215,215,support_random,2.5,10,256,136,34816,True,40,2.008648513540116e-13,2.0054882586356898e-13,1.7319479184152442e-13,210.00476165086985,238.97469307229565,-27.524933653789386,23.859244128558043,320.21522347956574,21.883941396155137,1.2230166300329321e-47,-46.91256763758151,9.535199337933161e-06,0.02921340789932008,3063.422634541077,0.021246709975589823,inherited_phase2
