design_index,design_id,rank,validation_risk,bootstrap_SE,bootstrap_CI_low,bootstrap_CI_high,bootstrap_rank_median,bootstrap_rank_CI_low,bootstrap_rank_CI_high,near_optimal,maximum_KL,integrated_KL_uniform,minimum_intrinsic_ESS,minimum_log10_intrinsic_ess,maximum_lambda_norm,maximum_covariance_condition,maximum_projection_residual,sensor_1_x_km,sensor_1_y_km,sensor_2_x_km,sensor_2_y_km,sensor_3_x_km,sensor_3_y_km,sensor_4_x_km,sensor_4_y_km
398,design_000398,390,0.02774135499047804,0.01715008024576513,0.010185593093192872,0.07637344362759668,387.5,82.85000000000007,436.525,False,23.327481243535225,1.8680587483315858,0.0,-6671.9392284717915,16918.712150805994,4618706.598303704,9.78095270796519e-09,479.1795657250576,-551.5797868028845,422.80095811872076,-191.47078763228689,510.95286410634867,222.37940431478285,737.4632447131866,557.5184080055317
467,design_000467,391,0.02779547896229398,0.013011908297418861,0.016312991427163276,0.06669061758637715,383.0,295.475,419.525,False,7.34186982681956,0.8831754080586353,0.0,-617.2458983435863,209279326.80343542,8551923575183.888,9.923745157508481e-09,1419.4105854559427,-381.6839074060598,995.1810819906077,-585.9276951090061,1790.5640741350792,20.937320123683662,931.0645097897072,219.905204835326
317,design_000317,392,0.027922915522232573,0.01146341952099918,0.019022630768435207,0.06120630059510288,388.0,296.95000000000005,453.525,False,5.936096286385078,0.7274970098195045,0.0,-3700.462679828654,8895.111580389113,37023147761502.69,9.21657253212898e-09,-108.25494428156233,214.12824843009847,113.4737135744057,-13.605254793459387,365.3381148207813,-163.55523955280054,1449.5434603703723,52.03152268203192
457,design_000457,393,0.02798177884751536,0.016813934347159807,0.011023167450054917,0.07644848503655033,389.0,111.27500000000009,440.525,False,31.86434759464058,2.4860355922939856,0.0,-395.34353393614646,8940.29755520475,12254.468380479206,6.239559422291818e-09,578.2432927758215,345.4145888897651,613.074524529162,33.03509318908618,743.1370880531736,-223.14897283826195,499.13072923772756,-486.5913958177397
371,design_000371,394,0.028061370857337987,0.014662477298014662,0.013799550315778614,0.07005070124357878,390.0,220.0,412.0,False,15.027367195848184,1.6318787587288137,0.0,-648.1226688835053,1000000.0,1125490.4135140835,7.494989931705694e-09,927.9751718615479,-531.7000910218029,904.8299384977538,-119.93879635275076,1067.5900790342998,168.48198155835595,948.3873651584631,501.2779557645235
383,design_000383,395,0.02809329681692709,0.012883628525503657,0.016765877793645585,0.06704880030030587,389.0,309.95000000000005,424.525,False,3.73176864149402,0.718321280744623,0.0,-2648.8812004365645,2275531.4322345443,7410962.43978096,8.551396381518144e-09,985.7280757596725,-573.6961364533242,1259.8023625297733,-177.22415012644927,1133.8034039327515,313.2190223275686,735.9818176926641,474.2404680978802
355,design_000355,396,0.028164806043102703,0.01465708674723896,0.014189688542689786,0.07145579266981762,393.0,223.95000000000002,406.0,False,7.897743768630277,1.1719096741926947,0.0,-16424.944015202927,365501.4223256473,11770174.04692323,8.691098330833304e-09,772.2329737027885,-424.9750568751331,1065.818039415442,-202.44350805790322,931.2497636032829,213.12840100641188,852.6586987642526,525.0199806942601
136,design_000136,397,0.028382935139416803,0.013907349857213161,0.015543466151241296,0.07030678516766671,392.0,269.475,417.525,False,11.747582541346734,1.1485062325077553,0.0,-14823.10816349125,1246842.3085433769,30477070656738.723,6.8643086303641445e-09,109.94236314352965,-373.57537485174805,814.8287467891441,398.9531980182343,-32.043984676002985,312.90855250341724,1074.4084255468654,455.4136606763983
502,design_000502,398,0.028665661006651934,0.011429798956838669,0.019771055405563093,0.0639259873209033,395.0,312.0,475.525,False,2.900381358944188,0.48433336311227376,0.0,-5348.045097868745,74607.63286803232,39413164519284.47,7.533529984583965e-09,1534.6269072187556,-560.3816933944032,1756.6913341133823,649.9538144128439,77.28564384902143,-241.50445950517837,690.898378557988,511.7514566819991
453,design_000453,399,0.028738709832594078,0.012723388293368857,0.01865819785629129,0.06740638048959793,395.0,337.0,451.04999999999995,False,5.932652807656829,0.5164041514104794,0.0,-581.5733713488208,12201.348062125264,741785169.5175277,2.56979996020021e-09,733.5678353469598,-517.86178293937,-25.692761041729057,394.4181274747325,-319.45853878846594,149.81794646747937,-10.5365505424179,-390.99389881160016
