design_index,design_id,style,day,source_time_index,grid_nx,grid_ny,domain_moment_feasible,domain_feasibility_basis,converged,iterations,reported_residual,verified_l2_residual,verified_linf_residual,lambda_0,lambda_1,lambda_2,lambda_3,lambda_norm,kl_divergence,intrinsic_ess,log10_intrinsic_ess,covariance_min_eigenvalue,covariance_max_eigenvalue,covariance_condition_regularized,maximum_quadrature_weight,usable,zero_start_retry_performed,trajectory_warm_start_verified_l2_residual,trajectory_warm_start_converged,solver_initialization
75,design_000075,support_random,37.5,150,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,8.11936341436447e-12,8.119319125245825e-12,7.88195897438726e-12,-1.0441579521819688,0.18274631827769325,-0.11565586768736821,-0.8196684923529831,1.3449515839001882,0.05072138995395054,0.9138285963860129,-0.03913525571527958,0.023081910795827602,0.06867071643671567,2.9750880264699293,6.056103533860714e-05,True,,,,
75,design_000075,support_random,40.0,160,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,1.0174048357301028e-13,1.0313662762303411e-13,9.332812300755222e-14,-0.7759926080939137,0.4296249305691366,0.15303420494164927,-0.6550285172892617,1.1132043546120456,0.0411624180455856,0.9262367533999952,-0.03327799004249254,0.023625337164754026,0.06965192260855328,2.9481874532763523,5.77102206622826e-05,True,,,,
75,design_000075,support_random,42.5,170,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,1.1479346700227668e-12,1.1498511671962994e-12,1.1129985821867194e-12,-0.7378129387149818,0.46101834888360926,0.3290553342003417,-0.4575204949982887,1.0365849057611174,0.036829467696830015,0.9326807028091392,-0.030267008709649833,0.024657152639127572,0.06646073523258561,2.695393754716013,5.2750275799228726e-05,True,,,,
75,design_000075,support_random,45.0,180,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,3,9.140684402024533e-11,9.140958047634938e-11,8.824976860388745e-11,-0.6120781421319907,0.5627207800897014,0.6373327519067011,-0.3163392296642597,1.0943298740773082,0.03902477296588363,0.9250495784674888,-0.03383499042005742,0.025235914118020532,0.06572361636394347,2.604368363934547,5.018093720552421e-05,True,,,,
74,design_000074,support_random,0.0,0,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,66,9.945983076029627e-09,9.945982229494876e-09,8.178437260752958e-09,-1.4796428059143207,-18455132.46273472,-1.4659087301566425,2.6740222489878547,18455132.46273503,0.004762778079627444,0.9909676373527445,-0.003940528308489009,8.650844293822708e-18,0.035481309688117836,35176998947500.047,0.011928751034211992,True,,,,
74,design_000074,support_random,2.5,10,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,40,8.104561262018911e-11,8.104623525503705e-11,5.97872308979357e-11,-36.83247771423625,4458.032115801762,-17.259143072121585,7.764382884824894,4458.2244381138635,5.4438341873587515,0.0,-1825.4011271614665,2.2508032923568957e-05,0.13151137134569377,5842.863824947656,0.01195098647628842,True,,,,
74,design_000074,support_random,5.0,20,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,30,1.6699833178310088e-12,1.6699145791273406e-12,1.3646171866110723e-12,-13.59598092335158,647.941917663831,-2.369329227806144,-3.1816824909430093,648.096687375899,4.143664314731869,2.4649658602146037e-260,-259.6081890913251,0.0020019037400937803,0.11368885685619026,56.79037137460398,0.0031202686585380004,True,,,,
74,design_000074,support_random,7.5,30,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,21,7.962187592297227e-09,7.962188232449618e-09,5.577206585449801e-09,-6.0390276551784465,140.35370332901172,-1.2196486477091786,-4.876393926987965,140.57346354751053,3.936160028522739,5.344478340564618e-55,-54.27209467864425,0.010682983614105114,0.08299171945796278,7.768589979711209,0.0010929641495836212,True,,,,
74,design_000074,support_random,10.0,40,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,19,2.7755530235225684e-13,2.799735087122044e-13,2.708111512816913e-13,-3.0012669932634655,35.69520895095843,-0.6141243873643362,-3.2620654067681913,35.974626684631836,2.1371458725866113,3.8594245694658006e-12,-11.41347744272073,0.010478766635698132,0.10686493470589993,10.198235958593903,0.00041593969782447,True,,,,
74,design_000074,support_random,12.5,50,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,10,4.2223066205494756e-14,4.251458426280666e-14,3.236300116782331e-14,-2.03955986841014,7.802198260749686,-0.47297607556467747,-2.5641457345994425,8.475414554651335,0.9127155805582583,0.03422428592586105,-1.4656656044560157,0.011838821956910711,0.11011647926715537,9.301303767210424,0.00036766750549792516,True,,,,
74,design_000074,support_random,15.0,60,512,272,True,empirical target is a convex combination of Phi at strictly interior observations,True,7,4.207132801866295e-14,4.446374777064827e-14,4.4075854077618715e-14,-1.5937648421460462,3.0221476856934624,-0.1884623683446676,-2.142966795269268,4.037485325807622,0.5680934886773777,0.23993871812852735,-0.6198996656928629,0.026420895190746498,0.11599202434663027,4.390162540262877,0.0002871001793229539,True,,,,
