design_index,design_id,dense_target_range_valid,dense_target_joint_feasible,domain_grid_hull_maximum_violation,domain_grid_worst_target_lp_linf_residual,domain_grid_resolution,minimum_smoothed_moment,maximum_smoothed_moment,minimum_raw_moment,classification,failure_reason,dense_projection_valid,multiplier_dynamics_valid,tangent_action_valid,full_action_valid,gram_rank_constant,gram_rank_values,tangent_rank_sensitivity_valid,maximum_relative_tangent_rank_action_change,tangent_rank_tolerance_actions,maximum_moment_residual,maximum_soft_projection_stationarity_residual,minimum_covariance_eigenvalue,maximum_covariance_condition,maximum_gram_compatibility_residual,tangent_action,bandwidth_sensitivity_valid
192,design_000192,True,True,-0.001523991543525732,5.551115123125783e-17,128x68,0.0033397943457349655,0.6228626066948547,0.0008773852583698713,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:799560.19298740348;1e-12:799560.19298740348;1e-14:799560.19298740348,0.05561472466332176,9.967783858115943e-10,2.5215660890735924e-05,1500.2643639732773,1.4033003187731804e-15,799560.1929874035,True
161,design_000161,True,True,-3.775863018184001e-07,1.1102230246251565e-16,128x68,4.903906626037407e-07,0.6793974711409477,2.0407910295013923e-08,pending_dense_projection,tangent action is rank-cutoff sensitive,True,True,False,False,False,3;4,False,0.10699568640309084,1e-10:1908857.5203167663;1e-12:2096338.5355031041;1e-14:2113097.0409487607,0.0677355021856448,9.229202533731839e-10,2.500000041517809e-05,3783.7521583129405,4.284350676395897e-05,nan,False
59,design_000059,True,True,-6.406881068960143e-09,4.907613257976455e-10,128x68,6.865105426698371e-10,0.8887080011483398,3.2725124779687633e-12,pending_dense_projection,,True,True,True,False,False,3;4,True,0.02822980804392355,1e-10:1799677.9103016483;1e-12:1806171.012009162;1e-14:1850482.4722503533,0.06860717564774228,9.906551405469238e-10,2.5000000000014153e-05,4230.179911991712,1.6402098171280512e-06,1799677.9103016483,True
322,design_000322,True,True,-2.372119568478104e-07,9.71445146547012e-17,128x68,2.6615028285369423e-07,0.8551560050230017,7.439674199936882e-09,pending_dense_projection,,True,True,True,False,False,3;4,True,0.006982400092148757,1e-10:1295091.218108454;1e-12:1295157.2875143576;1e-14:1304134.0631491155,0.037338303765120644,9.106662446671593e-10,2.500000019340392e-05,4476.707813403227,5.635337081876188e-07,1295091.218108454,True
223,design_000223,True,True,-2.0770828915036014e-08,5.303815913241009e-19,128x68,1.6503453067004708e-08,0.8624988040634837,2.0321289238319512e-10,pending_dense_projection,,True,True,True,False,False,3;4,True,0.014572904543709925,1e-10:1147843.8645748121;1e-12:1155993.4926930873;1e-14:1164571.283644344,0.05441011699187593,9.798212911374364e-10,2.500000000231736e-05,3113.5046558819668,1.2780307520197099e-06,1147843.8645748121,True
276,design_000276,True,True,-5.935192835627587e-09,2.5822262082317096e-10,128x68,5.615563446952718e-11,0.3459135209552441,1.4446825364130082e-13,pending_dense_projection,tangent action is rank-cutoff sensitive,True,True,False,False,False,3;4,False,0.6327249580441348,1e-10:855723.55755627144;1e-12:1397161.209608441;1e-14:1397161.209608441,0.028078156477893874,9.808246379811577e-10,2.5000000000000133e-05,2508.3190992613104,1.6126518767979035e-05,nan,False
270,design_000270,True,True,-6.033976051543221e-10,4.660852291027572e-11,128x68,5.1676207171464864e-11,0.837476670788646,1.1681746891455869e-13,pending_dense_projection,,True,True,True,False,False,3;4,True,0.00011116413578574605,1e-10:781440.27827647503;1e-12:781451.23831542931;1e-14:781527.14640967781,0.04693189159302248,9.156258747250349e-10,2.5000000000000188e-05,3928.9893735702162,6.992802095051046e-08,781440.278276475,False
342,design_000342,True,True,-6.280651061901964e-08,1.3305066400159593e-12,128x68,9.044585764336505e-09,0.8454138348577769,1.0225789203014058e-10,pending_dense_projection,,True,True,True,False,False,3;4,True,0.023171953510409078,1e-10:867388.11562010064;1e-12:880328.8576392543;1e-14:887487.19271073095,0.05061968147325167,9.75014885182688e-10,2.5000000001079812e-05,4044.1046040804504,9.78673452346428e-07,867388.1156201006,False
13,design_000013,True,True,-6.023922309196867e-09,2.836359135691822e-12,128x68,2.9055334988672085e-12,0.2584262621964837,5.579855537665792e-15,pending_dense_projection,,True,True,True,False,False,2;3;4,True,0.00793682831017232,1e-10:1403224.9549244193;1e-12:1405685.3575616011;1e-14:1414362.1104722037,0.03908919594234804,9.994052340848048e-10,2.4999999999999998e-05,3566.522947915383,3.362128839383336e-06,1403224.9549244193,True
38,design_000038,True,True,-0.001285790940191405,1.1102230246251565e-16,128x68,0.00215615400330142,0.7458486385644375,0.0005174736923287047,pending_dense_projection,,True,True,True,False,True,4,True,0.0,1e-10:957378.15733806335;1e-12:957378.15733806335;1e-14:957378.15733806335,0.052046431380355876,9.596616766914523e-10,2.5111306614498474e-05,1804.2976155514557,1.4633396859674591e-15,957378.1573380633,True
