design_index,design_id,nominal_bandwidth_days,nominal_tangent_action,bandwidth_sensitivity_evaluable,low_bandwidth_days,low_multiplier_dynamics_valid,low_tangent_action_valid,low_tangent_action,low_relative_lambda_change,low_relative_lambda_dot_change,low_relative_tangent_action_change,high_bandwidth_days,high_multiplier_dynamics_valid,high_tangent_action_valid,high_tangent_action,high_relative_lambda_change,high_relative_lambda_dot_change,high_relative_tangent_action_change,bandwidth_sensitivity_valid,not_evaluable_reason
161,design_000161,0.75,nan,False,0.5,,,,,,,1.0,,,,,,,False,nominal multiplier/tangent readiness failed
59,design_000059,0.75,1799677.9103016483,True,0.5,True,True,1875823.1291232707,0.13104320100383016,0.33320076358529244,0.04231047032680395,1.0,True,True,1772391.8369094967,0.1382773859466472,0.28970945229329964,0.015161642667258241,True,
322,design_000322,0.75,1295091.218108454,True,0.5,True,True,1265998.13452777,0.17653658118658122,0.46831166172279914,0.022464119263487733,1.0,True,True,1386293.1189151464,0.16185918587352663,0.3467235254814885,0.07042121785050585,True,
223,design_000223,0.75,1147843.8645748121,True,0.5,True,True,1243013.3675843403,0.17825463543553968,0.3796715691889115,0.08291154045134974,1.0,True,True,1099621.584313086,0.15094760132725085,0.31841659263574573,0.04201118440406419,True,
276,design_000276,0.75,nan,False,0.5,,,,,,,1.0,,,,,,,False,nominal multiplier/tangent readiness failed
270,design_000270,0.75,781440.278276475,True,0.5,True,True,830453.8541398584,0.24251060257318355,0.6349572419600961,0.06272210074899962,1.0,True,True,748635.1644029261,0.17062485491077026,0.4353841755899925,0.04198032119089517,False,
342,design_000342,0.75,867388.1156201006,True,0.5,True,True,922276.7509503773,0.20327991825856148,0.5682322538803083,0.06328036359022107,1.0,True,True,833326.5506603073,0.11824137994705143,0.2825169963958947,0.039269116496301715,False,
13,design_000013,0.75,1403224.9549244193,True,0.5,True,True,1422435.0639182492,0.14454499247167493,0.32598321242236566,0.013689971038795148,1.0,True,True,1416025.8421879923,0.14451004460996172,0.28136259064672203,0.009122476919078517,True,
38,design_000038,0.75,957378.1573380633,True,0.5,True,True,1073951.6086474191,0.09411826864034077,0.25115144955520297,0.12176322429736833,1.0,True,True,925908.766430031,0.11497376172836665,0.20837549792216434,0.03287038738749921,True,
83,design_000083,0.75,881112.0587124347,True,0.5,True,True,957217.9451483092,0.21310132193904902,0.46290064699163563,0.0863748097456386,1.0,True,True,831336.8848989266,0.16082879711800488,0.29094418286614143,0.05649130927369712,True,
292,design_000292,0.75,843701.9901252383,True,0.5,True,True,880514.7807429533,0.19767748277509198,0.44134817839713447,0.043632456778074605,1.0,True,True,844959.5400450708,0.10110989489085906,0.25082828298780746,0.0014905143457654146,True,
325,design_000325,0.75,1497967.045405422,True,0.5,True,True,1741166.6554458747,0.08499225258353499,0.16937716765209754,0.1623531110289753,1.0,True,True,1272906.4698742786,0.10571323588568943,0.2714934487720786,0.15024400985418956,True,
251,design_000251,0.75,901084.5227438093,True,0.5,True,True,1036700.0228908415,0.10611717101717413,0.18019648158795618,0.1505025297006345,1.0,True,True,829517.1910283121,0.11884105343062851,0.16349992617942388,0.07942355007671657,True,
74,design_000074,0.75,1199753.5021963578,True,0.5,True,True,1377063.3942245273,0.08917399603528817,0.2376574046793764,0.14778860132816685,1.0,True,True,1108511.1625082756,0.10794871629966303,0.2685742022836467,0.07605090505761994,True,
272,design_000272,0.75,1006315.4490886829,True,0.5,True,True,1224409.4628985825,0.17063859707556597,0.46386079823344606,0.21672529623529585,1.0,True,True,989796.5765604639,0.14877752403158498,0.3238453146129761,0.01641520314845456,False,
286,design_000286,0.75,944573.8427524369,True,0.5,True,True,1015502.6075056663,0.13299027988060458,0.2819581249936658,0.07509075685024993,1.0,True,True,924165.2924515388,0.13731973415314114,0.24992665517579604,0.02160609300955087,True,
202,design_000202,0.75,1573551.0518619933,True,0.5,True,False,nan,0.07035949637191649,0.14117652440883446,inf,1.0,True,True,1316977.5023491892,0.08969471972514773,0.2710165272228748,0.1630538451289514,False,
