design_index,design_id,production_time_count,valid_time_count,solver_success_time_count,rank_sensitivity_valid_time_count,pointwise_tangent_full_valid_time_count,adaptive_required_time_count,adaptive_valid_time_count,canonical_tangent_action,production_grid_tangent_action,production_full_action,integrated_tangent_full_inequality_valid,full_action_valid,density_modified,operator_floor,final_test_accessed,production_full_action_optimum,production_full_action_rank
31,design_000031,181,177,181,177,181,10,10,1826078.369716517,1825699.3714364446,4610728.594257967,True,False,False,0.0,False,False,
343,design_000343,181,167,181,167,181,10,10,1146764.696375618,1148971.7119610668,10177553.455493618,True,False,False,0.0,False,False,
326,design_000326,181,176,181,176,181,10,10,1122927.5919394228,1121450.7505392556,7812995.9471616885,True,False,False,0.0,False,False,
85,design_000085,181,171,181,171,181,10,10,2609984.22881771,2611472.509871966,15652078.911455948,True,False,False,0.0,False,False,
105,design_000105,181,180,181,180,181,10,10,714139.4526541096,714221.3543107111,4288978.2080180375,True,False,False,0.0,False,False,
176,design_000176,181,174,181,174,181,10,10,678942.4087522114,679671.9626125274,2462532.4904537913,True,False,False,0.0,False,False,
55,design_000055,181,171,181,171,181,10,10,1295208.7755866044,1295345.99044616,7476873.672947701,True,False,False,0.0,False,False,
500,design_000500,181,175,181,176,180,10,10,1933565.8933394544,1933485.0829988075,7316173.067941509,True,False,False,0.0,False,False,
331,design_000331,181,172,181,172,181,10,10,964285.7910845345,964356.0416674335,8907847.609804975,True,False,False,0.0,False,False,
162,design_000162,181,169,181,169,181,10,10,1137095.8362640457,1140237.9267909923,19636989.316550884,True,False,False,0.0,False,False,
329,design_000329,181,161,181,161,181,10,10,1141507.4781756478,1141501.0867861146,9861988.823252216,True,False,False,0.0,False,False,
0,design_000000,181,176,181,177,180,10,10,1350562.0607538049,1350443.4126174306,3353083.145126072,True,False,False,0.0,False,False,
192,design_000192,181,176,181,176,181,10,10,799560.1929874035,799582.0519691212,2039168.9301795932,True,False,False,0.0,False,False,
59,design_000059,181,175,181,175,181,10,10,1799677.9103016483,1799711.906190508,9449317.298731158,True,False,False,0.0,False,False,
322,design_000322,181,172,181,172,181,10,10,1295091.218108454,1295425.4002749992,18482948.199351292,True,False,False,0.0,False,False,
223,design_000223,181,171,181,171,181,10,10,1147843.8645748121,1147862.019822144,9443437.07891599,True,False,False,0.0,False,False,
270,design_000270,181,178,181,178,181,10,10,781440.278276475,781678.9930994941,3002715.9079685686,True,False,False,0.0,False,False,
342,design_000342,181,169,181,169,181,10,10,867388.1156201006,867721.4844149041,19372794.07800337,True,False,False,0.0,False,False,
13,design_000013,181,178,181,178,181,10,10,1403224.9549244193,1403087.8635352936,4739076.184911564,True,False,False,0.0,False,False,
38,design_000038,181,180,181,180,181,10,10,957378.1573380633,957395.7725565926,2249276.288838248,True,False,False,0.0,False,False,
83,design_000083,181,170,181,172,179,10,10,881112.0587124347,881334.1320375095,2412277.7023807247,True,False,False,0.0,False,False,
292,design_000292,181,171,181,171,181,10,10,843701.9901252383,842724.3538337611,3239660.353947804,True,False,False,0.0,False,False,
325,design_000325,181,173,181,174,180,10,10,1497967.045405422,1497987.8244465557,4136441.697605383,True,False,False,0.0,False,False,
251,design_000251,181,174,181,174,181,10,10,901084.5227438093,902521.5394118145,8620117.08623007,True,False,False,0.0,False,False,
74,design_000074,181,180,181,180,181,10,10,1199753.5021963578,1199658.6266895311,7317660.96962359,True,False,False,0.0,False,False,
272,design_000272,181,167,181,167,181,10,10,1006315.4490886829,1005840.5135193355,48046708.53773811,True,False,False,0.0,False,False,
286,design_000286,181,181,181,181,181,10,10,944573.8427524369,944581.3379481038,1598682.3978380626,True,True,False,0.0,False,False,2
202,design_000202,181,177,181,177,181,10,10,1573551.0518619933,1573589.006390742,3830981.618765502,True,False,False,0.0,False,False,
430,design_000430,181,161,181,161,181,10,10,946170.2818195058,954211.8944817219,13868795.978790341,True,False,False,0.0,False,False,
65,design_000065,181,172,181,172,181,10,10,790157.8315319226,790144.3959639271,7608948.279948878,True,False,False,0.0,False,False,
330,design_000330,181,181,181,181,181,10,10,644030.8636253588,643933.5939747599,1505062.3803363282,True,True,False,0.0,False,True,1
221,design_000221,181,172,181,172,181,10,10,930132.6983350175,930436.2925761912,5143871.755654923,True,False,False,0.0,False,False,
32,design_000032,181,170,181,170,181,10,10,5811040.317541724,5811025.632021164,23290834.399985388,True,False,False,0.0,False,False,
168,design_000168,181,172,181,172,181,10,10,1063048.5067146055,1066129.9640454715,2667696.5927907447,True,False,False,0.0,False,False,
435,design_000435,181,170,181,170,181,10,10,936458.6265739356,937784.7636257303,2264436.701387246,True,False,False,0.0,False,False,
126,design_000126,181,175,181,175,181,10,10,829214.4133621934,826182.0833249321,2776186.967669947,True,False,False,0.0,False,False,
449,design_000449,181,180,181,180,181,10,10,878210.6192412835,881320.6905227442,2649289.3658233723,True,False,False,0.0,False,False,
12,design_000012,181,179,181,179,181,10,10,1313326.6570432961,1313309.5408896033,2564227.038060036,True,False,False,0.0,False,False,
236,design_000236,181,170,181,170,181,10,10,1085423.1650233697,1090099.9866914782,5861665.86654242,True,False,False,0.0,False,False,
