panel_label,design_index,design_id,source_time_index,day,grid_nx,grid_ny,dx_km,formulation,converged,scientifically_valid,action,weak_action,action_identity_relative_error,tangent_action,tangent_lower_bound,direct_ritz_action,direct_ritz_qr_svd_status,direct_ritz_certification_status,scaled_relative_residual,original_conservative_relative_residual,score_form_relative_residual,weighted_mean_potential,iteration_count,solve_seconds,preconditioner,solver_error,minimum_log_q_mass,maximum_log_q_mass,log_q_range,minimum_log_face_conductance,maximum_log_face_conductance,log_conductance_range,minimum_scaled_log_coefficient,genuine_scaled_conductance_underflow_count,genuine_scaled_rhs_underflow_count,score_magnitude_median,score_magnitude_p95,score_magnitude_maximum,centered_cell_peclet_maximum,centered_cell_peclet_above_one_fraction,projected_multiplier_recovery_max_abs_error,reference_log_density_centered_max_abs_error,reference_log_density_centered_rms_error,density_modified,operator_regularized,precision,production_run,final_test_accessed
day_zero_fixed_subset,329,design_000329,0,0.0,219,117,16.666666666666668,analytic_score_centered_difference,0,0,372140.1160423523,260430.87916470884,0.3001805826946378,57593.64655377758,1,335762.01429996983,fail,unresolved,0.08584404431379729,3.150096477038249,0.0012673115727116736,-2.925168155819456e-11,4,0.017907113000546815,SuperLU ILU of centered score operator,,-298861.2007018664,-2.659062158530695,298858.54163970787,,,,,0,0,78.86401461812565,185.63764716936944,196.67272586735965,1638.9393822279972,0.9983998751122038,2.4861890324245906e-11,2.710294211283326e-10,4.3792254713607384e-11,0,0,float64,0,0
median_rank_failure,329,design_000329,16,4.0,219,117,16.666666666666668,log_row_scaled_conservative_fv,0,0,,,Infinity,1583710.0216612709,0,10482631.105742266,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-232034.68392934572,-4.545704266426442,232030.13822507928,-227886.45894019966,-10.243187645935949,227876.21575255372,-56192.949540658796,12152,4312,,,,,,6.1661786787681194e-12,6.984208766880329e-10,5.685343183992395e-11,0,0,float64,0,0
median_rank_failure,329,design_000329,16,4.0,219,117,16.666666666666668,analytic_score_centered_difference,0,0,3570.911582028794,-118440.52792610144,1.030149406158142,1583710.0216612709,0,10482631.105742266,pass,certified,11.838919584866597,1.018848599951325,0.9770320634416505,2.885307386562717e-14,2000,47.202293133996136,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-232034.68392934572,-4.545704266426442,232030.13822507928,,,,,0,0,6.490712682410628,264.06965197652994,5080.719950286111,42339.33291905093,0.9648753073410608,6.1661786787681194e-12,6.984208766880329e-10,5.685343183992395e-11,0,0,float64,0,0
day_zero_fixed_subset,121,design_000121,0,0.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,1073315.641690601,0,1458873.4157182274,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-299781.2100306986,-4.733652632832187,299776.47637806577,-299777.8199743256,-8.667063694865181,299769.15291063074,-1405.330761157209,162921,54054,,,,,,1.8059664874670034e-11,2.764863893389702e-10,4.016482654508929e-11,0,0,float64,0,0
day_zero_fixed_subset,121,design_000121,0,0.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,1526265.4455237344,1533445.4662955855,0.004682279826485235,1073315.641690601,1,1458873.4157182274,fail,unresolved,0.00039229702351804835,0.24553820350614153,2.3784017379477755e-06,6.259134366346486e-11,5,0.0907117009992362,SuperLU ILU of centered score operator,,-299781.2100306986,-4.733652632832187,299776.47637806577,,,,,0,0,78.86878573436667,185.27394579516582,196.98184144135442,703.5065765762658,0.9956273341791932,1.8059664874670034e-11,2.764863893389702e-10,4.016482654508929e-11,0,0,float64,0,0
maximum_lower_bound_failure,121,design_000121,34,8.5,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,29489416.792851787,0,182023149.7019083,pass,certified,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-84061.25127945669,-7.3428632261476645,84053.90841623054,-81035.51764848524,-11.278179823709603,81024.23946866153,-27772.532909478294,9422,3383,,,,,,3.61621843580906e-12,3.6726461871694482e-09,1.4155498412660415e-10,0,0,float64,0,0
maximum_lower_bound_failure,121,design_000121,34,8.5,511,273,7.142857142857143,analytic_score_centered_difference,0,0,681.1765853623423,-55914.746451274266,1.0121824139175153,29489416.792851787,0,182023149.7019083,pass,certified,9.483642617478973,1.0211452273357304,1.0500183530865512,-6.234895024889946e-14,2000,69.4140787819997,diagonal (ILU unavailable: RuntimeError) of centered score operator,,-84061.25127945669,-7.3428632261476645,84053.90841623054,,,,,0,0,1.014720242683314,45.25705379619237,8953.878968522384,31978.13917329423,0.7209522375862885,3.61621843580906e-12,3.6726461871694482e-09,1.4155498412660415e-10,0,0,float64,0,0
day_zero_fixed_subset,218,design_000218,0,0.0,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,2446400.5017457614,0,5195397.680723635,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-299783.6527617747,-4.892766207605834,299778.7599955671,-299780.2627054017,-8.832672158303911,299771.4300332434,-1405.330761157209,162921,53927,,,,,,2.1866508603807233e-11,2.764863893389702e-10,4.016482654508929e-11,0,0,float64,0,0
day_zero_fixed_subset,218,design_000218,0,0.0,511,273,7.142857142857143,analytic_score_centered_difference,0,0,5454214.711879677,5462000.977517728,0.0014255335489868743,2446400.5017457614,1,5195397.680723635,fail,unresolved,0.012865062227213541,0.9345998536568603,0.00030274072214280494,-1.441925596274234e-10,5,0.08501158099898021,SuperLU ILU of centered score operator,,-299783.6527617747,-4.892766207605834,299778.7599955671,,,,,0,0,78.88505301891928,185.27394579516582,196.98184144135442,703.5065765762658,0.9955484828283263,2.1866508603807233e-11,2.764863893389702e-10,4.016482654508929e-11,0,0,float64,0,0
requested_day_0.25_control,218,design_000218,1,0.25,511,273,7.142857142857143,log_row_scaled_conservative_fv,0,0,,,Infinity,3619788.696440696,0,8334476.39764948,fail,unresolved,Infinity,Infinity,,,0,0.0,not attempted,genuine float64 underflow remains after exact relative row scaling,-299470.65685432893,-4.739178428927454,299465.9176759,-299468.107256156,-8.681316149212547,299459.4259400068,-1933.5722656419384,145220,48453,,,,,,2.176880897764022e-11,3.7834979593753815e-10,4.330578967909019e-11,0,0,float64,0,0
