near_optimal_rank,design_index,design_id,style,validation_risk,risk_difference_from_best,bootstrap_risk_se,bootstrap_risk_ci_lower,bootstrap_risk_ci_upper,s1_x_km,s1_y_km,s2_x_km,s2_y_km,s3_x_km,s3_y_km,s4_x_km,s4_y_km
11,138,design_000138,support_random,0.007147611866613365,0.0016229030353823283,0.006906794303647123,0.005442267160826666,0.03296547123263051,297.48528639667154,10.12260677979178,-51.18487653817453,-209.12153076670103,503.9014956011337,-384.90398931163287,773.8076548372371,184.13757568537602
12,500,design_000500,uniform_control,0.007221901782351302,0.0016971929511202652,0.004866491688991555,0.00733310856681752,0.025928927612390844,69.32694596221631,-87.57652465352544,790.4352167877764,90.3600941064251,1480.7172181619876,188.14140703118937,-516.3822662371955,-29.278069430191977
13,14,design_000014,support_random,0.007230341025799387,0.0017056321945683505,0.005372544189743069,0.00686639994110198,0.027545367897337407,644.263836956921,361.3499911641745,1161.7222778423975,49.865369125579974,293.99691684209057,-64.20897225389822,-241.10481350036173,-109.67460254291822
14,325,design_000325,longitudinal_stratified,0.007450488529962988,0.0019257796987319515,0.005572358394947762,0.007009047980812033,0.029000857327935274,-162.7857492779902,8.381547174060387,284.10378939805236,499.0160048840279,714.3443889520439,48.37272753877144,1245.0691457864314,94.21329021213951
15,347,design_000347,longitudinal_stratified,0.007467360219800726,0.0019426513885696895,0.005689152423062761,0.00671542736347522,0.02906749884006559,-253.68689882435967,44.69806312137647,13.525896404408101,-114.03940407610824,451.3293733260867,-76.00742358389351,867.0774886716968,284.24790868508893
16,281,design_000281,longitudinal_stratified,0.007481824369076861,0.001957115537845824,0.005768175771594395,0.006876652474979545,0.030540838530945837,9.23049461034558,-73.3225522013582,2.4972664558728894,297.01182716105143,302.2075555523039,217.31819212280445,985.0899764138734,219.91236659876466
17,85,design_000085,support_random,0.0076058212033783094,0.0020811123721472726,0.005060407892559951,0.007127099385858807,0.026405081026194047,-48.36440288715949,-277.79723896361054,683.1910012144103,49.01158934022838,-20.220236375194474,59.17332527622784,912.809949124718,323.7337951836353
18,193,design_000193,support_random,0.00765316072774927,0.002128451896518233,0.00862076308902962,0.004793882755401385,0.03838239025928085,1250.1368287167886,36.985389723567536,484.37031341792175,378.7258957544207,782.9244851659654,36.700155384406386,595.9700176411934,-240.0458557400935
19,121,design_000121,support_random,0.007685997591355638,0.002161288760124601,0.007418474704767602,0.006139345309360166,0.03440141836501662,487.90466760400136,278.23583284255886,1362.8812712641147,45.04178222155025,209.2638023760258,266.63882640929455,845.5434761464949,144.03899281008339
20,241,design_000241,longitudinal_stratified,0.007746404805936105,0.0022216959747050685,0.006962935589936177,0.006586438199262349,0.03314788636331039,-135.47353120696079,-583.5819018868308,114.50726643447253,-22.465061161415207,550.7435029118179,282.6962815075983,1146.5461928244474,27.03838938612812
21,307,design_000307,longitudinal_stratified,0.007904024375449228,0.0023793155442181912,0.005909898214323597,0.0069856135627838975,0.030832374524143624,-46.24243368926736,-130.8326774811826,283.2981775528517,63.50269524555869,594.0034486609981,-393.0104768947821,912.056511337735,-9.012582934143538
22,312,design_000312,longitudinal_stratified,0.00791499882182469,0.0023902899905936525,0.0059573821474242766,0.007419554807878152,0.030852054214966396,-23.00300848279163,-317.520858325033,37.429636975991826,180.78666021490736,519.5175141034599,49.211105650136,831.6038074184944,550.0440691636926
23,182,design_000182,support_random,0.007954290083308519,0.0024295812520774823,0.005175486534876417,0.007869688105673886,0.028171820835325163,1325.7260636824508,88.44443653639964,750.7603741753419,28.930197576159372,340.27419049782225,222.30820547749266,-166.23851650547948,-184.48218420037546
24,205,design_000205,support_random,0.007978305817229837,0.0024535969859988006,0.007933660941831039,0.005672979801564097,0.03587771607969142,1297.963156542859,262.13397847378343,798.02972259143,49.53805907021436,641.1548135214219,-337.1274959934513,135.7734909125428,-167.4696576930724
25,218,design_000218,support_random,0.008002746249560483,0.0024780374183294464,0.006547116468478034,0.006395739310275111,0.03305869151530818,517.5133668729543,190.0646657115374,-68.93096273541235,-102.24729048609731,802.1730976831662,165.79917543029092,346.0203456183288,-337.6529796634454
26,202,design_000202,support_random,0.008104219941087546,0.002579511109856509,0.006342560469770406,0.006863017489081123,0.03149152014405564,1247.7277553792178,367.4996353370821,1113.5954446087608,-62.25839160818901,740.7128798364506,-4.896923072602348,-35.600961015422556,-258.40766338606807
27,245,design_000245,longitudinal_stratified,0.008162550944876956,0.0026378421136459187,0.0062830560656707765,0.006970447437494036,0.031605788462715466,-129.62839698127434,-180.73211045656342,169.82666246184382,-332.3880223294057,418.0014908344374,25.074689057087646,704.9489925867658,186.0584316963719
28,340,design_000340,longitudinal_stratified,0.008277989850220008,0.0027532810189889716,0.0053634827091141885,0.007519878112965628,0.02791043605028765,-96.61883681939986,-156.32881124399924,198.61521761865035,-93.91376187614073,643.6560948881964,-102.73443555313474,1092.8308601936883,94.80052081310293
29,55,design_000055,support_random,0.008308495188404038,0.002783786357173001,0.005504863817829004,0.007701442790798493,0.02917494453284716,566.0820302476546,192.3883438337708,1192.9554468823665,199.60160507835394,76.82599870445888,58.3798959092582,-255.78884745201486,-109.0576350295324
30,224,design_000224,longitudinal_stratified,0.008329299845628335,0.002804591014397298,0.007193957395596538,0.006452147295910771,0.03377582943511786,-335.24633210828813,212.04638806366634,91.98709985213287,-184.59232488875682,364.84923155971535,-96.29041254015158,907.387441573033,246.06727851970925
31,56,design_000056,support_random,0.00841426908574727,0.002889560254516234,0.005949453898896397,0.007410556518512446,0.03028654028715783,140.0430555381094,-125.53873423766807,345.31811201799474,70.05601277720818,-179.93437670033893,-189.16325128126658,729.9899195510037,132.88144503630093
32,252,design_000252,longitudinal_stratified,0.008536628806330385,0.0030119199750993485,0.006787110244261207,0.007387890667680433,0.03397403394298546,-131.15954531877838,56.002702937070744,144.7991075239547,-156.13148697043877,357.004114128309,163.90771123128326,933.0208251844628,120.86421945895759
33,88,design_000088,support_random,0.008603608370621914,0.003078899539390877,0.0064217205802322335,0.007329544905924748,0.03295850358003121,334.6271315536252,372.67242839355947,786.0425225858475,374.501016185359,-76.3474912570415,-55.531832909148804,358.4932010551553,-179.43338280690756
34,343,design_000343,longitudinal_stratified,0.008723056550400215,0.003198347719169178,0.004977169680122126,0.008592751330326769,0.02784386822935373,-35.04762777520074,-647.8830121496143,1.6028247009756171,-60.91650164678198,364.2134650079346,-133.66801530204907,1354.8653605344198,89.49165392182081
35,332,design_000332,longitudinal_stratified,0.008761912366883047,0.00323720353565201,0.005148117298747421,0.008482495604064602,0.028692374878662646,-188.0334950211684,-73.67484761977806,277.8686194611074,-129.79885149439966,582.2221883045103,349.5000319510057,1388.9801921976775,119.17065749723946
36,326,design_000326,longitudinal_stratified,0.008771475718719404,0.0032467668874883674,0.005261194090374791,0.009108107799025726,0.02961631920108232,-77.14640552853008,-21.754980113986846,172.578326866032,-128.33761565226857,463.32576358494606,176.5903323310961,1183.831640520401,232.4779310669274
37,59,design_000059,support_random,0.008807987105295598,0.0032832782740645616,0.006273182082243436,0.007718708465748525,0.03228378110770541,-34.764307789612545,-42.72575031244111,1338.7391790949816,277.60014743467553,388.61398767342035,-381.2311203771076,626.5431671043402,119.45349615834203
38,192,design_000192,support_random,0.008829544186419338,0.0033048353551883014,0.006465757236748365,0.007776228043442611,0.03371582552707365,641.2179588404421,141.0264204615432,-345.08453387650457,-268.0953235655889,16.26785093774626,-374.9214347509183,174.07206558205596,84.68499759525552
39,31,design_000031,support_random,0.008834426306788297,0.0033097174755572605,0.00464743048687179,0.009156601885203225,0.0267850994688444,-51.15697421243926,-80.44634461891664,518.6581710568158,212.62531157262885,1236.089798472578,150.25788853187854,1541.3084138133058,144.90602767131116
