seed,method,resample,generation_seed,oracle_seed,mmd2,maximum_moment_error,generated_q4_change,generation_minus_tv,generation_plus_tv,oracle_minus_tv,oracle_plus_tv
401,fiber_aware,17,40140017,40150017,0.017869234474634954,0.022458368369241952,0.6258068961582188,0.3798693493743294,0.3726996295868379,0.1117012324986397,0.08698845728134375
401,fiber_aware,18,40140018,40150018,0.009294052939929853,0.016162398012307365,0.6049782614485817,0.4411389718711002,0.3428469746255457,0.10443138173347011,0.09849230041820747
401,fiber_aware,19,40140019,40150019,0.011648648938359374,0.021354244878368737,0.6192750674193965,0.43695034589065396,0.41855244340407316,0.0982926118666961,0.08418690134842022
402,geometric_sinkhorn,0,34402,35402,0.011858466063250028,0.0169072242409802,0.5891717005876687,0.4298175075977819,0.3239706633238624,0.11560795298379328,0.08836106585156706
402,geometric_sinkhorn,1,40240001,40250001,0.010173344285552693,0.014583048262664178,0.5995276263641753,0.37298217006197476,0.4077580163183723,0.08171621826713446,0.09553930739563864
402,geometric_sinkhorn,2,40240002,40250002,0.00827009702890022,0.011273650404113471,0.6018063636433776,0.34739324185828346,0.34345343133434314,0.08547558519329759,0.08658891259304533
402,geometric_sinkhorn,3,40240003,40250003,0.00952976918817372,0.017869592797125997,0.6137060040661949,0.43342581967370875,0.42240026565621425,0.11573594914623632,0.11813985735691712
402,geometric_sinkhorn,4,40240004,40250004,0.018362088636490165,0.016496506377146718,0.6107673951482975,0.3949077895334754,0.3992913949353205,0.09702257218339262,0.10984179093330565
402,geometric_sinkhorn,5,40240005,40250005,0.01648494690283664,0.019729667729851255,0.589857525546674,0.42609515725856334,0.4266048232966447,0.08942273100574216,0.10483243072184201
402,geometric_sinkhorn,6,40240006,40250006,0.011949213558160032,0.014338007401070446,0.6169938422206442,0.3735842724146887,0.3369442874817956,0.10874406349853007,0.09058623964737683
402,geometric_sinkhorn,7,40240007,40250007,0.008348507881743905,0.013202293121767352,0.5820664792887792,0.44935762861992307,0.42042328644839366,0.09856189392875751,0.10811228363260154
402,geometric_sinkhorn,8,40240008,40250008,0.015233101614226696,0.015722189955674485,0.6163825356645789,0.35298517016196523,0.35744667243421735,0.10940267551437483,0.10564144081780574
402,geometric_sinkhorn,9,40240009,40250009,0.024860522219001757,0.03141849767240047,0.6206174871741439,0.3637373349613567,0.3958315082758248,0.07801503316721305,0.11317567678877216
402,geometric_sinkhorn,10,40240010,40250010,0.019053312415695384,0.018253896141991157,0.6241257137158134,0.4018319987869908,0.3291428430152724,0.10534181997629301,0.09545745253361666
402,geometric_sinkhorn,11,40240011,40250011,0.011758811399367963,0.015665690388014738,0.6117855512357366,0.3626505098125524,0.4512245981813793,0.09930235709746874,0.12063775470084487
402,geometric_sinkhorn,12,40240012,40250012,0.012785459396680326,0.017088064660786596,0.59599882773188,0.37393303585148835,0.312670151220369,0.10097276368710631,0.09260666321280425
402,geometric_sinkhorn,13,40240013,40250013,0.013789156526994084,0.01803480282032445,0.6056996058496038,0.43659371225623594,0.46102660707583243,0.11128686392149048,0.1044674407321339
402,geometric_sinkhorn,14,40240014,40250014,0.007664453500255353,0.012466512649505228,0.5942750838327756,0.37568419047207724,0.5116889006494459,0.09117306379556081,0.10674366010877967
402,geometric_sinkhorn,15,40240015,40250015,0.009725055263499538,0.012339086975424187,0.6119396798402885,0.397789967836436,0.4292880420787236,0.105395855250832,0.08829105716820934
402,geometric_sinkhorn,16,40240016,40250016,0.013703629650191396,0.018451975689406323,0.6157420547659785,0.3485176311010213,0.37435094913070144,0.08716246571955583,0.09827497376213645
402,geometric_sinkhorn,17,40240017,40250017,0.014013995319017508,0.019050444884042988,0.6005027506326448,0.3973177505985085,0.33875592841034224,0.08973022430899408,0.09880795663025962
402,geometric_sinkhorn,18,40240018,40250018,0.019271797029624088,0.022406110911622115,0.6216608036325848,0.3801189003862139,0.3653931076195036,0.09045283626946368,0.09264457919072525
402,geometric_sinkhorn,19,40240019,40250019,0.01729064506650388,0.022516846124241582,0.592491236442479,0.4047416657937396,0.4380286454623855,0.10524677825336996,0.10477542363597175
402,fiber_aware,0,34402,35402,0.017254059060164223,0.016488057173486916,0.588260432237806,0.4298175075977819,0.4182458292074293,0.11560795298379328,0.11089851028076149
402,fiber_aware,1,40240001,40250001,0.005095104059127803,0.008239413592938486,0.6095893062096241,0.37298217006197476,0.4043697252040233,0.08171621826713446,0.12059412581855834
402,fiber_aware,2,40240002,40250002,0.009808295682318446,0.011504257704714818,0.5996622031656251,0.34739324185828346,0.3885859561075366,0.08547558519329759,0.10579590749061532
402,fiber_aware,3,40240003,40250003,0.006227038915710692,0.01178396509717896,0.6043453412458428,0.43342581967370875,0.4045763285568593,0.11573594914623632,0.10701905165393434
402,fiber_aware,4,40240004,40250004,0.01985706268301976,0.01760285688355738,0.6043820652540658,0.3949077895334754,0.4128147819030681,0.09702257218339262,0.1095336213143224
