allowance_percent,method,A_full_h,A_tan_h,A_hid_h,hidden_fraction_A_hid_over_A_full,aggregate_full_moment_residual_norm,aggregate_tangent_moment_residual_norm,aggregate_hidden_nullspace_residual_norm,aggregate_orthogonality_residual,aggregate_pythagorean_residual,aggregate_hierarchy_raw_violation,maximum_full_moment_residual,maximum_tangent_moment_residual,maximum_hidden_nullspace_residual,maximum_absolute_orthogonality_residual,maximum_absolute_pythagorean_residual,maximum_raw_hierarchy_violation,maximum_full_action_reproduction_error,maximum_full_moment_residual_after_stabilization,aggregate_violation_count,trial_violation_count,time_trial_violation_count,trial_count,invalid_trial_count,time_trial_count,minimum_gram_rank,first_failing_condition,tolerance,passes,geometry,result_path,evaluation_key,phase
3.0,tangent,9.04045606084226,0.4211309430370275,8.619325117805232,0.9534170687625915,3.2209798297178495e-14,4.5073384549606675e-17,3.2169184442511246e-14,-6.955649344981146e-16,-1.1071005223683932e-15,-8.61932511780523,1.4162604172680866e-11,5.871493668845153e-15,1.4162721807542823e-11,2.5246194024219903e-12,5.066169705969514e-12,-0.16648602421555944,9.236375234422667e-06,1.4162604172680866e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.0583572359886948,0.379515462139108,0.47542873067551833,0.76,1.75785680165307,0.24,0.2891384498245748,0.5718839385784013]",selection
3.0,full,6.510045334216412,0.43047080050621894,6.079574533710104,0.9338759135449058,1.9184155130690117e-13,5.392929379191445e-17,1.9184914235455986e-13,4.4494505419872307e-14,8.911818042782001e-14,-6.079574533710193,2.32804337425156e-11,1.1773370910437075e-14,2.3280550318164153e-11,5.017819276406654e-12,1.0061285138363019e-11,-0.13052845660475088,1.5675730971054236e-05,2.32804337425156e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_3pct/result.json,"[1.083266484208336,0.4335724691450472,0.5072910999384581,0.7496981260966648,1.76,0.24,0.28086653584287785,0.639628829394016]",selection
4.0,law,8.113409853715208,0.44589018362932603,7.66751967008589,0.9450428128655254,3.1626673157236796e-14,1.5398459456037738e-17,3.1616416075712374e-14,-4.7872683781195225e-15,-9.401218229824574e-15,-7.6675196700858805,2.631244026297398e-11,9.417447403841266e-15,2.631199930099835e-11,4.143244775045574e-12,8.277822871605167e-12,-0.17572661321367228,1.534196911734398e-05,2.631244026297398e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_4pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",selection
4.0,tangent,6.301402668980484,0.3875484149055632,5.913854254074884,0.9384980717367326,4.3440454852289976e-14,4.117104557946682e-17,4.3465175737152715e-14,1.863310745841627e-14,3.7593365920241013e-14,-5.913854254074921,1.4229679075268218e-11,8.225443389041323e-15,1.4229399816056611e-11,5.165732425149727e-12,1.0345502232667059e-11,-0.16682012710685562,2.8492861588347296e-05,1.4229679075268218e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0703925060089838,0.4266160461667172,0.4901763127553475,0.7000516441555005,1.76,0.24,0.26351027100214314,0.6292980166002612]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_4pct/result.json,"[1.0703925060089838,0.4266160461667172,0.4901763127553475,0.7000516441555005,1.76,0.24,0.26351027100214314,0.6292980166002612]",selection
4.0,full,5.7485886411042335,0.41700854896842765,5.331580092135796,0.9274589686263696,2.946112341771352e-14,4.4619067598143886e-17,2.9476316820777616e-14,5.329480933898128e-15,1.082328671131449e-14,-5.331580092135806,1.3177659808017776e-11,9.029424160449226e-15,1.317755170972235e-11,2.215576680453246e-12,4.437339384821826e-12,-0.14455195205391363,1.3192876281209465e-05,1.3177659808017776e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.06370935080401,0.4550192034057061,0.49853661140128447,0.7420342952622412,1.7597617944632438,0.24,0.2497059564587267,0.6463819589743185]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_4pct/result.json,"[1.06370935080401,0.4550192034057061,0.49853661140128447,0.7420342952622412,1.7597617944632438,0.24,0.2497059564587267,0.6463819589743185]",selection
5.0,law,8.113409853715208,0.44589018362932603,7.66751967008589,0.9450428128655254,3.1626673157236796e-14,1.5398459456037738e-17,3.1616416075712374e-14,-4.7872683781195225e-15,-9.401218229824574e-15,-7.6675196700858805,2.631244026297398e-11,9.417447403841266e-15,2.631199930099835e-11,4.143244775045574e-12,8.277822871605167e-12,-0.17572661321367228,1.534196911734398e-05,2.631244026297398e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_5pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",selection
5.0,tangent,5.730632906142219,0.3869644431402495,5.343668463001965,0.9324743968985525,1.8679690188167166e-14,9.776068516725259e-17,1.8683347021743218e-14,2.196316847557336e-15,4.575217519657101e-15,-5.343668463001968,1.2438230839908733e-11,1.2753468029493942e-14,1.2437620120535255e-11,3.2546929561172444e-12,6.494360604847316e-12,-0.15300839372611524,3.873028941114853e-06,1.2438230839908733e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0521353045648674,0.41789719820759397,0.504910855829425,0.7256223998877226,1.7491471711216546,0.24688306100944887,0.24561667128290865,0.6524862784344475]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_5pct/result.json,"[1.0521353045648674,0.41789719820759397,0.504910855829425,0.7256223998877226,1.7491471711216546,0.24688306100944887,0.24561667128290865,0.6524862784344475]",selection
5.0,full,5.730632906142219,0.3869644431402495,5.343668463001965,0.9324743968985525,1.8679690188167166e-14,9.776068516725259e-17,1.8683347021743218e-14,2.196316847557336e-15,4.575217519657101e-15,-5.343668463001968,1.2438230839908733e-11,1.2753468029493942e-14,1.2437620120535255e-11,3.2546929561172444e-12,6.494360604847316e-12,-0.15300839372611524,3.873028941114853e-06,1.2438230839908733e-11,0,0,0,24,0,504,4,,1e-06,True,"[1.0521353045648674,0.41789719820759397,0.504910855829425,0.7256223998877226,1.7491471711216546,0.24688306100944887,0.24561667128290865,0.6524862784344475]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_5pct/result.json,"[1.0521353045648674,0.41789719820759397,0.504910855829425,0.7256223998877226,1.7491471711216546,0.24688306100944887,0.24561667128290865,0.6524862784344475]",selection
0.5,law,21.037210410059195,0.44509417532429996,20.59211623473484,0.9788425287075357,4.922379601513157e-14,3.9747454016818995e-17,4.919959375043466e-14,3.2664395999241646e-14,6.274848262516345e-14,-20.592116234734895,8.004650805018865e-11,1.3628775914405143e-14,8.004623007663068e-11,3.262390704805718e-11,6.184563972055912e-11,-0.13321475726021575,0.00112319767504232,8.004650805018865e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.077489121283271,0.3889629313939575,0.47979845508739744,0.76,1.76,0.24,0.2573360930133317,0.6029558273745432]",validation
0.5,tangent,7.367562517489542,0.4397803283876427,6.927782189101909,0.9403085718860671,6.487447962871699e-14,2.6107107787633382e-17,6.48605577825208e-14,-4.4770058670144886e-15,-9.122498763336477e-15,-6.927782189101899,3.5184224771423596e-11,1.640284007536548e-14,3.5184557952558597e-11,9.53968067735067e-12,1.9042545318370685e-11,-0.14634681472855554,3.487075832708797e-05,3.5184224771423596e-11,0,0,0,64,0,1344,4,,1e-06,True,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",/home/zanot/projects/tesseract2026/experiments/vortices_percentage/outputs/pareto/risk_0p5pct/result.json,"[1.072627025330538,0.39629276988018886,0.4862417499456417,0.76,1.76,0.24,0.27193975368651135,0.6185063530148714]",validation
