candidate_rank,pair_id,observation_dimension,t,target_hull_feasible,target_hull_lp_residual,calibration_converged,maximum_standardized_residual,ess_fraction,maximum_weight
8,v6_F0280_k05950__v6_F0280_k05825,3,0.7000000000000001,True,0.0,True,3.33510996597397e-13,0.0015734584644468614,0.5551376165541873
8,v6_F0280_k05950__v6_F0280_k05825,3,0.8,True,2.220446049250313e-16,True,3.1308289294429414e-14,0.017526928276449125,0.15322211588287954
8,v6_F0280_k05950__v6_F0280_k05825,3,0.9,True,2.220446049250313e-16,True,1.7763568394002505e-15,0.22919019123120785,0.01062559783765428
9,v6_F0300_k06025__v6_F0280_k05800,3,0.1,False,,False,,,
9,v6_F0300_k06025__v6_F0280_k05800,3,0.2,False,,False,,,
9,v6_F0300_k06025__v6_F0280_k05800,3,0.30000000000000004,False,,False,,,
9,v6_F0300_k06025__v6_F0280_k05800,3,0.4,False,,False,,,
9,v6_F0300_k06025__v6_F0280_k05800,3,0.5,True,1.1102230246251565e-16,True,8.326672684688674e-14,0.008782286332783315,0.07046590251052305
9,v6_F0300_k06025__v6_F0280_k05800,3,0.6,True,1.1102230246251565e-16,True,1.4950152227299895e-11,0.013248190645632022,0.060217295058882334
9,v6_F0300_k06025__v6_F0280_k05800,3,0.7000000000000001,True,1.1102230246251565e-16,True,2.3314683517128287e-15,0.018898875574577863,0.11344032106841699
9,v6_F0300_k06025__v6_F0280_k05800,3,0.8,True,6.661338147750939e-16,True,7.778161448257492e-11,0.1271432670308644,0.018677216866578177
9,v6_F0300_k06025__v6_F0280_k05800,3,0.9,True,5.551115123125783e-17,True,3.3842928459648647e-12,0.5161982129690068,0.0035894769478909804
10,v6_F0300_k06050__v6_F0280_k05825,3,0.1,False,,False,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,0.2,False,,False,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,0.30000000000000004,False,,False,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,0.4,False,,False,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,0.5,False,,False,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,0.6,False,,False,,,
10,v6_F0300_k06050__v6_F0280_k05825,3,0.7000000000000001,True,0.0,True,8.326672684688674e-15,0.008955570425099351,0.08580385161627632
10,v6_F0300_k06050__v6_F0280_k05825,3,0.8,True,2.220446049250313e-16,True,2.2821744494194718e-12,0.04323861110500295,0.03641775377259673
10,v6_F0300_k06050__v6_F0280_k05825,3,0.9,True,1.1102230246251565e-16,True,3.2240876635114546e-13,0.3818894081238494,0.005621376447457564
11,v6_F0280_k05950__v6_F0280_k05825,2,0.1,True,0.0,True,1.081468248287365e-12,0.09467495733113372,0.028835268411719267
11,v6_F0280_k05950__v6_F0280_k05825,2,0.2,True,1.1102230246251565e-16,True,9.207601348037997e-11,0.016784265926982518,0.05665464587090979
11,v6_F0280_k05950__v6_F0280_k05825,2,0.30000000000000004,False,,False,,,
11,v6_F0280_k05950__v6_F0280_k05825,2,0.4,True,0.0,True,5.180189610598518e-12,0.003941887697590431,0.15694996760719063
11,v6_F0280_k05950__v6_F0280_k05825,2,0.5,True,1.1102230246251565e-16,True,2.9976021664879227e-15,0.010510079505844346,0.07156707256190603
11,v6_F0280_k05950__v6_F0280_k05825,2,0.6,True,1.1102230246251565e-16,True,9.880984919163893e-15,0.005968615643015924,0.1645718786598217
11,v6_F0280_k05950__v6_F0280_k05825,2,0.7000000000000001,True,1.1102230246251565e-16,True,7.402667367983895e-11,0.02946154019675085,0.03838430078649912
11,v6_F0280_k05950__v6_F0280_k05825,2,0.8,True,0.0,True,6.661338147750939e-16,0.03809645005002891,0.04519029430507157
11,v6_F0280_k05950__v6_F0280_k05825,2,0.9,True,1.1102230246251565e-16,True,1.5543122344752192e-15,0.23200127568503315,0.014804030790755018
12,v6_F0300_k06025__v6_F0280_k05800,2,0.1,False,,False,,,
12,v6_F0300_k06025__v6_F0280_k05800,2,0.2,False,,False,,,
12,v6_F0300_k06025__v6_F0280_k05800,2,0.30000000000000004,False,,False,,,
12,v6_F0300_k06025__v6_F0280_k05800,2,0.4,True,0.0,True,1.1102230246251565e-15,0.006167173277397082,0.08612278756639738
12,v6_F0300_k06025__v6_F0280_k05800,2,0.5,True,0.0,True,9.992007221626409e-16,0.007022785739663113,0.09346155091395873
12,v6_F0300_k06025__v6_F0280_k05800,2,0.6,True,5.551115123125783e-17,True,6.661338147750939e-16,0.013639805671235435,0.07488242817221348
12,v6_F0300_k06025__v6_F0280_k05800,2,0.7000000000000001,True,1.1102230246251565e-16,True,2.460254222569347e-13,0.02213504674917409,0.0890594534142095
12,v6_F0300_k06025__v6_F0280_k05800,2,0.8,True,5.551115123125783e-17,False,3.7844516409535345e-09,0.10417976832781733,0.029487973324454117
12,v6_F0300_k06025__v6_F0280_k05800,2,0.9,True,5.551115123125783e-17,True,3.2701619190333986e-12,0.5046006277361361,0.0037954525808763548
13,v6_F0300_k06050__v6_F0280_k05825,2,0.1,False,,False,,,
13,v6_F0300_k06050__v6_F0280_k05825,2,0.2,False,,False,,,
