objective,model_seed,strength,normalized_strength,tangent_local_mmd,tangent_rollout_mmd,mfsi_rollout_mmd,velocity_gap,angular_error,min_ess,mean_ess,mean_projection_distortion,mean_lambda_norm,max_moment_error
fiber,20260812,0.03878679889421315,0.07586736799231233,0.05564813257141872,0.06937212728119982,0.06874918690255188,0.18244370776290414,0.055537735342116104,0.8560734102577415,0.9423204478662358,0.027041819307525396,0.24730696197586619,0.001513557574591279
fiber,20260813,0.04860015617146203,0.09459920635956111,0.05558343879869657,0.0875914652150627,0.08770347878787346,0.23104774503303158,0.03670274102618187,0.8362535720526564,0.9341525761178204,0.034322221833764016,0.28682081335667886,0.0016416051191646883
fiber,20260814,0.005728940156184112,0.01113236620863078,0.05450187751107707,0.06008758758434005,0.05692001335111929,0.015640521654213403,0.0373081159171309,0.9789845313978525,0.991157895069723,0.004514815075823926,0.1138049358536958,0.001401472035450993
fiber,20260815,0.0261978229224147,0.05200318317090684,0.055752041409084595,0.07164354044216793,0.06452253000024179,0.13163712082588214,0.042535501887357094,0.9057908400044568,0.9615838768180323,0.018592633437151205,0.21130203732381236,0.0017065946935124442
fiber,20260816,0.027629284559119116,0.054470900934445045,0.05466789125862019,0.07626933008311929,0.058453475593306284,0.08603314635810003,0.051634735514298515,0.899692023331091,0.9596423093086542,0.01937873578894627,0.2101256695548479,0.0019390552333240565
fiber,20260817,0.18430512339539235,0.3592221666851284,0.06609137488654847,0.08675676255012629,0.08686829149866714,0.39302467626239707,0.0919396723846643,0.49049781769942796,0.7753900975040391,0.11461356898292818,0.44272096893620966,0.0016752692736628453
fiber,20260818,0.018402981780673282,0.03555420559791371,0.0560387458736155,0.06642423408279322,0.05817672323219737,0.11137926702349601,0.03566617884661026,0.932607293159484,0.9739115002503423,0.013344648287603228,0.1845534211083044,0.0012585745274342848
fiber,20260819,0.35178997175498294,0.6837750162476393,0.075672229581359,0.0916259890914737,0.07628222027186136,0.3356006359651622,0.09548504564911876,0.32821838805217723,0.6773701660723714,0.1834465368935651,0.5011616546055754,0.0020585624691587773
fiber_high,20260810,0.4472732723316709,0.8660733082684884,0.07803967261205355,0.09762559929467775,0.09897296697128602,0.5153386692993607,0.0603225861453914,0.299709749573344,0.6535519544230513,0.22128996962175557,0.5496960797015714,0.0013167458237730565
fiber_high,20260811,0.4267187881005052,0.8265737316254702,0.08064795582003054,0.09716630738188327,0.07794583539139979,0.533477377551299,0.06577592522025673,0.30060438551500024,0.6547315171807739,0.21268304170974303,0.5373757942063466,0.0013328726630502824
fiber_high,20260812,0.4301005342314421,0.8332896273599391,0.07918966189599852,0.1253585918047983,0.12861988780247835,0.5413384313559946,0.062159879611265415,0.3144742435684987,0.66382764995306,0.21187049682171155,0.5383413243284869,0.0015642993139982964
fiber_high,20260813,0.4264045478088604,0.8249578224660521,0.08010708197721698,0.09681378344185917,0.08174199210386454,0.7947387378257804,0.09483815716726568,0.3019409418833082,0.6568210544086375,0.21254349496205366,0.5374697265976944,0.0015062934507428989
fiber_high,20260814,0.430941693421765,0.8350561921987524,0.07805258200524205,0.12173142163260497,0.10546796661333493,2.1294570500409904,0.12751649448977703,0.3178575484831528,0.6656060086949782,0.21009798883799963,0.5344175596179648,0.0008637512123615745
fiber_high,20260815,0.43072869822037063,0.8349486898314084,0.07537517960095802,0.11594745576317873,0.11605413406509302,0.5297974068445697,0.0651111197625047,0.3156168362593935,0.6625031089193036,0.2126077193761446,0.541330753877538,0.001969325859771397
fiber_high,20260816,0.44719424212785874,0.8680031142953203,0.07919050914578377,0.10132068229860666,0.09808174489833403,0.3438870625564462,0.1512110175339419,0.28588746573420976,0.6472255796195039,0.2224129687323896,0.548277486838406,0.0018689691044434045
fiber_high,20260817,0.4260322015896705,0.8274582157494403,0.07823256217968315,0.09504882325915576,0.08003185175104167,0.671588290148786,0.0543977613197266,0.2876741637566098,0.6497321990621643,0.21480523417247777,0.5392766777659973,0.0017297942775869977
fiber_high,20260818,0.42814939210383807,0.8299347649321739,0.08118678894154795,0.10976471256186701,0.08730123671105926,1.0175636107685442,0.06971449192179573,0.30447913212372585,0.6581104507834514,0.20992551707485047,0.5296352400454511,0.0018396962983247115
