model,t,fm_mse_per_pixel,zero_predictor_mse_per_pixel,normalized_fm_mse,target_velocity_rms,predicted_velocity_rms,cosine_alignment,low_frequency_error_energy,low_frequency_target_energy,low_frequency_error_fraction,middle_frequency_error_energy,middle_frequency_target_energy,middle_frequency_error_fraction,high_frequency_error_energy,high_frequency_target_energy,high_frequency_error_fraction
v8_control_C,0.55,0.008083968423306942,0.0167893934994936,0.4814925818226114,0.12957389204424477,0.09288009736293282,0.7200819791162975,0.16630293428897858,0.3419351279735565,0.48635814423208246,0.004083923529833555,0.0052918242290616035,0.7717420974425969,0.00022855652787256986,0.0012299217050895095,0.1858301442496588
v8_control_C,0.6,0.0072292606346309185,0.019997330382466316,0.3615112865750092,0.14141191739901668,0.11358189970957978,0.7990655635158057,0.14532960951328278,0.3404901325702667,0.4268247317953956,0.004329603631049395,0.00863579846918583,0.5013553345991391,0.0002673267154023051,0.004665595944970846,0.057297442503666175
v8_control_C,0.65,0.006563478149473667,0.025543250143527985,0.2569554818824294,0.15982255830616648,0.1378081650603607,0.8620003599698695,0.12787368893623352,0.349845290184021,0.36551496482622675,0.004785974510014057,0.014053920283913612,0.34054373536558163,0.00031090364791452885,0.010027999058365822,0.03100355774915621
v8_control_C,0.7,0.005935414228588343,0.03225242346525192,0.18403002289062192,0.17958959731914298,0.16210826046112417,0.9033107119572128,0.11094402521848679,0.35583603382110596,0.3117841215436408,0.005298992618918419,0.02085578441619873,0.25407783822327396,0.0003623716766014695,0.016759563237428665,0.02162178521407974
v8_control_C,0.75,0.005646842066198587,0.03930359706282616,0.14367239866550136,0.19825134819926485,0.18522579118523877,0.9254223005802485,0.10079273581504822,0.3536610007286072,0.2849981637992216,0.006065164692699909,0.028291914612054825,0.2143780219849674,0.00042003398993983865,0.024241795763373375,0.01732685127949402
v8_control_C,0.8,0.005650385748594999,0.046640463173389435,0.12114771947245173,0.21596403212893908,0.20470354293968093,0.9375281361310319,0.0970795750617981,0.35786840319633484,0.27127171383313775,0.006991180125623941,0.03570041060447693,0.1958291237341463,0.00046055184793658555,0.031735364347696304,0.014512259663721723
v8_control_C,0.85,0.005985455121845007,0.05352191627025604,0.11183185391983674,0.2313480414229955,0.2180949348344279,0.9424267899503721,0.09981872886419296,0.3679560422897339,0.2712789501784951,0.008123042993247509,0.04242054373025894,0.19148842232904412,0.0005235282005742192,0.03847193345427513,0.013608055368375125
v8_control_C,0.9,0.006985792890191078,0.0586121529340744,0.1191867648685169,0.24209946909085614,0.22878949146253333,0.9385388873380701,0.1143948882818222,0.3666623830795288,0.3119897037733757,0.010179863311350346,0.047990914434194565,0.21212063640314743,0.0006005544564686716,0.04382235184311867,0.01370429543851548
v8_control_C,0.95,0.009251125156879425,0.062460530549287796,0.14811153660597445,0.24992104863193856,0.228339037359881,0.9230257457769463,0.15122440457344055,0.3794224262237549,0.3985647503193703,0.014139325357973576,0.051568448543548584,0.2741855874534054,0.0006924582412466407,0.04723638296127319,0.01465942559180184
v8_control_C,1.0,0.06249426305294037,0.06381692737340927,0.9792740833050508,0.25262012464055444,0.10685946887085104,0.23600079450097597,0.2708965837955475,0.38455283641815186,0.7044456785672547,0.06361028552055359,0.05273476615548134,1.2062305412146372,0.051010169088840485,0.04842226207256317,1.053444570854604
v9_global_spectral,0.0,0.06311026215553284,0.06321433931589127,0.998353583040102,0.25142461955005774,0.10700206654577361,0.21472586972364652,0.32374733686447144,0.37150922417640686,0.8714382195547956,0.059370171278715134,0.05212042108178139,1.1390961555271832,0.04966243728995323,0.04849547520279884,1.0240633189441772
v9_global_spectral,0.05,0.008089772425591946,0.062196679413318634,0.1300675936705975,0.24939262100815782,0.23872073870491048,0.9330153797335416,0.12545640766620636,0.3733847737312317,0.3359976530711771,0.013585969805717468,0.051253169775009155,0.26507569903202227,0.000755312095861882,0.04729435592889786,0.01597044892624006
v9_global_spectral,0.1,0.005776017438620329,0.05880416929721832,0.0982246243361788,0.2424957098532226,0.23005772161767807,0.9496189745659026,0.09362496435642242,0.3709542453289032,0.25238952117507296,0.008911125361919403,0.04820607230067253,0.18485483128222174,0.00046049494994804263,0.04378823563456535,0.010516407963798826
v9_global_spectral,0.15,0.00508319865912199,0.05368568003177643,0.09468444203581396,0.23170170485297778,0.22315354610739344,0.9515509204472344,0.0835215374827385,0.37033262848854065,0.22553113352074763,0.007218698970973492,0.04217115789651871,0.17117620978506276,0.000455304718343541,0.03858945146203041,0.011798683347223326
v9_global_spectral,0.2,0.004532624501734972,0.046727851033210754,0.09700049117417175,0.21616625785078197,0.20404409667329826,0.9502842078032671,0.07568768411874771,0.3595191538333893,0.2105247615091556,0.0060493373312056065,0.03568417951464653,0.16952434982350267,0.00040933716809377074,0.031756553798913956,0.012889848523417855
v9_global_spectral,0.25,0.004511197097599506,0.03941446170210838,0.1144553776148157,0.1985307575719903,0.1899016762886217,0.9411593756223761,0.07733061909675598,0.3561437726020813,0.2171331497157956,0.005572189576923847,0.028490131720900536,0.1955831454733519,0.0003789445327129215,0.02420865371823311,0.015653267510184334
v9_global_spectral,0.3,0.00444719847291708,0.031984612345695496,0.13904181250818212,0.17884242322697233,0.16657383141254442,0.927884967957825,0.07972860336303711,0.3497636020183563,0.22794997221824354,0.00483063654974103,0.02074511907994747,0.23285653512639473,0.00030229781987145543,0.016778098419308662,0.01801740652108486
v9_global_spectral,0.35,0.004558311775326729,0.024797476828098297,0.1838215963231249,0.15747214619766348,0.14289202820311558,0.9034346785309921,0.0822538286447525,0.3331071138381958,0.24692906644049237,0.0047599151730537415,0.014007685706019402,0.3398073938086935,0.000315067358314991,0.010023651644587517,0.03143239305259758
v9_global_spectral,0.4,0.005231020040810108,0.019579747691750526,0.26716483394799195,0.13992765163380155,0.1216185794421564,0.856156547556372,0.09879375994205475,0.33073824644088745,0.2987067900528162,0.004553548991680145,0.008713205344974995,0.522603199556892,0.00028510141419246793,0.004665323533117771,0.06111074873341927
v9_global_spectral,0.45,0.005687939003109932,0.016120173037052155,0.35284602653062264,0.1269652434213874,0.10508087590668934,0.8047833424568603,0.10810462385416031,0.3268742263317108,0.3307223853876326,0.004675616975873709,0.005235129036009312,0.893123539785351,0.0003222018713131547,0.0012309470912441611,0.2617511943486491
v9_global_spectral,0.5,0.006587106268852949,0.0155321154743433,0.42409588569785295,0.12462790808780873,0.10077225456457319,0.7604109182432388,0.12853139638900757,0.3395306468009949,0.3785560967765663,0.004668785259127617,0.003977319225668907,1.1738522844724435,0.0003252736642025411,4.4960084778722376e-05,7.234720881942794
v9_global_spectral,0.55,0.006396442651748657,0.0167893934994936,0.3809811624190943,0.12957389204424477,0.10432200075599096,0.7869863519194367,0.12530478835105896,0.3419351279735565,0.3664577813156108,0.004579462110996246,0.0052918242290616035,0.8653843953937072,0.00028096241294406354,0.0012299217050895095,0.22843926713498894
v9_global_spectral,0.6,0.005597566720098257,0.019997330382466316,0.27991569939786615,0.14141191739901668,0.12327999783376799,0.8488865684274872,0.10699262470006943,0.3404901325702667,0.31423120515244135,0.0045411656610667706,0.00863579846918583,0.5258535938825475,0.0002950027119368315,0.004665595944970846,0.06322937421420338
v9_global_spectral,0.65,0.00493486225605011,0.025543250143527985,0.1931963328206485,0.15982255830616648,0.14361965240536323,0.8982225919229252,0.09078475087881088,0.349845290184021,0.25949970865995503,0.004576032515615225,0.014053920283913612,0.32560541280805755,0.0003498572332318872,0.010027999058365822,0.03488804009609675
v9_global_spectral,0.7,0.004322195891290903,0.03225242346525192,0.13401150756771954,0.17958959731914298,0.1699673054790325,0.9307174860477243,0.07658735662698746,0.35583603382110596,0.21523215567732865,0.004574551247060299,0.02085578441619873,0.21934208542677663,0.00036397523945197463,0.016759563237428665,0.021717465681869254
v9_global_spectral,0.75,0.0040848134085536,0.03930359706282616,0.10392975996634844,0.19825134819926485,0.18754523446896537,0.9466100526821032,0.07115492969751358,0.3536610007286072,0.20119529592157814,0.004618063103407621,0.028291914612054825,0.1632290768133424,0.00035788610693998635,0.024241795763373375,0.014763184643305673
v9_global_spectral,0.8,0.003990654833614826,0.046640463173389435,0.08556207554756191,0.21596403212893908,0.21031447520185828,0.9564210446797384,0.06804454326629639,0.35786840319633484,0.19013844938125365,0.004920833744108677,0.03570041060447693,0.13783689489250836,0.0003563685459084809,0.031735364347696304,0.011229382527456313
v9_global_spectral,0.85,0.004244701471179724,0.05352191627025604,0.07930772601164598,0.2313480414229955,0.2219150822660856,0.9595270978330359,0.07097502797842026,0.3679560422897339,0.19288996461847335,0.005554518196731806,0.04242054373025894,0.13093934467345641,0.00039786839624866843,0.03847193345427513,0.010341783230664639
v9_global_spectral,0.9,0.004906998947262764,0.0586121529340744,0.08371982091806188,0.24209946909085614,0.23714024532911315,0.957478862497801,0.08221520483493805,0.3666623830795288,0.2242259054349342,0.006772540044039488,0.047990914434194565,0.1411212960596122,0.00038838337059132755,0.04382235184311867,0.008862677475223516
v9_global_spectral,0.95,0.006886221468448639,0.062460530549287796,0.11024916708023638,0.24992104863193856,0.23384735795596795,0.9432967257278263,0.11158724874258041,0.3794224262237549,0.2940976627374541,0.011039872653782368,0.051568448543548584,0.21408192345479238,0.0004767297941725701,0.04723638296127319,0.010092428003291819
v9_global_spectral,1.0,0.06197086721658707,0.06381692737340927,0.9710725628324217,0.25262012464055444,0.1046730908754452,0.24208185965707937,0.2906867265701294,0.38455283641815186,0.7559084189254163,0.06207699328660965,0.05273476615548134,1.177154993037876,0.04956662282347679,0.04842226207256317,1.0236329469531749
