model,t,learned_mean,direct_mean,learned_m2,direct_m2,maximum_standardized_phi_error,phi_threshold,raw_field_mmd2,raw_mmd_threshold,downsampled_field_mmd2,downsampled_mmd_threshold,phi_gate_pass,raw_mmd_gate_pass,downsampled_mmd_gate_pass,learned_smooth_tv,direct_smooth_tv,learned_anisotropy,direct_anisotropy,learned_soft_area,direct_soft_area,learned_soft_perimeter,direct_soft_perimeter,learned_radial_power_low,direct_radial_power_low,learned_radial_power_middle,direct_radial_power_middle,learned_radial_power_high,direct_radial_power_high,projected_phi_residual_max,projected_ess_fraction,learned_field_minimum,learned_field_maximum
v8_control_C,0.5,0.1319339,0.12843844,0.026200486,0.028687034,0.7561717608721034,0.5881528885082695,0.010628819465637207,0.02682838439941406,0.003026127815246582,0.01420629024505615,False,True,True,0.049445596,0.07329244,0.25651738,0.09536435,0.3715518,0.39912286,0.23328884,0.4292958,0.5614870190620422,0.5420897603034973,0.0035655966494232416,0.006022588815540075,0.001245082588866353,0.004921943414956331,7.771561172376096e-16,0.6130122044240924,-0.31334108114242554,0.8028416037559509
v8_control_C,0.546875,0.13232768,0.13084784,0.026258599,0.029206451,0.8964568300087752,0.5590853218566165,0.010894179344177246,0.029833006858825683,0.003018021583557129,0.013701558113098145,False,True,True,0.049110815,0.07267452,0.26913685,0.102041595,0.3750543,0.40838587,0.23269463,0.42684522,0.5635296106338501,0.5566182732582092,0.003483777167275548,0.0058233174495399,0.0012206613318994641,0.004810746293514967,5.551115123125783e-16,0.6449182049117441,-0.3128938674926758,0.8110519051551819
v8_control_C,0.6015625,0.1326816,0.12923561,0.026296306,0.02859263,0.6983235208559047,0.8326949004063985,0.014887094497680664,0.02662220001220703,0.005210161209106445,0.018999433517456053,True,True,True,0.048355922,0.070387304,0.28595278,0.1076133,0.37787518,0.4023035,0.22717834,0.40527424,0.5667392015457153,0.5510014295578003,0.0032760940957814455,0.005398827604949474,0.0011303151259198785,0.0044341622851789,1.2988499165089706e-11,0.7739202858721752,-0.2878866195678711,0.8121288418769836
v8_control_C,0.6484375,0.1330045,0.12976176,0.026337458,0.028361754,0.6155989402722561,0.8435005946048995,0.009369492530822754,0.03291738033294677,0.004418849945068359,0.023974609374999997,True,True,True,0.047449887,0.067497335,0.3026985,0.12429129,0.37990886,0.40315756,0.21921788,0.38092107,0.570800244808197,0.5568370819091797,0.003028519917279482,0.004886305890977383,0.001005195896141231,0.00392488669604063,4.551914400963142e-15,0.9107462395066699,-0.25037941336631775,0.8082966208457947
v8_control_C,0.703125,0.13330291,0.12875901,0.026410002,0.027860804,0.4411960637931278,0.8252493450262641,0.013054251670837402,0.03146557807922363,0.0053331851959228516,0.013922739028930663,True,True,True,0.04624845,0.06336018,0.32543787,0.1469876,0.38179696,0.3963222,0.20745198,0.33274376,0.5769784450531006,0.5614630579948425,0.0026956095825880766,0.004249079618602991,0.0008193131070584059,0.0031705943401902914,2.4611979121402783e-11,0.9884098552946013,-0.1894250065088272,0.800423264503479
v8_control_C,0.75,0.13340427,0.12651414,0.026475696,0.02677814,0.5494657743521655,0.6076469989892752,0.008584737777709961,0.03153481483459472,0.004743814468383789,0.020176291465759274,True,True,True,0.045164444,0.058394022,0.3477909,0.16792391,0.3829317,0.38681218,0.19659738,0.28888592,0.5827509760856628,0.5525367259979248,0.00239124265499413,0.003449310315772891,0.0006418820703402162,0.0024622983764857054,7.327471962526033e-15,0.8948747191774705,-0.12764835357666016,0.7915692925453186
v8_control_C,0.796875,0.13348034,0.12764415,0.02659369,0.026655803,0.4654171383462175,1.108642120465186,0.013788580894470215,0.03754055500030517,0.00910639762878418,0.011824107170104979,True,True,True,0.044142272,0.053801008,0.37305516,0.19785011,0.38427842,0.38886783,0.18663244,0.24862355,0.5896987915039062,0.5649013519287109,0.0021001575514674187,0.0028332166839390993,0.0004628967435564846,0.0017517167143523693,1.3322676295501878e-15,0.6008564576970608,-0.10292313247919083,0.7984522581100464
v8_control_C,0.8515625,0.13357231,0.12771879,0.026838427,0.026530033,0.46679915369600206,1.3220327345578298,0.008202910423278809,0.029540586471557616,0.007474064826965332,0.01605703830718994,True,True,True,0.04317891,0.048621003,0.4058705,0.24427417,0.38643035,0.38832092,0.17802043,0.20216598,0.5996671915054321,0.5780982375144958,0.0018246471881866455,0.002156064147129655,0.00027373278862796724,0.001002690871246159,1.9051427102567686e-13,0.25894846426980805,-0.07413327693939209,0.8222793936729431
v8_control_C,0.8984375,0.13351266,0.12905557,0.027127052,0.026881967,0.35543818682208317,1.3546831918342923,0.009231805801391602,0.029498267173767086,0.0044661760330200195,0.031606364250183094,True,True,True,0.042624645,0.04498709,0.44110864,0.318276,0.38847673,0.39310423,0.17364177,0.17820847,0.6091452836990356,0.5969130396842957,0.0016705065499991179,0.001721465727314353,0.00014358878252096474,0.0004948997520841658,1.0628165014736624e-12,0.32041829190694954,-0.050777118653059006,0.8456705212593079
v8_control_C,0.953125,0.13343002,0.12906238,0.027614042,0.027173338,0.34830470604413205,0.6689631040800895,0.010095596313476562,0.039681005477905276,0.006497383117675781,0.0187166690826416,True,True,True,0.042385753,0.04154453,0.56244916,0.43937203,0.39146346,0.394498,0.17132764,0.16430365,0.6222434043884277,0.6112523674964905,0.0016156011261045933,0.0014968214090913534,4.4188065658090636e-05,0.00011748112592613325,2.04933514602601e-10,0.30283334984736066,-0.03220072388648987,0.8805091977119446
